"Plot Title: Injection_Temp_xn10_2022-07-06"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)","Coupler Detached (LGR S/N: 11016513)","End Of File (LGR S/N: 11016513)"
207,07/06/22 10:02:00 AM,64.823,5.655,,
208,07/06/22 10:02:10 AM,64.803,5.655,,
209,07/06/22 10:02:20 AM,64.813,5.655,,
210,07/06/22 10:02:30 AM,64.813,5.655,,
211,07/06/22 10:02:40 AM,64.833,5.655,,
212,07/06/22 10:02:50 AM,64.843,5.655,,
213,07/06/22 10:03:00 AM,64.843,5.655,,
214,07/06/22 10:03:10 AM,64.843,5.655,,
215,07/06/22 10:03:20 AM,64.833,5.655,,
216,07/06/22 10:03:30 AM,64.813,5.655,,
217,07/06/22 10:03:40 AM,64.833,5.655,,
218,07/06/22 10:03:50 AM,64.823,5.655,,
219,07/06/22 10:04:00 AM,64.853,5.655,,
220,07/06/22 10:04:10 AM,64.863,5.655,,
221,07/06/22 10:04:20 AM,64.863,5.655,,
222,07/06/22 10:04:30 AM,64.833,5.655,,
223,07/06/22 10:04:40 AM,64.843,5.655,,
224,07/06/22 10:04:50 AM,64.823,5.655,,
225,07/06/22 10:05:00 AM,64.833,5.655,,
226,07/06/22 10:05:10 AM,64.813,5.655,,
227,07/06/22 10:05:20 AM,64.803,5.655,,
228,07/06/22 10:05:30 AM,64.793,5.655,,
229,07/06/22 10:05:40 AM,64.813,5.655,,
230,07/06/22 10:05:50 AM,64.813,5.655,,
231,07/06/22 10:06:00 AM,64.823,5.655,,
232,07/06/22 10:06:10 AM,64.833,5.655,,
233,07/06/22 10:06:20 AM,64.846,5.757,,
234,07/06/22 10:06:30 AM,64.835,5.757,,
235,07/06/22 10:06:40 AM,64.825,5.757,,
236,07/06/22 10:06:50 AM,64.835,5.757,,
237,07/06/22 10:07:00 AM,64.825,5.757,,
238,07/06/22 10:07:10 AM,64.846,5.757,,
239,07/06/22 10:07:20 AM,64.846,5.757,,
240,07/06/22 10:07:30 AM,64.825,5.757,,
241,07/06/22 10:07:40 AM,64.846,5.757,,
242,07/06/22 10:07:50 AM,64.835,5.757,,
243,07/06/22 10:08:00 AM,64.835,5.757,,
244,07/06/22 10:08:10 AM,64.825,5.757,,
245,07/06/22 10:08:20 AM,64.815,5.757,,
246,07/06/22 10:08:30 AM,64.835,5.757,,
247,07/06/22 10:08:40 AM,64.825,5.757,,
248,07/06/22 10:08:50 AM,64.825,5.757,,
249,07/06/22 10:09:00 AM,64.815,5.757,,
250,07/06/22 10:09:10 AM,64.815,5.757,,
251,07/06/22 10:09:20 AM,64.815,5.757,,
252,07/06/22 10:09:30 AM,64.835,5.757,,
253,07/06/22 10:09:40 AM,64.846,5.757,,
254,07/06/22 10:09:50 AM,64.835,5.757,,
255,07/06/22 10:10:00 AM,64.805,5.757,,
256,07/06/22 10:10:10 AM,64.815,5.757,,
257,07/06/22 10:10:20 AM,64.815,5.757,,
258,07/06/22 10:10:30 AM,64.815,5.757,,
259,07/06/22 10:10:40 AM,64.825,5.757,,
260,07/06/22 10:10:50 AM,64.815,5.757,,
261,07/06/22 10:11:00 AM,64.825,5.757,,
262,07/06/22 10:11:10 AM,64.815,5.757,,
263,07/06/22 10:11:20 AM,64.805,5.757,,
264,07/06/22 10:11:30 AM,64.825,5.757,,
265,07/06/22 10:11:40 AM,64.815,5.757,,
266,07/06/22 10:11:50 AM,64.835,5.757,,
267,07/06/22 10:12:00 AM,64.835,5.757,,
268,07/06/22 10:12:10 AM,64.825,5.757,,
269,07/06/22 10:12:20 AM,64.815,5.757,,
270,07/06/22 10:12:30 AM,64.805,5.757,,
271,07/06/22 10:12:40 AM,64.815,5.757,,
272,07/06/22 10:12:50 AM,64.805,5.757,,
273,07/06/22 10:13:00 AM,64.805,5.757,,
274,07/06/22 10:13:10 AM,64.805,5.757,,
275,07/06/22 10:13:20 AM,64.795,5.757,,
276,07/06/22 10:13:30 AM,64.785,5.757,,
277,07/06/22 10:13:40 AM,64.795,5.757,,
278,07/06/22 10:13:50 AM,64.805,5.757,,
279,07/06/22 10:14:00 AM,64.795,5.757,,
280,07/06/22 10:14:10 AM,64.815,5.757,,
281,07/06/22 10:14:20 AM,64.805,5.757,,
282,07/06/22 10:14:30 AM,64.815,5.757,,
283,07/06/22 10:14:40 AM,64.815,5.757,,
284,07/06/22 10:14:50 AM,64.815,5.757,,
285,07/06/22 10:15:00 AM,64.805,5.757,,
286,07/06/22 10:15:10 AM,64.795,5.757,,
287,07/06/22 10:15:20 AM,64.835,5.757,,
288,07/06/22 10:15:30 AM,64.815,5.757,,
289,07/06/22 10:15:40 AM,64.815,5.757,,
290,07/06/22 10:15:50 AM,64.825,5.757,,
291,07/06/22 10:16:00 AM,64.825,5.757,,
292,07/06/22 10:16:10 AM,64.825,5.757,,
293,07/06/22 10:16:20 AM,64.835,5.757,,
294,07/06/22 10:16:30 AM,64.835,5.757,,
295,07/06/22 10:16:40 AM,64.835,5.757,,
296,07/06/22 10:16:50 AM,64.825,5.757,,
297,07/06/22 10:17:00 AM,64.835,5.757,,
298,07/06/22 10:17:10 AM,64.846,5.757,,
299,07/06/22 10:17:20 AM,64.866,5.757,,
300,07/06/22 10:17:30 AM,64.835,5.757,,
301,07/06/22 10:17:40 AM,64.825,5.757,,
302,07/06/22 10:17:50 AM,64.825,5.757,,
303,07/06/22 10:18:00 AM,64.835,5.757,,
304,07/06/22 10:18:10 AM,64.856,5.757,,
305,07/06/22 10:18:20 AM,64.825,5.757,,
306,07/06/22 10:18:30 AM,64.825,5.757,,
307,07/06/22 10:18:40 AM,64.846,5.757,,
308,07/06/22 10:18:50 AM,64.835,5.757,,
309,07/06/22 10:19:00 AM,64.835,5.757,,
310,07/06/22 10:19:10 AM,64.795,5.757,,
311,07/06/22 10:19:20 AM,64.815,5.757,,
312,07/06/22 10:19:30 AM,64.825,5.757,,
313,07/06/22 10:19:40 AM,64.815,5.757,,
314,07/06/22 10:19:50 AM,64.835,5.757,,
315,07/06/22 10:20:00 AM,64.835,5.757,,
316,07/06/22 10:20:10 AM,64.825,5.757,,
317,07/06/22 10:20:20 AM,64.815,5.757,,
318,07/06/22 10:20:30 AM,64.835,5.757,,
319,07/06/22 10:20:40 AM,64.835,5.757,,
320,07/06/22 10:20:50 AM,64.825,5.757,,
321,07/06/22 10:21:00 AM,64.825,5.757,,
322,07/06/22 10:21:10 AM,64.805,5.757,,
323,07/06/22 10:21:20 AM,64.815,5.757,,
324,07/06/22 10:21:30 AM,64.825,5.757,,
325,07/06/22 10:21:40 AM,64.835,5.757,,
326,07/06/22 10:21:50 AM,64.866,5.757,,
327,07/06/22 10:22:00 AM,64.825,5.757,,
328,07/06/22 10:22:10 AM,64.846,5.757,,
329,07/06/22 10:22:20 AM,64.846,5.757,,
330,07/06/22 10:22:30 AM,64.825,5.757,,
331,07/06/22 10:22:40 AM,64.815,5.757,,
332,07/06/22 10:22:50 AM,64.815,5.757,,
333,07/06/22 10:23:00 AM,64.825,5.757,,
334,07/06/22 10:23:10 AM,64.838,5.860,,
335,07/06/22 10:23:20 AM,64.805,5.757,,
336,07/06/22 10:23:30 AM,64.815,5.757,,
337,07/06/22 10:23:40 AM,64.825,5.757,,
338,07/06/22 10:23:50 AM,64.815,5.757,,
339,07/06/22 10:24:00 AM,64.835,5.757,,
340,07/06/22 10:24:10 AM,64.815,5.757,,
341,07/06/22 10:24:20 AM,64.808,5.860,,
342,07/06/22 10:24:30 AM,64.815,5.757,,
343,07/06/22 10:24:40 AM,64.818,5.860,,
344,07/06/22 10:24:50 AM,64.805,5.757,,
345,07/06/22 10:25:00 AM,64.838,5.860,,
346,07/06/22 10:25:10 AM,64.818,5.860,,
347,07/06/22 10:25:20 AM,64.798,5.860,,
348,07/06/22 10:25:30 AM,64.808,5.860,,
349,07/06/22 10:25:40 AM,64.828,5.860,,
350,07/06/22 10:25:50 AM,64.808,5.860,,
351,07/06/22 10:26:00 AM,64.808,5.860,,
352,07/06/22 10:26:10 AM,64.818,5.860,,
353,07/06/22 10:26:20 AM,64.808,5.860,,
354,07/06/22 10:26:30 AM,64.818,5.860,,
355,07/06/22 10:26:40 AM,64.828,5.860,,
356,07/06/22 10:26:50 AM,64.808,5.860,,
357,07/06/22 10:27:00 AM,64.818,5.860,,
358,07/06/22 10:27:10 AM,64.808,5.860,,
359,07/06/22 10:27:20 AM,64.828,5.860,,
360,07/06/22 10:27:30 AM,64.818,5.860,,
361,07/06/22 10:27:40 AM,64.828,5.860,,
362,07/06/22 10:27:50 AM,64.808,5.860,,
363,07/06/22 10:28:00 AM,64.808,5.860,,
364,07/06/22 10:28:10 AM,64.808,5.860,,
365,07/06/22 10:28:20 AM,64.808,5.860,,
366,07/06/22 10:28:30 AM,64.818,5.860,,
367,07/06/22 10:28:40 AM,64.828,5.860,,
368,07/06/22 10:28:50 AM,64.828,5.860,,
369,07/06/22 10:29:00 AM,64.808,5.860,,
370,07/06/22 10:29:10 AM,64.808,5.860,,
371,07/06/22 10:29:20 AM,64.808,5.860,,
372,07/06/22 10:29:30 AM,64.818,5.860,,
373,07/06/22 10:29:40 AM,64.838,5.860,,
374,07/06/22 10:29:50 AM,64.818,5.860,,
375,07/06/22 10:30:00 AM,64.798,5.860,,
376,07/06/22 10:30:10 AM,64.828,5.860,,
377,07/06/22 10:30:20 AM,64.808,5.860,,
378,07/06/22 10:30:30 AM,64.818,5.860,,
379,07/06/22 10:30:40 AM,64.828,5.860,,
380,07/06/22 10:30:50 AM,64.808,5.860,,
381,07/06/22 10:31:00 AM,64.788,5.860,,
382,07/06/22 10:31:10 AM,64.808,5.860,,
383,07/06/22 10:31:20 AM,64.818,5.860,,
384,07/06/22 10:31:30 AM,64.828,5.860,,
385,07/06/22 10:31:40 AM,64.818,5.860,,
386,07/06/22 10:31:50 AM,64.828,5.860,,
387,07/06/22 10:32:00 AM,64.838,5.860,,
388,07/06/22 10:32:10 AM,64.838,5.860,,
389,07/06/22 10:32:20 AM,64.808,5.860,,
390,07/06/22 10:32:30 AM,64.838,5.860,,
391,07/06/22 10:32:40 AM,64.858,5.860,,
392,07/06/22 10:32:50 AM,64.848,5.860,,
393,07/06/22 10:33:00 AM,64.828,5.860,,
394,07/06/22 10:33:10 AM,64.838,5.860,,
395,07/06/22 10:33:20 AM,64.828,5.860,,
396,07/06/22 10:33:30 AM,64.818,5.860,,
397,07/06/22 10:33:40 AM,64.828,5.860,,
398,07/06/22 10:33:50 AM,64.808,5.860,,
399,07/06/22 10:34:00 AM,64.808,5.860,,
400,07/06/22 10:34:10 AM,64.808,5.860,,
401,07/06/22 10:34:20 AM,64.808,5.860,,
402,07/06/22 10:34:30 AM,64.818,5.860,,
403,07/06/22 10:34:40 AM,64.828,5.860,,
404,07/06/22 10:34:50 AM,64.808,5.860,,
405,07/06/22 10:35:00 AM,64.818,5.860,,
406,07/06/22 10:35:10 AM,64.828,5.860,,
407,07/06/22 10:35:20 AM,64.828,5.860,,
408,07/06/22 10:35:30 AM,64.808,5.860,,
409,07/06/22 10:35:40 AM,64.808,5.860,,
410,07/06/22 10:35:50 AM,64.808,5.860,,
411,07/06/22 10:36:00 AM,64.818,5.860,,
412,07/06/22 10:36:10 AM,64.808,5.860,,
413,07/06/22 10:36:20 AM,64.808,5.860,,
414,07/06/22 10:36:30 AM,64.808,5.860,,
415,07/06/22 10:36:40 AM,64.818,5.860,,
416,07/06/22 10:36:50 AM,64.818,5.860,,
417,07/06/22 10:37:00 AM,64.828,5.860,,
418,07/06/22 10:37:10 AM,64.818,5.860,,
419,07/06/22 10:37:20 AM,64.818,5.860,,
420,07/06/22 10:37:30 AM,64.828,5.860,,
421,07/06/22 10:37:40 AM,64.798,5.860,,
422,07/06/22 10:37:50 AM,64.808,5.860,,
