Wetland 12 reformated for r script,,,
no.,DateTime,Level_20220442,TEMPERATURE
191,6/9/2022 12:00,65.75244151,7.451
192,6/9/2022 12:15,65.74655903,7.439
193,6/9/2022 12:30,65.72597034,7.428
194,6/9/2022 12:45,65.70636206,7.418
195,6/9/2022 13:00,65.69851875,7.407
196,6/9/2022 13:15,65.69557751,7.397
197,6/9/2022 13:30,65.67498881,7.388
198,6/9/2022 13:45,65.66420426,7.378
199,6/9/2022 14:00,65.64361557,7.37
200,6/9/2022 14:15,65.63675267,7.362
201,6/9/2022 14:30,65.61714439,7.354
202,6/9/2022 14:45,65.5965557,7.347
203,6/9/2022 15:00,65.59067321,7.339
204,6/9/2022 15:15,65.57008452,7.332
205,6/9/2022 15:30,65.57106494,7.327
206,6/9/2022 15:45,65.58577114,7.321
207,6/9/2022 16:00,65.58675156,7.316
208,6/9/2022 16:15,65.58675156,7.311
209,6/9/2022 16:30,65.58381032,7.307
210,6/9/2022 16:45,65.58773197,7.303
211,6/9/2022 17:00,65.58871239,7.301
212,6/9/2022 17:15,65.57694742,7.298
213,6/9/2022 17:30,65.56224121,7.296
214,6/9/2022 17:45,65.57694742,7.294
215,6/9/2022 18:00,65.59263404,7.294
216,6/9/2022 18:15,65.60734025,7.293
217,6/9/2022 18:30,65.62106605,7.293
218,6/9/2022 18:45,65.63479184,7.294
219,6/9/2022 19:00,65.63381143,7.295
220,6/9/2022 19:15,65.62890936,7.296
221,6/9/2022 19:30,65.65538053,7.299
222,6/9/2022 19:45,65.65930219,7.3
223,6/9/2022 20:00,65.66126302,7.303
224,6/9/2022 20:15,65.67106716,7.307
225,6/9/2022 20:30,65.68283212,7.31
226,6/9/2022 20:45,65.69851875,7.314
227,6/9/2022 21:00,65.69361668,7.319
228,6/9/2022 21:15,65.70440123,7.323
229,6/9/2022 21:30,65.70440123,7.328
230,6/9/2022 21:45,65.70734247,7.333
231,6/9/2022 22:00,65.70538165,7.338
232,6/9/2022 22:15,65.70734247,7.344
233,6/9/2022 22:30,65.71028372,7.348
234,6/9/2022 22:45,65.71028372,7.353
235,6/9/2022 23:00,65.71126413,7.358
236,6/9/2022 23:15,65.70734247,7.362
237,6/9/2022 23:30,65.7093033,7.367
238,6/9/2022 23:45,65.69459709,7.371
239,6/10/2022 0:00,65.68675378,7.375
240,6/10/2022 0:15,65.67793005,7.378
241,6/10/2022 0:30,65.67989088,7.381
242,6/10/2022 0:45,65.68283212,7.384
243,6/10/2022 1:00,65.67498881,7.386
244,6/10/2022 1:15,65.6671455,7.388
245,6/10/2022 1:30,65.65832178,7.389
246,6/10/2022 1:45,65.64557639,7.391
247,6/10/2022 2:00,65.62988977,7.392
248,6/10/2022 2:15,65.62792894,7.393
249,6/10/2022 2:30,65.60930108,7.394
250,6/10/2022 2:45,65.5965557,7.394
251,6/10/2022 3:00,65.58871239,7.395
252,6/10/2022 3:15,65.57890825,7.394
253,6/10/2022 3:30,65.58381032,7.394
254,6/10/2022 3:45,65.5828299,7.393
255,6/10/2022 4:00,65.59459487,7.392
256,6/10/2022 4:15,65.59459487,7.391
257,6/10/2022 4:30,65.58381032,7.39
258,6/10/2022 4:45,65.58381032,7.389
259,6/10/2022 5:00,65.58675156,7.387
260,6/10/2022 5:15,65.59753611,7.385
261,6/10/2022 5:30,65.61028149,7.383
262,6/10/2022 5:45,65.63087019,7.38
263,6/10/2022 6:00,65.63773308,7.377
264,6/10/2022 6:15,65.65440012,7.374
265,6/10/2022 6:30,65.6602826,7.37
266,6/10/2022 6:45,65.65734136,7.366
267,6/10/2022 7:00,65.67008674,7.362
268,6/10/2022 7:15,65.68381254,7.357
269,6/10/2022 7:30,65.69753833,7.352
270,6/10/2022 7:45,65.71126413,7.347
271,6/10/2022 8:00,65.72498992,7.341
272,6/10/2022 8:15,65.72400951,7.334
273,6/10/2022 8:30,65.73871572,7.328
274,6/10/2022 8:45,65.75636317,7.321
275,6/10/2022 9:00,65.78185393,7.314
276,6/10/2022 9:15,65.78087352,7.308
277,6/10/2022 9:30,65.76616731,7.299
278,6/10/2022 9:45,65.78381476,7.291
279,6/10/2022 10:00,65.77204979,7.284
280,6/10/2022 10:15,65.7651869,7.276
281,6/10/2022 10:30,65.758324,7.268
282,6/10/2022 10:45,65.74753944,7.26
283,6/10/2022 11:00,65.73577448,7.251
284,6/10/2022 11:15,65.72793117,7.244
285,6/10/2022 11:30,65.70538165,7.236
