Serial_number:
2020433
Project ID:

Location:

Well02
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well02,TEMPERATURE
1/13/2023,03:15:00 am,0,68.4122,8.202
1/13/2023,03:30:00 am,0,68.4102,8.185
1/13/2023,03:45:00 am,0,68.4151,8.170
1/13/2023,04:00:00 am,0,68.4080,8.154
1/13/2023,04:15:00 am,0,68.4072,8.136
1/13/2023,04:30:00 am,0,68.3992,8.115
1/13/2023,04:45:00 am,0,68.4016,8.095
1/13/2023,05:00:00 am,0,68.3949,8.076
1/13/2023,05:15:00 am,0,68.4062,8.055
1/13/2023,05:30:00 am,0,68.4177,8.036
1/13/2023,05:45:00 am,0,68.4267,8.016
1/13/2023,06:00:00 am,0,68.4365,7.996
1/13/2023,06:15:00 am,0,68.4459,7.976
1/13/2023,06:30:00 am,0,68.4554,7.957
1/13/2023,06:45:00 am,0,68.4713,7.941
1/13/2023,07:00:00 am,0,68.4753,7.928
1/13/2023,07:15:00 am,0,68.4907,7.917
1/13/2023,07:30:00 am,0,68.5064,7.908
1/13/2023,07:45:00 am,0,68.5186,7.901
1/13/2023,08:00:00 am,0,68.5324,7.896
1/13/2023,08:15:00 am,0,68.5392,7.893
1/13/2023,08:30:00 am,0,68.5500,7.893
1/13/2023,08:45:00 am,0,68.5568,7.895
1/13/2023,09:00:00 am,0,68.5717,7.900
1/13/2023,09:15:00 am,0,68.5837,7.906
1/13/2023,09:30:00 am,0,68.5884,7.910
1/13/2023,09:45:00 am,0,68.5767,7.915
1/13/2023,10:00:00 am,0,68.5678,7.925
1/13/2023,10:15:00 am,0,68.5707,7.942
1/13/2023,10:30:00 am,0,68.5624,7.961
1/13/2023,10:45:00 am,0,68.5519,7.979
1/13/2023,11:00:00 am,0,68.5312,7.997
1/13/2023,11:15:00 am,0,68.5275,8.013
1/13/2023,11:30:00 am,0,68.5180,8.029
1/13/2023,11:45:00 am,0,68.5289,8.041
1/13/2023,12:00:00 pm,0,68.4768,8.056
1/13/2023,12:15:00 pm,0,68.4935,8.068
1/13/2023,12:30:00 pm,0,68.4855,8.079
1/13/2023,12:45:00 pm,0,68.4705,8.089
1/13/2023,01:00:00 pm,0,68.4627,8.101
1/13/2023,01:15:00 pm,0,68.4516,8.110
1/13/2023,01:30:00 pm,0,68.4232,8.119
1/13/2023,01:45:00 pm,0,68.4463,8.128
1/13/2023,02:00:00 pm,0,68.4154,8.136
1/13/2023,02:15:00 pm,0,68.3926,8.145
1/13/2023,02:30:00 pm,0,68.3673,8.152
1/13/2023,02:45:00 pm,0,68.3829,8.159
1/13/2023,03:00:00 pm,0,68.3473,8.166
1/13/2023,03:15:00 pm,0,68.3280,8.173
1/13/2023,03:30:00 pm,0,68.3191,8.179
1/13/2023,03:45:00 pm,0,68.3155,8.185
1/13/2023,04:00:00 pm,0,68.3109,8.191
1/13/2023,04:15:00 pm,0,68.3060,8.197
1/13/2023,04:30:00 pm,0,68.3169,8.203
1/13/2023,04:45:00 pm,0,68.2969,8.207
1/13/2023,05:00:00 pm,0,68.2807,8.212
1/13/2023,05:15:00 pm,0,68.3088,8.216
1/13/2023,05:30:00 pm,0,68.3066,8.221
1/13/2023,05:45:00 pm,0,68.2971,8.226
1/13/2023,06:00:00 pm,0,68.3005,8.231
1/13/2023,06:15:00 pm,0,68.3091,8.235
