AquaticSystem,Wetland ,Glass_#,Location ,Time ,Date,Rep,Notes,Notes2
wetland,11,12,2,12:15,7/22/22,C,,
wetland,11,10,3,12:16,7/22/22,C,,
wetland,12,107,3,13:00,7/6/22,A,,
wetland,12,117,2,12:42,7/6/22,A,,
wetland,12,118,2,12:45,7/6/22,A,,
wetland,12,121,1,12:31,7/6/22,A,,
wetland,12,145,1,9:34,7/22/22,B,,
wetland,12,144,2,9:46,7/22/22,B,,
wetland,12,142,2,9:48,7/22/22,B,,
wetland,12,154,3,10:02,7/22/22,B,,
wetland,12,39,1,9:38,7/27/22,C,,
wetland,12,43,2,9:54,7/27/22,C,,
wetland,12,44,2,9:56,7/27/22,C,,
wetland,12,41,3,10:11,7/27/22,C,,
river,Colmillo,1,0m,10:30,7/26/22,A,,
river,Colmillo,6,0m,10:30,7/26/22,A,,
river,Colmillo,34,50m,10:38,7/26/22,A,,
river,Colmillo,33,50m ,10:38,7/26/22,A,,
river,Gavi-main,136,100m,,6/6/22,A,,Need to be weighed
river,Gavi-main,137,100m,,6/6/22,A,,Need to be weighed
river,Gavi-main,138,50m ,,6/6/22,A,,Need to be weighed
river,Gavi-main,139,50m ,,6/6/22,A,,Need to be weighed
river,Gavi-main,140,0m,,6/6/22,A,,Need to be weighed
river,Gavi-main,141,0m ,,6/6/22,A,,Need to be weighed
river,Gavi-trib,77,15m,,6/20/22,A,,
river,Gavi-trib,78,30m,,6/20/22,A,Maybe a bubble??,
river,Gavi-trib,84,30m,,6/20/22,A,,
river,Gavi-trib,103,0m,,6/20/22,A,,
river,Gavi-trib,120,15m,,6/20/22,A,,
river,Gavi-trib,127,0m,,6/20/22,A,,
river,Gavi-main,25,50m,9:45,7/6/22,B,*one of the 25s can be a 235,
river,Gavi-main,85,50m,9:45,7/6/22,B,,
river,Gavi-main,90,0m,9:35,7/6/22,B,,
river,Gavi-main,125,0m,9:35,7/6/22,B,,
river,Gavi-trib,55,30m,9:24,7/21/22,A,,
river,Gavi-trib,59,30m,9:26,7/21/22,A,,
river,Gavi-trib,48,0m,9:40,7/21/22,A,,
river,Gavi-trib,57,0m,9:40,7/21/22,A,,
river,Gavi-trib,28,50m,10:10,7/15/22,B,,
river,Gavi-trib,52,0m,9:50,7/15/22,B,,
river,Gavi-trib,240,50m ,10:10,7/15/22,B,,
river,Gavi-trib,271,0m,9:50,7/15/22,B,,
river,Gavi-main,86,0m,9:45,7/1/22,,,
river,Gavi-main,100,0m,9:45,7/1/22,,,
river,Gavi-main,106,50m,9:32,7/1/22,,,
river,Gavi-main,133,50m,9:33,7/1/22,,,
