Title,batch,Sample,Bottle_Number,area,CH4 ppm NOT CORRECTED
Ecuador2022_pt2_308_1.gcd,pt2,308,308,1156,1.256
Ecuador2022_pt2_70_1.gcd,pt2,70,70,141371,170.1643
Ecuador2022_pt2_71_1.gcd,pt2,71,71,51178,61.9327
Ecuador2022_pt2_72_1.gcd,pt2,72,72,12071,15.0043
Ecuador2022_pt2_73_1.gcd,pt2,73,73,5367,6.7303
Ecuador2022_pt2_309_1.gcd,pt2,309,309,1208,1.3236
Ecuador2022_pt2_75_1.gcd,pt2,75,75,4499,5.6019
Ecuador2022_pt2_76_1.gcd,pt2,76,76,11745,14.6131
Ecuador2022_pt2_77_1.gcd,pt2,77,77,18729,22.9939
Ecuador2022_pt2_78_1.gcd,pt2,78,78,13466,16.6783
Ecuador2022_pt2_320_1.gcd,pt2,320,320,889,0.9089
Ecuador2022_pt2_81_1.gcd,pt2,81,81,9652,12.1015
Ecuador2022_pt2_82_1.gcd,pt2,82,82,5353,6.7121
Ecuador2022_pt3_c1_1.gcd,pt3,c1,NA,437,0.3213
Ecuador2022_pt3_c2_1.gcd,pt3,c2,NA,1008,1.0636
Ecuador2022_pt3_c3_1.gcd,pt3,c3,NA,3967,4.9103
Ecuador2022_pt3_c4_1.gcd,pt3,c4,NA,22501,27.5203
Ecuador2022_pt3_c5_1.gcd,pt3,c5,NA,184550,221.9791
Ecuador2022_pt3_89_1.gcd,pt3,89,89,13310,16.4911
Ecuador2022_pt3_90_1.gcd,pt3,90,90,28529,34.7539
Ecuador2022_pt3_91_1.gcd,pt3,91,91,12265,15.2371
Ecuador2022_pt3_92_1.gcd,pt3,92,92,6078,7.6546
Ecuador2022_pt3_94_1.gcd,pt3,94,94,48552,58.7815
Ecuador2022_pt3_95_1.gcd,pt3,95,95,6444,8.1304
Ecuador2022_pt3_310_1.gcd,pt3,310,310,732,0.7048
Ecuador2022_pt3_97_1.gcd,pt3,97,97,270427,325.0315
Ecuador2022_pt3_98_1.gcd,pt3,98,98,2471,2.9655
Ecuador2022_pt3_99_1.gcd,pt3,99,99,53763,65.0347
Ecuador2022_pt3_100_1.gcd,pt3,100,100,35907,43.6075
Ecuador2022_pt3_311_1.gcd,pt3,311,311,861,0.8725
Ecuador2022_pt3_312_1.gcd,pt3,312,312,770,0.7542
Ecuador2022_pt3_103_1.gcd,pt3,103,103,17705,21.7651
Ecuador2022_pt3_104_1.gcd,pt3,104,104,65985,79.7011
Ecuador2022_pt3_105_1.gcd,pt3,105,105,1876,2.192
Ecuador2022_pt3_106_1.gcd,pt3,106,106,39311,47.6923
Ecuador2022_pt3_107_1.gcd,pt3,107,107,11696,14.5543
Ecuador2022_pt3_108_1.gcd,pt3,108,108,5033,6.2961
Ecuador2022_pt3_109_1.gcd,pt3,109,109,2266,2.699
Ecuador2022_pt3_110_1.gcd,pt3,110,110,14059,17.3899
Ecuador2022_pt3_111_1.gcd,pt3,111,111,1915,2.2427
Ecuador2022_pt3_112_1.gcd,pt3,112,112,158299,190.4779
Ecuador2022_pt3_114_1.gcd,pt3,114,114,532341,639.3283
Ecuador2022_pt3_115_1.gcd,pt3,115,115,2083,2.4611
Ecuador2022_pt3_313_1.gcd,pt3,313,313,891,0.9115
Ecuador2022_pt3_117_1.gcd,pt3,117,117,10320,12.9031
Ecuador2022_pt3_118_1.gcd,pt3,118,118,9747,12.2155
Ecuador2022_pt3_315_1.gcd,pt3,315,315,883,0.9011
Ecuador2022_pt3_120_1.gcd,pt3,120,120,20893,25.5907
Ecuador2022_pt3_121_1.gcd,pt3,121,121,9015,11.3371
Ecuador2022_pt3_122_1.gcd,pt3,122,122,1363,1.5251
Ecuador2022_pt3_123_1.gcd,pt3,123,123,2617,3.1553
Ecuador2022_pt3_316_1.gcd,pt3,316,316,822,0.8218
Ecuador2022_pt3_125_1.gcd,pt3,125,125,29928,36.4327
Ecuador2022_pt3_126_1.gcd,pt3,126,126,15868,19.5607
Ecuador2022_pt3_127_1.gcd,pt3,127,127,20252,24.8215
Ecuador2022_pt3_128_1.gcd,pt3,128,128,12979,16.0939
Ecuador2022_pt3_129_1.gcd,pt3,129,129,31862,38.7535
Ecuador2022_pt3_130_1.gcd,pt3,130,130,42834,51.9199
Ecuador2022_pt3_131_1.gcd,pt3,131,131,7004,8.8584
Ecuador2022_pt3_132_1.gcd,pt3,132,132,164761,198.2323
Ecuador2022_pt3_133_1.gcd,pt3,133,133,36006,43.7263
Ecuador2022_pt3_134_1.gcd,pt3,134,134,1829,2.1309
Ecuador2022_pt3_135_1.gcd,pt3,135,135,45900,55.5991
Ecuador2022_pt4_c1_1.gcd,pt4,c1,NA,427,0.3083
Ecuador2022_pt4_c2_1.gcd,pt4,c2,NA,965,1.0077
Ecuador2022_pt4_c3_1.gcd,pt4,c3,NA,3857,4.7673
Ecuador2022_pt4_c4_1.gcd,pt4,c4,NA,22748,27.8167
Ecuador2022_pt4_c5_1.gcd,pt4,c5,NA,160888,193.5847
Ecuador2022_pt4_141_1.gcd,pt4,141,141,131470,158.2831
Ecuador2022_pt4_142_1.gcd,pt4,142,142,9255,11.6251
Ecuador2022_pt4_144_1.gcd,pt4,144,144,8880,11.1751
Ecuador2022_pt4_145_1.gcd,pt4,145,145,6056,7.626
Ecuador2022_pt4_154_1.gcd,pt4,154,154,20816,25.4983
Ecuador2022_pt4_155_1.gcd,pt4,155,155,2516,3.024
Ecuador2022_pt4_161_1.gcd,pt4,161,161,2264,2.6964
Ecuador2022_pt4_321_1.gcd,pt4,321,321,834,0.8374
Ecuador2022_pt4_324_1.gcd,pt4,324,324,914,0.9414
Ecuador2022_pt4_325_1.gcd,pt4,325,325,875,0.8907
Ecuador2022_pt4_181_1.gcd,pt4,181,181,2289,2.7289
Ecuador2022_pt4_196_1.gcd,pt4,196,196,1088,1.1676
Ecuador2022_pt4_197_1.gcd,pt4,197,197,1122,1.2118
Ecuador2022_pt4_218_1.gcd,pt4,218,218,35778,43.4527
Ecuador2022_pt4_221_1.gcd,pt4,221,221,4686,5.845
Ecuador2022_pt4_223_1.gcd,pt4,223,223,263917,317.2195
Ecuador2022_pt4_226_1.gcd,pt4,226,226,397011,476.9323
Ecuador2022_pt4_228_1.gcd,pt4,228,228,4153,5.1521
Ecuador2022_pt4_232_1.gcd,pt4,232,232,3825,4.7257
Ecuador2022_pt4_234_1.gcd,pt4,234,234,13867,17.1595
Ecuador2022_pt4_235_1.gcd,pt4,235,235,4282,5.3198
Ecuador2022_pt4_240_1.gcd,pt4,240,240,19623,24.0667
Ecuador2022_pt4_242_1.gcd,pt4,242,242,2169,2.5729
Ecuador2022_pt4_244_1.gcd,pt4,244,244,40246,48.8143
Ecuador2022_pt4_247_1.gcd,pt4,247,247,600152,720.7015
Ecuador2022_pt4_255_1.gcd,pt4,255,255,449925,540.4291
Ecuador2022_pt4_263_1.gcd,pt4,263,263,4962,6.2038
Ecuador2022_pt4_267_1.gcd,pt4,267,267,2053,2.4221
Ecuador2022_pt4_270_1.gcd,pt4,270,270,3797,4.6893
Ecuador2022_pt4_271_1.gcd,pt4,271,271,30757,37.4275
Ecuador2022_pt4_277_1.gcd,pt4,277,277,59975,72.4891
Ecuador2022_pt4_279_1.gcd,pt4,279,279,562636,675.6823
Ecuador2022_pt4_298_1.gcd,pt4,298,298,1232,1.3548
Ecuador2022_pt4_318_1.gcd,pt4,318,318,847,0.8543
Ecuador2022_pt4_319_1.gcd,pt4,319,319,876,0.892
Ecuador2022_pt4_20_1.gcd,pt4,20,20,1587,1.8163
Ecuador2022_pt4_22_1.gcd,pt4,22,22,2608,3.1436
Ecuador2022_pt4_23_1.gcd,pt4,23,23,2307,2.7523
Ecuador2022_pt4_69_1.gcd,pt4,69,69,7470,9.4642
Ecuador2022_pt4_74_1.gcd,pt4,74,74,29591,36.0283
Ecuador2022_pt4_79_1.gcd,pt4,79,79,46368,56.1607
Ecuador2022_pt4_96_1.gcd,pt4,96,96,1956,2.296
Ecuador2022_pt4_101_1.gcd,pt4,101,101,80403,97.0027
Ecuador2022_pt4_102_1.gcd,pt4,102,102,206244,248.0119
Ecuador2022_pt4_116_1.gcd,pt4,116,116,180460,217.0711
Ecuador2022_pt5_c2_1.gcd,pt5,c2,NA,900,0.9232
Ecuador2022_pt5_c4_1.gcd,pt5,c4,NA,23011,28.1323
Ecuador2022_pt5_c5_1.gcd,pt5,c5,NA,181718,218.5807
Ecuador2022_pt5_1_1.gcd,pt5,1,1,39789,48.2659
Ecuador2022_pt5_2_1.gcd,pt5,2,2,267164,321.1159
Ecuador2022_pt5_6_1.gcd,pt5,6,6,29602,36.0415
Ecuador2022_pt5_8_1.gcd,pt5,8,8,1644,1.8904
Ecuador2022_pt5_9_1.gcd,pt5,9,9,30512,37.1335
Ecuador2022_pt5_10_1.gcd,pt5,10,10,15893,19.5907
Ecuador2022_pt5_80_1.gcd,pt5,80,80,197906,238.0063
Ecuador2022_pt5_83_1.gcd,pt5,83,83,97541,117.5683
Ecuador2022_pt5_84_1.gcd,pt5,84,84,14553,17.9827
Ecuador2022_pt5_86_1.gcd,pt5,86,86,35938,43.6447
Ecuador2022_pt5_87_1.gcd,pt5,87,87,185343,222.9307
Ecuador2022_pt5_119_1.gcd,pt5,119,119,131625,158.4691
Ecuador2022_pt5_124_1.gcd,pt5,124,124,12896,15.9943
Ecuador2022_pt5_170_1.gcd,pt5,170,170,2499,3.0019
Ecuador2022_pt5_171_1.gcd,pt5,171,171,3596,4.428
Ecuador2022_pt5_177_1.gcd,pt5,177,177,2838,3.4426
Ecuador2022_pt5_136_1.gcd,pt5,136,136,6550,8.2682
Ecuador2022_pt5_137_1.gcd,pt5,137,137,3486,4.285
Ecuador2022_pt5_138_1.gcd,pt5,138,138,33741,41.0083
Ecuador2022_pt5_139_1.gcd,pt5,139,139,34219,41.5819
Ecuador2022_pt5_140_1.gcd,pt5,140,140,127652,153.7015
