File,Sample_ID,order,Sample Name,Sample ID,CO,CH4,CO2,N2O,Site,,,
C:\LabSolutions\Data\Project1\240222\2222024,230,028.gcd,230,,0,10.311,3145.72,-----,waypt10,,,
C:\LabSolutions\Data\Project1\240222\2222024,231,029.gcd,231,,0,30.361,635.996,-----,waypt06,,,
C:\LabSolutions\Data\Project1\240222\2222024,245,030.gcd,245,,0,58.639,10637.59,-----,waypt09,,,
C:\LabSolutions\Data\Project1\240222\2222024,256,031.gcd,256,,0,179.205,3305.52,-----,Waypt01,,,
C:\LabSolutions\Data\Project1\240222\2222024,257,032.gcd,257,,0,173.284,2815.15,-----,Waypt01,,,
C:\LabSolutions\Data\Project1\240222\2222024,258,033.gcd,258,,0,124.282,1401.85,-----,waypt07,,,
C:\LabSolutions\Data\Project1\240222\2222024,266,034.gcd,266,,0,7.638,26018.68,1.525,Waypt03,,,
C:\LabSolutions\Data\Project1\240222\2222024,269,035.gcd,269,,0,87.903,6027.61,-----,waypt13,,,
C:\LabSolutions\Data\Project1\240222\2222024,274,036.gcd,274,,0,6.155,8507.01,-----,waypt14,,,
C:\LabSolutions\Data\Project1\240222\2222024,275,037.gcd,275,,0,51.637,2120.63,-0.598,waypt08,,,
C:\LabSolutions\Data\Project1\240222\2222024,276,038.gcd,276,,0,56.809,9646.26,-----,waypt09,,,
C:\LabSolutions\Data\Project1\240222\2222024,Tblank1,039.gcd,Tblank1,,0,-----,189.644,-----,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Tblank2,040.gcd,Tblank2,,0,-----,331.553,-0.574,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Tblank3,041.gcd,Tblank3,,0,-----,263.596,-----,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Tblank4,042.gcd,Tblank4,,0,-----,259.774,-----,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Tblank5,043.gcd,Tblank5,,0,-----,255.704,-0.582,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Standard_1,045.gcd,Standard  1,,-----,-----,109.52,-----,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Standard_3,046.gcd,Standard  3,,-----,5.03,1043.682,0.696,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Standard_4,047.gcd,Standard  4,,-----,29.965,1939.08,5.365,,,,
C:\LabSolutions\Data\Project1\240222\2222024,Standard_5,048.gcd,Standard  5,,-----,200.004,10007.72,24.939,,,,
,,,,,,,,,,,,
