"","...1","Sample.Name","Site","Site2","Lat","Lon","Date","time","DateTime","Watertemp_c","AirPress_kpa","AirTemp_C","CO2_ppm","CO2_umol.L","CH4_umol.L","CH4_sat","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","CO2_sat_mol.L","CO2_mol.L","CO2_sat","CH4_air_atm","KH_CH4_mol.L.atm","CH4_sat_umol.L","CH4_pSat"
"11",11,NA,"Gavilan","Waypoint2",-0.327066346,-78.20043809,"11/29/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,418.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,159,"Gavilan","waypt12",-0.328265587,-78.20016811,"11/30/22",09:46:00,2022-11-30 09:45:00,7.538,62.3872,6.724,5612.8523199435,202.59195153032,9.6714,414985.9361,418.53,0.615865745310958,0.616833586310958,0.000257758290384995,0.00346219582594453,0.0585154513826642,58.5154513826642,1.50828427095018e-05,0.00020259195153032,1343.19475069969,1.17690096331688e-06,0.0019802863987613,0.00233060097034549,414974.511855898
"13",13,209,"Gavilan","waypt12",-0.328265587,-78.20016811,"11/30/22",09:46:00,2022-11-30 09:45:00,7.538,62.3872,6.724,5612.8523199435,202.59195153032,8.2002,351859.4234,418.53,0.615865745310958,0.616833586310958,0.000257758290384995,0.00346219582594453,0.0585154513826642,58.5154513826642,1.50828427095018e-05,0.00020259195153032,1343.19475069969,1.17690096331688e-06,0.0019802863987613,0.00233060097034549,351849.162698341
"14",14,269,"Gavilan","waypt13",-0.328201926,-78.19985798,"11/30/22",10:42:00,2022-11-30 10:45:00,7.507,62.3582,6.739,12609.123844602,455.336054011312,2.555,109546.7525,418.53,0.615579466929911,0.616547307929911,0.000257638474294176,0.00777412136174421,0.058570741672748,58.570741672748,1.50900765228451e-05,0.000455336054011312,3017.45357832992,1.17635389391905e-06,0.00198153362915304,0.00233098480058573,109610.324329784
"15",15,152,"Gavilan","waypt13",-0.328201926,-78.19985798,"11/30/22",10:42:00,2022-11-30 10:45:00,7.507,62.3582,6.739,12609.123844602,455.336054011312,2.5151,107835.4148,418.53,0.615579466929911,0.616547307929911,0.000257638474294176,0.00777412136174421,0.058570741672748,58.570741672748,1.50900765228451e-05,0.000455336054011312,3017.45357832992,1.17635389391905e-06,0.00198153362915304,0.00233098480058573,107898.601456689
"16",16,149,"Gavilan","waypt14",-0.328201926,-78.19985798,"11/30/22",11:32:00,2022-11-30 11:30:00,7.486,62.3242,6.743,6867.700234585,248.027524234692,0.1893,8116.4834,418.53,0.615243830207305,0.616211671207305,0.000257498000256663,0.00423195703890442,0.0586082330124273,58.6082330124273,1.50915027992766e-05,0.000248027524234692,1643.49122505269,1.17571250221125e-06,0.00198237913010822,0.0023307079273909,8121.99580116034
"17",17,274,"Gavilan","waypt14",-0.328201926,-78.19985798,"11/30/22",11:32:00,2022-11-30 11:30:00,7.486,62.3242,6.743,6867.700234585,248.027524234692,0.1789,7668.8159,418.53,0.615243830207305,0.616211671207305,0.000257498000256663,0.00423195703890442,0.0586082330124273,58.6082330124273,1.50915027992766e-05,0.000248027524234692,1643.49122505269,1.17571250221125e-06,0.00198237913010822,0.0023307079273909,7675.77944441408
"18",18,156,"Gavilan","waypt08",-0.327188387,-78.19932849,"11/30/22",12:25:00,2022-11-30 12:30:00,7.464,62.2761,6.748,1883.213367212,68.0055692271965,1.2702,54459.1484,418.53,0.6147690029615,0.615736843961501,0.000257299270809477,0.00115956385523323,0.0586475414185089,58.6475414185089,1.50899696417509e-05,6.80055692271965e-05,450.667369396415,1.17480512158934e-06,0.0019832654157812,0.00232995036793076,54516.182725732
"19",19,275,"Gavilan","waypt08",-0.327188387,-78.19932849,"11/30/22",12:25:00,2022-11-30 12:30:00,7.464,62.2761,6.748,1883.213367212,68.0055692271965,1.5216,65237.7957,418.53,0.6147690029615,0.615736843961501,0.000257299270809477,0.00115956385523323,0.0586475414185089,58.6475414185089,1.50899696417509e-05,6.80055692271965e-05,450.667369396415,1.17480512158934e-06,0.0019832654157812,0.00232995036793076,65306.1121362572
"20",20,258,"Gavilan","waypt07",-0.327040656,-78.19938566,"11/30/22",13:30:00,2022-11-30 13:30:00,7.451,62.227,6.745,2225.4627145415,80.3332530093454,3.6229,155376.7667,418.53,0.614284304047384,0.615252145047384,0.000257096409772952,0.00136922070884463,0.0586707844034376,58.6707844034376,1.50840480286867e-05,8.03332530093454e-05,532.570917677857,1.17387887650543e-06,0.0019837893816373,0.00232872845053979,155574.171782898
"21",21,172,"Gavilan","waypt07",-0.327040656,-78.19938566,"11/30/22",13:30:00,2022-11-30 13:30:00,7.451,62.227,6.745,2225.4627145415,80.3332530093454,3.8544,165307.8096,418.53,0.614284304047384,0.615252145047384,0.000257096409772952,0.00136922070884463,0.0586707844034376,58.6707844034376,1.50840480286867e-05,8.03332530093454e-05,532.570917677857,1.17387887650543e-06,0.0019837893816373,0.00232872845053979,165515.219222171
"22",22,231,"Gavilan","waypt06",-0.326784505,-78.19940108,"11/30/22",14:41:00,2022-11-30 14:45:00,7.454,62.1573,6.736,4322.4861976595,155.841448654748,0.8845,37824.5423,418.53,0.613596248766041,0.614564089766041,0.000256808437996051,0.00265644479559089,0.058665419629051,58.665419629051,1.50657747793195e-05,0.000155841448654748,1034.40713098054,1.17256402350444e-06,0.00198366844984511,0.00232597825884921,38027.0106410028
"23",23,182,"Gavilan","waypt06",-0.326784505,-78.19940108,"11/30/22",14:41:00,2022-11-30 14:45:00,7.454,62.1573,6.736,4322.4861976595,155.841448654748,0.9108,38952.6758,418.53,0.613596248766041,0.614564089766041,0.000256808437996051,0.00265644479559089,0.058665419629051,58.665419629051,1.50657747793195e-05,0.000155841448654748,1034.40713098054,1.17256402350444e-06,0.00198366844984511,0.00232597825884921,39157.7176843701
"24",24,178,"Gavilan","waypt05",-0.326476721,-78.19944416,"12/1/22",11:02:00,2022-12-01 11:00:00,8.234,62.3281,6.864,12031.5508524861,424.780109549093,20.0253,872465.0007,418.53,0.615282329713722,0.616250170713722,0.000257514113455084,0.00741444526679538,0.0572908820908578,57.2908820908578,1.4753210710687e-05,0.000424780109549093,2879.23841039828,1.17578607361303e-06,0.00195256112164333,0.00229579417470647,872260.249661115
"25",25,205,"Gavilan","waypt05",-0.326476721,-78.19944416,"12/1/22",11:02:00,2022-12-01 11:00:00,8.234,62.3281,6.864,12031.5508524861,424.780109549093,16.7675,730525.3403,418.53,0.615282329713722,0.616250170713722,0.000257514113455084,0.00741444526679538,0.0572908820908578,57.2908820908578,1.4753210710687e-05,0.000424780109549093,2879.23841039828,1.17578607361303e-06,0.00195256112164333,0.00229579417470647,730357.284844309
"26",26,245,"Gavilan","waypt09",-0.327248527,-78.19988463,"12/1/22",14:23:00,2022-12-01 14:30:00,8.182,62.1925,6.863,18036.825547609,636.418724413462,1.7017,74065.9065,418.53,0.613943731490622,0.614911572490622,0.00025695386994077,0.0110910527602193,0.0573812728306668,57.3812728306668,1.4744340115967e-05,0.000636418724413462,4316.35949393401,1.17322805256663e-06,0.00195461435198802,0.00229320838970169,74206.0777224595
"27",27,276,"Gavilan","waypt09",-0.327248527,-78.19988463,"12/1/22",14:23:00,2022-12-01 14:30:00,8.182,62.1925,6.863,18036.825547609,636.418724413462,1.65,71814.7042,418.53,0.613943731490622,0.614911572490622,0.00025695386994077,0.0110910527602193,0.0573812728306668,57.3812728306668,1.4744340115967e-05,0.000636418724413462,4316.35949393401,1.17322805256663e-06,0.00195461435198802,0.00229320838970169,71951.5944303097
