"","Station","DateTime","ppm","WL_Pressure","Temp","adjusted_ppm"
"142","xn10m",2022-06-06 13:23:40,3639,645.91,12.11,5710.9659858131
"143","xn10m",2022-06-06 13:23:50,3641.5,645.91,12.11,5714.84466667035
"144","xn10m",2022-06-06 13:24:00,3644.5,645.91,12.11,5719.49908369905
"145","xn10m",2022-06-06 13:24:10,3644.5,645.81,12.11,5720.04605390355
"146","xn10m",2022-06-06 13:24:20,3644,645.91,12.11,5718.7233475276
"147","xn10m",2022-06-06 13:24:30,3646.5,645.91,12.11,5722.60202838485
"148","xn10m",2022-06-06 13:24:40,3646.5,645.81,12.11,5723.14929875135
"149","xn10m",2022-06-06 13:24:50,3649,645.91,12.11,5726.4807092421
"150","xn10m",2022-06-06 13:25:00,3649,645.91,12.11,5726.4807092421
"151","xn10m",2022-06-06 13:25:10,3651,645.81,12.11,5730.1315996589
"152","xn10m",2022-06-06 13:25:20,3651,645.91,12.11,5729.5836539279
"153","xn10m",2022-06-06 13:25:30,3650.5,645.91,12.11,5728.80791775645
"154","xn10m",2022-06-06 13:25:40,3651,645.91,12.11,5729.5836539279
"155","xn10m",2022-06-06 13:25:50,3653.5,645.81,12.11,5734.01065571865
"156","xn10m",2022-06-06 13:26:00,3653.5,645.81,12.11,5734.01065571865
"157","xn10m",2022-06-06 13:26:10,3653.5,646.01,12.11,5732.91401385165
"158","xn10m",2022-06-06 13:26:20,3653.5,646.01,12.11,5732.91401385165
"159","xn10m",2022-06-06 13:26:30,3654,645.91,12.11,5734.2380709566
"160","xn10m",2022-06-06 13:26:40,3654,645.98,12.013,5733.8541937748
"161","xn10m",2022-06-06 13:26:50,3654.5,645.88,12.013,5735.1783484324
"162","xn10m",2022-06-06 13:27:00,3652,645.98,12.013,5730.7514592024
"163","xn10m",2022-06-06 13:27:10,3652,645.88,12.013,5731.2995550144
"164","xn10m",2022-06-06 13:27:20,3649,645.88,12.013,5726.6450029128
"165","xn10m",2022-06-06 13:27:30,3649,645.98,12.013,5726.0973573438
"166","xn10m",2022-06-06 13:27:40,3649,645.88,12.013,5726.6450029128
"167","xn10m",2022-06-06 13:27:50,3649,645.88,12.013,5726.6450029128
"168","xn10m",2022-06-06 13:28:00,3651,645.98,12.013,5729.2000919162
"169","xn10m",2022-06-06 13:28:10,3651,645.98,12.013,5729.2000919162
"170","xn10m",2022-06-06 13:28:20,3650.5,645.88,12.013,5728.9722789636
"171","xn10m",2022-06-06 13:28:30,3648,645.98,12.013,5724.5459900576
"172","xn10m",2022-06-06 13:28:40,3648.5,645.88,12.013,5725.8692442292
"173","xn10m",2022-06-06 13:28:50,3648.5,645.98,12.013,5725.3216737007
"174","xn10m",2022-06-06 13:29:00,3648.5,645.98,12.013,5725.3216737007
"175","xn10m",2022-06-06 13:29:10,3649,645.98,12.013,5726.0973573438
"176","xn10m",2022-06-06 13:29:20,3649,646.08,12.013,5725.5497117748
"177","xn10m",2022-06-06 13:29:30,3649,646.08,12.013,5725.5497117748
"178","xn10m",2022-06-06 13:29:40,3651.5,645.96,11.916,5730.0853797136
"179","xn10m",2022-06-06 13:29:50,3649.5,645.96,11.916,5726.9825851088
"180","xn10m",2022-06-06 13:30:00,3649.5,645.96,11.916,5726.9825851088
"181","xn10m",2022-06-06 13:30:10,3652,645.96,11.916,5730.8610783648
"182","xn10m",2022-06-06 13:30:20,3651.5,646.06,11.916,5729.5373589421
"183","xn10m",2022-06-06 13:30:30,3654,645.96,11.916,5733.9638729696
"184","xn10m",2022-06-06 13:30:40,3653.5,645.96,11.916,5733.1881743184
"185","xn10m",2022-06-06 13:30:50,3658.5,645.96,11.916,5740.9451608304
"186","xn10m",2022-06-06 13:31:00,3669,645.96,11.916,5757.2348325056
"187","xn10m",2022-06-06 13:31:10,3671,645.96,11.916,5760.3376271104
"188","xn10m",2022-06-06 13:31:20,3671,645.96,11.916,5760.3376271104
"189","xn10m",2022-06-06 13:31:30,3670.5,645.85,11.916,5760.16788800075
"190","xn10m",2022-06-06 13:31:40,3668.5,645.96,11.916,5756.4591338544
"191","xn10m",2022-06-06 13:31:50,3668.5,645.96,11.916,5756.4591338544
"192","xn10m",2022-06-06 13:32:00,3666.5,645.85,11.916,5753.96163843475
"193","xn10m",2022-06-06 13:32:10,3664,645.96,11.916,5749.4778459936
"194","xn10m",2022-06-06 13:32:20,3661.5,645.96,11.916,5745.5993527376
"195","xn10m",2022-06-06 13:32:30,3656.5,645.96,11.916,5737.8423662256
"196","xn10m",2022-06-06 13:32:40,3659,645.96,11.916,5741.7208594816
"197","xn10m",2022-06-06 13:32:50,3657,645.96,11.916,5738.6180648768
"198","xn10m",2022-06-06 13:33:00,3657,645.96,11.916,5738.6180648768
"199","xn10m",2022-06-06 13:33:10,3656.5,645.96,11.916,5737.8423662256
"200","xn10m",2022-06-06 13:33:20,3656.5,645.96,11.916,5737.8423662256
"201","xn10m",2022-06-06 13:33:30,3656.5,645.96,11.916,5737.8423662256
"202","xn10m",2022-06-06 13:33:40,3656.5,646.06,11.916,5737.2935950491
"203","xn10m",2022-06-06 13:33:50,3656.5,645.85,11.916,5738.44601451975
"204","xn10m",2022-06-06 13:34:00,3656,645.96,11.916,5737.0666675744
"205","xn10m",2022-06-06 13:34:10,3656,646.03,11.819,5736.6825802792
"206","xn10m",2022-06-06 13:34:20,3655.5,645.93,11.819,5736.45555525185
"207","xn10m",2022-06-06 13:34:30,3655.5,645.93,11.819,5736.45555525185
"208","xn10m",2022-06-06 13:34:40,3656,645.93,11.819,5737.2312764152
"209","xn10m",2022-06-06 13:34:50,3661.5,645.93,11.819,5745.76420921205
"210","xn10m",2022-06-06 13:35:00,3661.5,645.83,11.819,5746.31373079355
"211","xn10m",2022-06-06 13:35:10,3664,645.83,11.819,5750.1927118128
"212","xn10m",2022-06-06 13:35:20,3664,645.93,11.819,5749.6428150288
"213","xn10m",2022-06-06 13:35:30,3661.5,645.93,11.819,5745.76420921205
"214","xn10m",2022-06-06 13:35:40,3664.5,645.93,11.819,5750.41853619215
"215","xn10m",2022-06-06 13:35:50,3664.5,645.93,11.819,5750.41853619215
"216","xn10m",2022-06-06 13:36:00,3667,645.93,11.819,5754.2971420089
"217","xn10m",2022-06-06 13:36:10,3666.5,645.83,11.819,5754.07169283205
"218","xn10m",2022-06-06 13:36:20,3664,645.93,11.819,5749.6428150288
"219","xn10m",2022-06-06 13:36:30,3664,645.93,11.819,5749.6428150288
"220","xn10m",2022-06-06 13:36:40,3666.5,645.93,11.819,5753.52142084555
"221","xn10m",2022-06-06 13:36:50,3666,645.83,11.819,5753.2958966282
"222","xn10m",2022-06-06 13:37:00,3668.5,645.83,11.819,5757.17487764745
"223","xn10m",2022-06-06 13:37:10,3671,645.83,11.819,5761.0538586667
"224","xn10m",2022-06-06 13:37:20,3675.5,645.83,11.819,5768.03602450135
"225","xn10m",2022-06-06 13:37:30,3676,645.73,11.819,5769.3635184612
"226","xn10m",2022-06-06 13:37:40,3676,645.83,11.819,5768.8118207052
"227","xn10m",2022-06-06 13:37:50,3671.5,645.83,11.819,5761.82965487055
"228","xn10m",2022-06-06 13:38:00,3671.5,645.83,11.819,5761.82965487055
