"","Site","Site2","Lat","Lon","DateTime","Watertemp_c","AirPress_kpa","air_pressure_atm","AirTemp_C","CO2_ppm","CO2_umol.L","CO2_sat","CH4_umol.L","CH4_pSat","KH_CH4_mol.L.atm","CH4_air_atm","CH4_sat_umol.L","pCH4_ppm"
"11","Gavilan","Waypoint2",-0.327066346,-78.20043809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Gavilan","waypt12",-0.328265587,-78.20016811,"2022-11-30 09:45:00",7.538,62.3872,0.615865745310958,6.724,5612.8523199435,202.59195153032,1343.19475069969,9.6714,414974.511855898,0.0019802863987613,1.17690096331688e-06,0.00233060097034549,4883.83902755158
"13","Gavilan","waypt12",-0.328265587,-78.20016811,"2022-11-30 09:45:00",7.538,62.3872,0.615865745310958,6.724,5612.8523199435,202.59195153032,1343.19475069969,8.2002,351849.162698341,0.0019802863987613,1.17690096331688e-06,0.00233060097034549,4140.91618521915
"14","Gavilan","waypt13",-0.328201926,-78.19985798,"2022-11-30 10:45:00",7.507,62.3582,0.615579466929911,6.739,12609.123844602,455.336054011312,3017.45357832992,2.555,109610.324329784,0.00198153362915304,1.17635389391905e-06,0.00233098480058573,1289.40531839072
"15","Gavilan","waypt13",-0.328201926,-78.19985798,"2022-11-30 10:45:00",7.507,62.3582,0.615579466929911,6.739,12609.123844602,455.336054011312,3017.45357832992,2.5151,107898.601456689,0.00198153362915304,1.17635389391905e-06,0.00233098480058573,1269.26939971996
"16","Gavilan","waypt14",-0.328201926,-78.19985798,"2022-11-30 11:30:00",7.486,62.3242,0.615243830207305,6.743,6867.700234585,248.027524234692,1643.49122505269,0.1893,8121.99580116034,0.00198237913010822,1.17571250221125e-06,0.0023307079273909,95.4913200633152
"17","Gavilan","waypt14",-0.328201926,-78.19985798,"2022-11-30 11:30:00",7.486,62.3242,0.615243830207305,6.743,6867.700234585,248.027524234692,1643.49122505269,0.1789,7675.77944441408,0.00198237913010822,1.17571250221125e-06,0.0023307079273909,90.2450985701378
"18","Gavilan","waypt08",-0.327188387,-78.19932849,"2022-11-30 12:30:00",7.464,62.2761,0.6147690029615,6.748,1883.213367212,68.0055692271965,450.667369396415,1.2702,54516.1827257321,0.0019832654157812,1.17480512158934e-06,0.00232995036793076,640.458906756902
"19","Gavilan","waypt08",-0.327188387,-78.19932849,"2022-11-30 12:30:00",7.464,62.2761,0.6147690029615,6.748,1883.213367212,68.0055692271965,450.667369396415,1.5216,65306.1121362572,0.0019832654157812,1.17480512158934e-06,0.00232995036793076,767.219550087626
"20","Gavilan","waypt07",-0.327040656,-78.19938566,"2022-11-30 13:30:00",7.451,62.227,0.614284304047384,6.745,2225.4627145415,80.3332530093454,532.570917677857,3.6229,155574.171782898,0.0019837893816373,1.17387887650543e-06,0.00232872845053979,1826.25233985771
"21","Gavilan","waypt07",-0.327040656,-78.19938566,"2022-11-30 13:30:00",7.451,62.227,0.614284304047384,6.745,2225.4627145415,80.3332530093454,532.570917677857,3.8544,165515.219222171,0.0019837893816373,1.17387887650543e-06,0.00232872845053979,1942.94819585072
"22","Gavilan","waypt06",-0.326784505,-78.19940108,"2022-11-30 14:45:00",7.454,62.1573,0.613596248766041,6.736,4322.4861976595,155.841448654748,1034.40713098054,0.8845,38027.0106410028,0.00198366844984511,1.17256402350444e-06,0.00232597825884921,445.891045990605
"23","Gavilan","waypt06",-0.326784505,-78.19940108,"2022-11-30 14:45:00",7.454,62.1573,0.613596248766041,6.736,4322.4861976595,155.841448654748,1034.40713098054,0.9108,39157.7176843701,0.00198366844984511,1.17256402350444e-06,0.00232597825884921,459.149309992361
"24","Gavilan","waypt05",-0.326476721,-78.19944416,"2022-12-01 11:00:00",8.234,62.3281,0.615282329713722,6.864,12031.5508524861,424.780109549093,2879.23841039828,20.0253,872260.249661115,0.00195256112164333,1.17578607361303e-06,0.00229579417470647,10255.9145411776
"25","Gavilan","waypt05",-0.326476721,-78.19944416,"2022-12-01 11:00:00",8.234,62.3281,0.615282329713722,6.864,12031.5508524861,424.780109549093,2879.23841039828,16.7675,730357.284844309,0.00195256112164333,1.17578607361303e-06,0.00229579417470647,8587.43924281764
"26","Gavilan","waypt09",-0.327248527,-78.19988463,"2022-12-01 14:30:00",8.182,62.1925,0.613943731490622,6.863,18036.825547609,636.418724413462,4316.35949393401,1.7017,74206.0777224595,0.00195461435198802,1.17322805256663e-06,0.00229320838970169,870.606520549294
"27","Gavilan","waypt09",-0.327248527,-78.19988463,"2022-12-01 14:30:00",8.182,62.1925,0.613943731490622,6.863,18036.825547609,636.418724413462,4316.35949393401,1.65,71951.5944303097,0.00195461435198802,1.17322805256663e-06,0.00229320838970169,844.156290125366
