"","New.Name","Location","Date","Watertemp_c","AirPress_kpa","ppm_Corrected","pCO2_w_uatm","CO2_umol.L","CO2_sat_precent","pCO2_air_ppm","pCO2_air_uatm","KH_mol.l.atm"
"37","S8","middle",2022-06-28,6.9982,62.6334,1016.9693712154,629.772511593803,37.4635887348298,243.366370300185,418.53,258.775487680158,0.0594874943652564
"38","S8","edge",2022-06-28,6.9982,62.6334,998.780727471315,618.508939477068,36.7935470520028,239.013727699563,418.53,258.775487680158,0.0594874943652564
"39","S8","edge",2022-07-19,6.8972,62.8534,683.452420070222,424.721772776573,25.3438175155132,163.553032725347,418.53,259.68443733465,0.0596715759350661
"40","S8",NA,2022-07-19,6.8972,62.8534,621.650633162318,386.315932478885,23.0520804998397,148.763605722375,418.53,259.68443733465,0.0596715759350661
"41","S8","edge",2022-07-27,8.6206,62.87624,1261.87133883581,784.456484794378,44.4193340073491,301.970936902115,418.53,259.778802835143,0.0566243442030978
"42","S8","middle",2022-07-27,8.6206,62.87624,1039.51038605717,646.223302057071,36.591970687742,248.75905770771,418.53,259.778802835143,0.0566243442030978
"43","S8","edge",2022-07-27,8.6206,62.87624,960.521261492615,597.11882596202,33.8114619314231,229.856639358275,418.53,259.778802835143,0.0566243442030978
"44","S5","edge",2022-06-30,7.0788,62.31554,662.236525243363,408.021262249809,24.2124288681165,158.478110361811,418.53,257.462220692991,0.0593410959385066
"45","S5","middle",2022-06-30,7.0788,62.31554,674.794212633982,415.75838224357,24.671558047954,161.483258058019,418.53,257.462220692991,0.0593410959385066
"46","S5","edge",2022-07-11,6.2272,62.67683,640.788184710898,397.091771592124,24.1871231788107,153.343974927107,418.53,258.954922605133,0.0609106632500426
"47","S5","middle",2022-07-11,6.2272,62.67683,666.128238774216,412.794818558857,25.143606184601,159.40798282808,418.53,258.954922605133,0.0609106632500426
"48","S5","edge",2022-07-19,5.5728,62.60229,585.395190244468,362.334382539266,22.5196842111259,140.088401206981,418.53,258.646953935834,0.0621516623769081
"49","S5","middle",2022-07-19,5.5728,62.60229,646.077543975283,399.894143084792,24.854085767509,154.610033870338,418.53,258.646953935834,0.0621516623769081
"50","S5","edge",2022-07-19,5.5728,62.60229,584.010329723068,361.477213586931,22.4664097358004,139.756996201319,418.53,258.646953935834,0.0621516623769081
"51","S7","edge",2022-06-30,6.7146,62.57962,1086.73395759775,672.398262556498,40.348042815594,260.061769262974,418.53,258.553290805528,0.0600061675682926
"52","S7","middle",2022-06-30,6.7146,62.57962,1162.31032025869,719.1598591628,43.1540270173127,278.147633287607,418.53,258.553290805528,0.0600061675682926
"53","S7","edge",2022-06-30,6.7146,62.57962,378.514277069076,234.199309292479,14.0534029977829,90.5806723878185,418.53,258.553290805528,0.0600061675682926
"54","S7","edge",2022-07-11,6.451,62.76471,400.095810439123,248.283552075239,15.0194846009486,95.7448174377077,418.53,259.318006676209,0.060493272612747
"55","S7","middle",2022-07-11,6.451,62.76471,334.925776335659,207.841620083216,12.5730197839689,80.1493204221378,418.53,259.318006676209,0.060493272612747
"56","S7","edge",2022-07-11,6.451,62.76471,358.245836651956,222.313122305606,13.448448313024,85.7299210167044,418.53,259.318006676209,0.060493272612747
"57","S7","edge",2022-07-19,5.5318,62.74971,670.605556206464,416.051844846738,25.8910923100088,160.479137281914,418.53,259.25603283613,0.0622304470721585
"58","S7","middle",2022-07-19,5.5318,62.74971,728.555092226265,452.0044419374,28.1284385003659,174.346740167509,418.53,259.25603283613,0.0622304470721585
"59","S7","edge",2022-07-19,5.5318,62.74971,670.731192298102,416.129791006327,25.8959429343676,160.50920260334,418.53,259.25603283613,0.0622304470721585
"60","S12","edge",2022-07-05,6.978,63.75624,13870.0305398292,8742.95010372107,520.417587785501,3319.083321688,418.53,263.41460145311,0.0595242545835881
"61","S12","middle",2022-07-05,6.978,63.75624,11113.6748301891,7005.48598146925,416.996331042733,2659.49037859858,418.53,263.41460145311,0.0595242545835881
"62","S12","edge",2022-07-05,6.978,63.75624,4950.60953223513,3120.6082783341,185.751881615211,1184.67551195699,418.53,263.41460145311,0.0595242545835881
"63","S12","edge",2022-07-08,7.079,63.84128,15515.3413271742,9793.09387570331,581.129371077229,3712.79682175977,418.53,263.765951810464,0.0593407332200717
"64","S12","middle",2022-07-08,7.079,63.84128,11053.2914960985,6976.7025406795,414.002644222259,2645.03530224128,418.53,263.765951810464,0.0593407332200717
"65","S12","edge",2022-07-08,7.079,63.84128,9395.50259287022,5930.32644020795,351.909919196317,2248.32902029347,418.53,263.765951810464,0.0593407332200717
"66","S12","edge",2022-07-18,7.079,63.78435,7418.21799571005,4678.11956682297,277.603045186439,1775.17034984233,418.53,263.530740429418,0.0593407332200717
"67","S12","middle",2022-07-18,7.079,63.78435,7737.66906779797,4879.57365078779,289.55747823909,1851.61459450106,418.53,263.530740429418,0.0593407332200717
"68","S12","edge",2022-07-18,7.079,63.78435,6364.45157483439,4013.58728761384,238.169212489764,1523.00535454565,418.53,263.530740429418,0.0593407332200717
