Plot Title: Injection_Temp_xn10_2022-07-01,,,,
#,"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)",Coupler Detached (LGR S/N: 11016513)
272,7/1/2022 10:00,69.275,7.079,
273,7/1/2022 10:00,69.264,7.079,
274,7/1/2022 10:00,69.275,7.079,
275,7/1/2022 10:00,69.254,7.079,
276,7/1/2022 10:00,69.264,7.079,
277,7/1/2022 10:01,69.264,7.079,
278,7/1/2022 10:01,69.264,7.079,
279,7/1/2022 10:01,69.275,7.079,
280,7/1/2022 10:01,69.264,7.079,
281,7/1/2022 10:01,69.264,7.079,
282,7/1/2022 10:01,69.275,7.079,
283,7/1/2022 10:02,69.264,7.079,
284,7/1/2022 10:02,69.262,6.978,
285,7/1/2022 10:02,69.272,6.978,
286,7/1/2022 10:02,69.282,6.978,
287,7/1/2022 10:02,69.272,6.978,
288,7/1/2022 10:02,69.272,6.978,
289,7/1/2022 10:03,69.282,6.978,
290,7/1/2022 10:03,69.262,6.978,
291,7/1/2022 10:03,69.272,6.978,
292,7/1/2022 10:03,69.272,6.978,
293,7/1/2022 10:03,69.262,6.978,
294,7/1/2022 10:03,69.272,6.978,
295,7/1/2022 10:04,69.272,6.978,
296,7/1/2022 10:04,69.262,6.978,
297,7/1/2022 10:04,69.262,6.978,
298,7/1/2022 10:04,69.262,6.978,
299,7/1/2022 10:04,69.272,6.978,
300,7/1/2022 10:04,69.262,6.978,
301,7/1/2022 10:05,69.262,6.978,
302,7/1/2022 10:05,69.272,6.978,
303,7/1/2022 10:05,69.262,6.978,
304,7/1/2022 10:05,69.262,6.978,
305,7/1/2022 10:05,69.252,6.978,
306,7/1/2022 10:05,69.262,6.978,
307,7/1/2022 10:06,69.262,6.978,
308,7/1/2022 10:06,69.262,6.978,
309,7/1/2022 10:06,69.262,6.978,
310,7/1/2022 10:06,69.262,6.978,
311,7/1/2022 10:06,69.262,6.978,
312,7/1/2022 10:06,69.262,6.978,
313,7/1/2022 10:07,69.272,6.978,
314,7/1/2022 10:07,69.252,6.978,
315,7/1/2022 10:07,69.252,6.978,
316,7/1/2022 10:07,69.262,6.978,
317,7/1/2022 10:07,69.252,6.978,
318,7/1/2022 10:07,69.262,6.978,
319,7/1/2022 10:08,69.262,6.978,
320,7/1/2022 10:08,69.272,6.978,
321,7/1/2022 10:08,69.272,6.978,
322,7/1/2022 10:08,69.262,6.978,
323,7/1/2022 10:08,69.272,6.978,
324,7/1/2022 10:08,69.272,6.978,
325,7/1/2022 10:09,69.272,6.978,
326,7/1/2022 10:09,69.262,6.978,
327,7/1/2022 10:09,69.262,6.978,
328,7/1/2022 10:09,69.272,6.978,
329,7/1/2022 10:09,69.272,6.978,
330,7/1/2022 10:09,69.262,6.978,
331,7/1/2022 10:10,69.252,6.978,
332,7/1/2022 10:10,69.272,6.978,
333,7/1/2022 10:10,69.262,6.978,
334,7/1/2022 10:10,69.272,6.978,
335,7/1/2022 10:10,69.262,6.978,
336,7/1/2022 10:10,69.272,6.978,
337,7/1/2022 10:11,69.272,6.978,
338,7/1/2022 10:11,69.272,6.978,
339,7/1/2022 10:11,69.272,6.978,
340,7/1/2022 10:11,69.262,6.978,
341,7/1/2022 10:11,69.272,6.978,
342,7/1/2022 10:11,69.272,6.978,
343,7/1/2022 10:12,69.272,6.978,
344,7/1/2022 10:12,69.272,6.978,
345,7/1/2022 10:12,69.262,6.978,
346,7/1/2022 10:12,69.272,6.978,
347,7/1/2022 10:12,69.262,6.978,
348,7/1/2022 10:12,69.272,6.978,
349,7/1/2022 10:13,69.262,6.978,
350,7/1/2022 10:13,69.262,6.978,
351,7/1/2022 10:13,69.262,6.978,
352,7/1/2022 10:13,69.262,6.978,
353,7/1/2022 10:13,69.272,6.978,
354,7/1/2022 10:13,69.272,6.978,
355,7/1/2022 10:14,69.262,6.978,
356,7/1/2022 10:14,69.262,6.978,
357,7/1/2022 10:14,69.262,6.978,
358,7/1/2022 10:14,69.272,6.978,
359,7/1/2022 10:14,69.272,6.978,
360,7/1/2022 10:14,69.252,6.978,
361,7/1/2022 10:15,69.262,6.978,
362,7/1/2022 10:15,69.272,6.978,
363,7/1/2022 10:15,69.272,6.978,
364,7/1/2022 10:15,69.272,6.978,
365,7/1/2022 10:15,69.272,6.978,
366,7/1/2022 10:15,69.272,6.978,
367,7/1/2022 10:16,69.272,6.978,
368,7/1/2022 10:16,69.272,6.978,
369,7/1/2022 10:16,69.272,6.978,
370,7/1/2022 10:16,69.262,6.978,
371,7/1/2022 10:16,69.262,6.978,
372,7/1/2022 10:16,69.272,6.978,
373,7/1/2022 10:17,69.262,6.978,
374,7/1/2022 10:17,69.262,6.978,
375,7/1/2022 10:17,69.262,6.978,
376,7/1/2022 10:17,69.264,7.079,
377,7/1/2022 10:17,69.264,7.079,
378,7/1/2022 10:17,69.262,6.978,
379,7/1/2022 10:18,69.264,7.079,
380,7/1/2022 10:18,69.254,7.079,
381,7/1/2022 10:18,69.264,7.079,
382,7/1/2022 10:18,69.264,7.079,
383,7/1/2022 10:18,69.264,7.079,
384,7/1/2022 10:18,69.254,7.079,
385,7/1/2022 10:19,69.254,7.079,
386,7/1/2022 10:19,69.254,7.079,
387,7/1/2022 10:19,69.264,7.079,
388,7/1/2022 10:19,69.264,7.079,
389,7/1/2022 10:19,69.275,7.079,
390,7/1/2022 10:19,69.264,7.079,
391,7/1/2022 10:20,69.264,7.079,
392,7/1/2022 10:20,69.264,7.079,
393,7/1/2022 10:20,69.264,7.079,
394,7/1/2022 10:20,69.254,7.079,
395,7/1/2022 10:20,69.264,7.079,
396,7/1/2022 10:20,69.264,7.079,
397,7/1/2022 10:21,69.264,7.079,
398,7/1/2022 10:21,69.264,7.079,
399,7/1/2022 10:21,69.264,7.079,
400,7/1/2022 10:21,69.254,7.079,
401,7/1/2022 10:21,69.264,7.079,
402,7/1/2022 10:21,69.275,7.079,
403,7/1/2022 10:22,69.264,7.079,
404,7/1/2022 10:22,69.275,7.079,
405,7/1/2022 10:22,69.264,7.079,
406,7/1/2022 10:22,69.264,7.079,
407,7/1/2022 10:22,69.264,7.079,
408,7/1/2022 10:22,69.275,7.079,
409,7/1/2022 10:23,69.264,7.079,
410,7/1/2022 10:23,69.264,7.079,
411,7/1/2022 10:23,69.254,7.079,
412,7/1/2022 10:23,69.264,7.079,
413,7/1/2022 10:23,69.264,7.079,
414,7/1/2022 10:23,69.264,7.079,
