Peatland Pools,Latitude,Longitude,Area (m2),Depth (cm),Elevation (m),Trees (%),Shrubs (%),Herbs (%),Mosses (%),MAT (°C),MAP (mm),pH,TN (mgL-1),TP (μgL-1),DOC (mgL-1),SUVA (LmgC-1m-1),E4:E6 ,C1 (RU),C2 (RU),C3 (RU),%C1,%C2,%C3,CO2-C (mgL-1),CH4 (μgL-1),CO2:CH4
MG2-3,50.1956167, -61.5566833,24542,60,31.5,7,27,22,38,1.36,1022,4.1,0.50335,11.55625,16.465,4.634072275,1.930232558,4.055153063,2.843111381,0.700017266,53.36934346,37.4178201,9.212836435,0.339707892,8.638090933,39.32673258
MG2-4,50.1956833, -61.5568833,5173,41.6,32.3,6.790842064,32.01396973,10.74893287,44.62553357,1.36,1022,4.16,0.4304,11.54105,16.71,4.326750449,1.909090909,3.936289077,2.674407278,0.595578417,54.62307783,37.11220239,8.264719784,0.129514604,12.5173147,10.34683611
MG2-5,50.1940833, -61.5579333,632,56.66666667,32.1,2.040816327,24.48979592,25.51020408,32.65306122,1.36,1022,3.96,0.3567,7.42155,22.155,4.626495148,2.162790698,5.168032733,3.691629748,0.654713953,54.31814443,38.8005433,6.881312273,0.093329089,7.329900799,12.73265372
MG2-6,50.19405, -61.5572333,784,31.66666667,32,1.086956522,23.91304348,23.91304348,34.7826087,1.36,1022,3.87,0.4766,9.11515,28.19,4.437743881,2.239130435,6.719393459,4.407963523,1.091384478,54.99251687,36.07543001,8.932053123,0.379543731,10.42686139,36.40057313
MG2-7,50.1936833, -61.5576000,355,15,32,2.247191011,21.34831461,24.71910112,34.83146067,1.36,1022,3.84,0.5264,6.6435,30.85,4.56726094,2.377777778,7.789029176,5.170634653,1.003031247,55.78456833,37.03178093,7.183650733,0.209285813,14.75249764,14.18646644
MG2-8,50.1923667, -61.5579667,1166,31,31.9,2.06185567,19.58762887,29.89690722,32.98969072,1.36,1022,3.89,0.60255,10.1623,26.84,4.485842027,2.177777778,6.773100364,4.392723428,0.97024431,55.80967664,36.19560628,7.994717082,0.227938547,15.11324871,15.08203506
MG2-9,50.1919667, -61.5579167,627,12.5,33,0,18,26,31,1.36,1022,3.85,0.7339,17.7151,35.08,4.210376283,2.340909091,8.874273153,5.43635813,1.201044233,57.21028102,35.04687888,7.742840109,0.302192235,10.61424205,28.47044878
MG2-10,50.1915833, -61.5582167,2365,45,32,2.197802198,31.86813187,24.17582418,35.16483516,1.36,1022,3.95,0.4984,10.6597,23.47,4.24797614,2.048780488,5.649920858,3.674302099,0.813725921,55.73041378,36.24305216,8.026534069,0.243051776,8.984275556,27.05301891
MG3-1,50.2571333, -63.4448500,12188,65,31,0.884955752,7.079646018,25.66371681,44.24778761,1.67,900,4.31,0.44395,13.5574,15.43,4.471808166,1.833333333,3.797878881,2.546159447,0.663406637,54.19776966,36.33506163,9.46716871,0.468259398,28.70911793,16.31047667
MG3-2,50.2565667, -63.4425333,594,47.33333333,31,3.636363636,21.81818182,12.72727273,60,1.67,900,4.41,0.33855,8.996,9.7885,3.759513715,1.461538462,2.056684168,1.418717809,0.442222619,52.49824525,36.21372528,11.28802947,0.541606887,45.68324301,11.85570138
MG3-3,50.2562667, -63.4426167,8054,67.33333333,31,1.5625,35.9375,10.9375,50,1.67,900,4.4,0.30655,8.74185,8.3545,3.66269675,1.394736842,1.768768013,1.194260498,0.419735937,52.28764935,35.30427602,12.40807463,0.318243072,11.39543014,27.92725405
MG3-4,50.2554167, -63.4439667,5552,74,31,3.773584906,24.52830189,9.433962264,60.37735849,1.67,900,4.8,0.3318,10.7144,6.6665,3.495087377,1.275,1.539022168,0.933524223,0.425702482,53.10179476,32.20993999,14.68826525,0.301199386,17.57780713,17.13520824
MG3-5,50.2555833, -63.4445167,2177,36.5,31,1.282051282,21.79487179,14.1025641,55.12820513,1.67,900,4.48,0.39575,10.1158,8.984,3.806767587,1.461538462,2.089340802,1.37963805,0.502074347,52.61427378,34.74237137,12.64335485,0.37714602,16.74529613,22.52250526
MG3-6,50.2558167, -63.4452667,3044,22.5,29.6,2.43902439,23.17073171,13.41463415,53.65853659,1.67,900,4.54,0.5225,19.1472,12.905,3.851220457,6,2.775396043,1.777704986,0.65840875,53.25512492,34.11113212,12.63374296,0.388102068,32.76403723,11.84536768
MG3-7,50.2562667, -63.4458833,53,14.5,29,14.28571429,12.5,17.85714286,41.96428571,1.67,900,4.14,1.863,56.6675,29.26,3.482570062,4.363636364,7.419400024,4.214920368,1.481472569,56.56844421,32.13622219,11.2953336,1.775490338,322.8854174,5.498824791
MG3-8,50.2563, -63.4462333,280,27.5,29.1,2.469135802,28.39506173,14.81481481,46.91358025,1.67,900,4.23,0.59445,10.4085,15.455,3.377547719,5.6,2.950417687,1.900121301,0.682462092,53.32400345,34.34160366,12.33439289,0.410946392,42.89062871,9.581262967
MG3-9,50.2563667, -63.4470333,350,16.66666667,30.9,1.149425287,13.79310345,24.13793103,43.67816092,1.67,900,4.25,0.8204,21.0819,12.745,6.041584935,5.5,4.433876026,2.722789009,1.123464173,53.54839175,32.8834121,13.56819615,0.331807884,71.33089105,4.651671655
MG3-10,50.2562833, -63.4477833,871,39.94444444,32,2.083333333,10.41666667,26.04166667,35.41666667,1.67,900,4.32,1.225,11.86235,13.93,3.718592965,4.571428571,2.962917104,1.824165878,0.611872755,54.87944796,33.78738347,11.33316857,0.387272406,37.77882711,10.25104366
MG4-1,50.5245833, -63.2052000,73,37,113,0,9.401709402,29.05982906,40.17094017,-0.24,962,4.17,0.37635,15.44945,18.2,3.373626374,5,3.018313054,2.024025733,0.700722457,52.55582216,35.24297664,12.2012012,0.906466964,116.8842608,7.755252566
MG4-2,50.5243, -63.2055167,603,52.5,111.9,10,9.166666667,24.16666667,35.83333333,-0.24,962,4.23,0.6773,14.2788,31.3,1.52715655,4.833333333,2.14820305,1.54660175,0.61272951,49.87082854,35.90457182,14.22459963,0.532587907,43.27626477,12.30669769
MG4-3,50.5239, -63.2061500,107,76.25,112,0.826446281,9.090909091,30.5785124,30.5785124,-0.24,962,4.42,1.372,18.3325,30.615,0.868855136,3.4,1.47509477,0.928205792,0.59719687,49.16167414,30.93506369,19.90326217,0.411620656,29.00110679,14.19327403
MG4-4,50.52435, -63.2067667,2200,81.25,112,1.886792453,11.32075472,28.30188679,34.90566038,-0.24,962,4.35,0.65865,17.3867,27.895,1.319232837,4.2,1.797388927,1.221109127,0.521727774,50.77045969,34.49240773,14.73713258,0.429302497,25.16110403,17.06214865
MG4-5,50.5236, -63.2063333,272,28.33333333,112,0,25,11.66666667,61.66666667,-0.24,962,4.06,0.5969,12.70205,51.66,,,2.343237344,2.0369211,0.397046593,49.05038251,42.63834364,8.31127385,0.432946441,23.83332826,18.16558882
MG4-6,50.5233833, -63.2062000,282,50.75,112,1.57480315,12.5984252,33.85826772,24.40944882,-0.24,962,4.32,0.4646,12.8109,35.305,0.943209177,2.5,1.596212815,1.125980724,0.467628761,50.04080681,35.29916773,14.66002546,0.374547138,20.28974658,18.45992194
MG4-7,50.5241667, -63.2057333,67,79.5,112,0.900900901,9.90990991,25.22522523,41.44144144,-0.24,962,4.28,0.50335,10.52365,15,2.36,4,1.703408379,1.112630944,0.478898152,51.69774516,33.76789247,14.53436237,0.504490894,23.75421291,21.23795453
MG4-8,50.5229833, -63.2064667,4045,53.33333333,112,0.787401575,27.55905512,22.83464567,29.13385827,-0.24,962,4.39,0.4304,13.4651,14.79,2.035158891,4.5,1.528086788,1.039507026,0.430268258,50.97255148,34.67494504,14.35250348,0.364952104,18.75340158,19.46058172
MG4-9,50.5221167, -63.2064667,4143,35.75,112,0.847457627,29.66101695,17.79661017,38.98305085,-0.24,962,4.41,0.3567,13.2024,15.845,1.899652887,3.6,1.588241643,1.107524683,0.791708245,45.54131107,31.75721173,22.70147721,0.237679329,16.64077874,14.28294511
MG4-10,50.52155, -63.2064000,836,48,111,1.652892562,16.52892562,30.5785124,30.5785124,-0.24,962,4.39,0.4766,14.80655,16.745,2.167811287,4,1.853728446,1.230997832,0.604049079,50.25322138,33.37145023,16.3753284,0.435610873,41.1958441,10.57414607
PA1,-53.1819833,-71.3595167,324.8506803,12,226.9,1.075268817,17.20430108,35.48387097,33.33333333,5.8,418,4.47,0.9516,17.27715,27.42,3.216630197,3.416666667,5.349196139,2.846516548,1.268203864,56.52201296,30.07757447,13.40041257,0.352368235,16.62023314,21.20116075
PA2,-53.1821333,-71.3591,838.9731506,20,226.4,1.075268817,16.12903226,26.88172043,43.01075269,5.8,418,4.43,0.8767,22.80485,24.01,3.206997085,2.45,4.103699711,2.320275672,1.925127053,49.15138774,27.7907199,23.05789237,0.258628805,4.377687629,59.07886234
PA3,-53.1821833,-71.3585833,647.6156175,25,225.9,1.052631579,16.84210526,36.84210526,32.63157895,5.8,418,4.34,0.72985,15.72685,25.855,3.121253143,4.833333333,4.692045086,2.615707752,1.048750988,56.14842263,31.30146059,12.55011677,0.199128509,7.71043192,25.82585661
PA4,-53.18485,-71.35815,4914.496803,46.25,224.6,6.306306306,15.31531532,39.63963964,36.93693694,5.8,418,4.47,0.63965,15.1917,19.82,3.471241171,3.5,3.693139338,2.190109643,0.815992011,55.12772779,32.69190713,12.18036508,0.223548541,3.793941665,58.9225035
PA5,-52.0665833,-71.91325,3236.5239,36.25,255.9,12.19512195,25.20325203,25.20325203,30.89430894,5.8,418,4.54,2.166,136.6269,59.7,3.986599665,2.449275362,20.64872753,11.54152144,3.536082649,57.79694302,32.30536391,9.897693071,0.426614024,3.048794974,139.9287349
PA6,-53.3958833,-71.2460667,3.582990252,60,310.7,1.25,40,36.25,22.5,5.8,418,5.07,1.407,110.784,42.975,4.053519488,2.101449275,14.90454562,9.4299107,1.853065557,56.91468513,36.00917545,7.076139415,5.388250917,2.754239344,1956.348103
PA7,-53.3966167,71.2496167,77.69327018,5,307.9,4.6875,13.28125,41.40625,40.625,5.8,418,4.34,1.1175,45.2162,42.585,3.801808148,2.019607843,10.89633581,6.385052787,1.88956871,56.83772405,33.30586305,9.856412901,0.887006271,159.3042394,5.568001674
PA8,-53.3966667,-71.2501168,1.5,0,308.1,8,10.66666667,44,34.66666667,5.8,418,5.24,1.292,52.42085,73.055,3.65888714,2.507692308,31.38900776,11.78291162,8.433900145,60.82455051,22.83252495,16.34292454,2.51020023,80.09935082,31.33858395
PA9,-53.3966833,-71.2502667,39.60090131,5,308.3,4.958677686,5.785123967,30.5785124,58.67768595,5.8,418,4.04,2.605,408.656,72.7,2.987620358,1.931034483,19.30004865,10.5447492,3.053688259,58.66546134,32.05238431,9.282154348,2.116306349,11.9146762,177.6218097
KK1,-54.5322333,-68.7945833,2356.681329,140,37.5,0.840336134,28.57142857,40.33613445,19.32773109,3.9,536,5.01,0.445,9.24505,7.9535,2.753504746,4.666666667,1.42108179,0.808088631,0.345295047,55.19910085,31.38859856,13.41230059,0.347215906,0.456051818,761.3518737
KK2,-54.5322667,-68.7948333,38.15831223,10,37.7,1.149425287,21.83908046,50.57471264,21.83908046,3.9,536,4.25,0.4209,7.63265,18.055,3.67765162,1.488888889,3.428925958,2.742580739,0.621112047,50.4801769,40.37589687,9.14392623,0.935194244,3.238974958,288.7315449
KK3,-54.53215,-68.795,2075.560985,27,37.6,1.388888889,31.94444444,38.88888889,25,3.9,536,4.47,0.98315,28.3148,14.07,3.603411514,1.339622642,2.899470353,1.768991393,0.663979688,54.37416217,33.17413636,12.45170147,0.376191167,8.077188685,46.57451769
KK4,-54.5349833,-68.7957167,553.8575255,80,39.8,1.149425287,16.09195402,49.42528736,32.18390805,3.9,536,4.42,0.38795,6.93485,12.17,3.631881676,1.271186441,2.326169031,1.422312707,1.448522431,44.75980691,27.36793469,27.8722584,0.415461583,3.697356401,112.3671992
KK5,-54.5344167,-68.7962667,2868.628516,30,39.5,1.204819277,18.07228916,42.1686747,28.91566265,3.9,536,4.38,0.38635,9.86455,15.375,3.544715447,1.423728814,2.872036904,1.739801091,0.757049167,53.49408207,32.40524597,14.10067197,0.363109493,7.299759692,49.74266388
KK6,-54.53315,-68.7965167,1743.475815,80,39.6,7.228915663,16.86746988,42.1686747,18.07228916,3.9,536,4.6,0.47705,11.4049,14.01,3.504639543,1.423728814,2.443454051,1.4823772,0.757762159,52.17049896,31.65042458,16.17907646,0.297944578,4.836846577,61.59893093
NI1,-54.9426167,-67.6214833,379.8405846,58.75,33.2,0,8.75,43.75,46.25,4.3,500,4.5,0.5649,19.5511,12.58,2.877583466,2.333333333,2.371983696,1.157964155,0.543313689,58.23303199,28.42842631,13.3385417,0.508134346,76.13073657,6.674496641
NI2,-54.9426333,-67.6202667,1933.537766,142,33.7,0,19.27710843,34.93975904,44.57831325,4.3,500,4.85,0.63795,13.2101,8.5,2.117647059,2,1.301028003,0.692205794,0.585303153,50.45605427,26.84490499,22.69904074,0.368249231,13.86856967,26.55279093
NI3,-54.9374167,-67.8877833,441.9937412,8.4,305.6,8.955223881,38.80597015,22.3880597,19.40298507,4.3,500,4.42,1.292,18.58575,24.94,3.14755413,2.928571429,5.012793788,2.698055843,1.321217577,55.49996111,29.87196376,14.62807513,0.260356213,8.527516501,30.53130572
NI4,-54.9371833,-67.8879167,461.7994421,18.5,305.1,1.612903226,41.93548387,24.19354839,20.96774194,4.3,500,4.25,3.609,316.546,31.235,3.387225868,4.230769231,6.261539454,3.331156899,1.369535269,57.1192041,30.38757995,12.49321595,0.264266469,7.526948207,35.10937793
NI5,-54.9368667,-67.888,99.00952002,7,304.6,2,32,18,24,4.3,500,4.32,1.1975,58.04795,29,3.462068966,5.714285714,5.832722044,3.104207557,1.296541486,56.99651657,30.33386747,12.66961596,0.197756525,49.65478035,3.982628138
NI6,-54.93655,-67.8876167,93.5599917,10.66666667,304.6,2.083333333,31.25,16.66666667,25,4.3,500,4.23,1.9435,60.5244,40.545,3.132322111,4.636363636,10.18994197,4.908599877,3.450652874,54.9346865,26.46260364,18.60270986,0.284136213,7.343968023,38.68974001
NI7,-54.93645,-67.887,238.7150993,9.666666667,304.5,0,23.88059701,11.94029851,46.26865672,4.3,500,4.23,1.776,43.29505,34.55,3.672937771,5.076923077,9.12452801,4.459957997,2.125469323,58.08118367,28.38937415,13.52944218,0.24026643,4.865946721,49.37711894
NI8,-54.93625,-67.8862667,41.42113472,10,304.2,1.149425287,18.3908046,31.03448276,25.28735632,4.3,500,4.22,0.85105,20.51115,23.4,3.329059829,3.142857143,5.574126778,2.904056295,1.313707415,56.92595096,29.65776934,13.4162797,0.191676104,12.46057151,15.3826094
NI9,-54.9364833,-67.885,18.34874572,4,305.6,1.666666667,11.66666667,23.33333333,60,4.3,500,4.08,1.0391,21.65955,54.225,3.717842324,4.260869565,14.1883512,7.643380159,1.899027188,59.78886503,32.20874776,8.002387217,0.591471715,0.842506514,702.0381506
NI10,-54.9366833,-67.8853,20.52868678,5,305.7,1.470588235,8.823529412,27.94117647,30.88235294,4.3,500,4.06,1.03465,19.17285,37.735,3.482178349,3.444444444,8.96275639,4.846658614,1.545192571,58.37177112,31.56484847,10.06338041,0.487042932,15.36459708,31.69903706
NI11,-54.9353333,-67.8846833,4.905242147,14.66666667,303.7,1.515151515,24.24242424,24.24242424,31.81818182,4.3,500,4.27,0.6458,11.7199,22.58,3.210806023,2.615384615,4.876559235,2.726837093,1.037567637,56.43536132,31.55709367,12.007545,1.02171782,31.80503529,32.12440454
