Min of_Band_1,Max of_Band_1,Label,Count,area_per_square,Area_m2,Total_Surface_aream2,Depth_m,WaterLevel_m
"4,252.10","4,252.20","4,252.1-4,252.2","94,653",0.001420536,134.4580035,3935.402072,2.5000000,2.5000000
"4,252.20","4,252.30","4,252.2-4,252.3","91,989",0.001420536,130.6736953,4066.075767,2.6000000,2.6000000
"4,252.30","4,252.50","4,252.3-4,252.5","87,243",0.001420536,123.931831,4190.007598,2.8000000,2.8000000
"4,252.50","4,252.60","4,252.5-4,252.6","85,395",0.001420536,121.3066803,4311.314279,2.9000000,2.9000000
"4,252.60","4,252.70","4,252.6-4,252.7","77,766",0.001420536,110.4694104,4421.783689,3.0000000,3.0000000
"4,252.70","4,252.80","4,252.7-4,252.8","73,025",0.001420536,103.7346487,4525.518338,3.1000000,3.1000000
"4,252.80","4,252.90","4,252.8-4,252.9","68,847",0.001420536,97.79964888,4623.317987,3.2000000,3.2000000
"4,252.90","4,253","4,252.9-4,253","68,081",0.001420536,96.71151822,4720.029505,3.3000000,3.3000000
"4,253","4,253.10","4,253-4,253.1","74,220",0.001420536,105.4321893,4825.461694,3.4000000,3.4000000
"4,253.10","4,253.30","4,253.1-4,253.3","70,239",0.001420536,99.77703513,4925.238729,3.6000000,3.6000000
"4,253.30","4,253.40","4,253.3-4,253.4","61,209",0.001420536,86.94959414,5012.188323,3.7000000,3.7000000
"4,253.40","4,253.50","4,253.4-4,253.5","51,238",0.001420536,72.78542869,5084.973752,3.8000000,3.8000000
"4,253.50","4,253.60","4,253.5-4,253.6","42,413",0.001420536,60.24919761,5145.22295,3.9000000,3.9000000
"4,253.60","4,253.70","4,253.6-4,253.7","34,154",0.001420536,48.51698996,5193.73994,4.0000000,4.0000000
"4,253.70","4,253.80","4,253.7-4,253.8","27,806",0.001420536,39.4994268,5233.239366,4.1000000,4.1000000
"4,253.80","4,253.90","4,253.8-4,253.9","15,573",0.001420536,22.12200869,5255.361375,4.2000000,4.2000000
"4,253.90","4,254.10","4,253.9-4,254.1","10,556",0.001420536,14.99517907,5270.356554,4.4000000,4.4000000
"4,254.10","4,254.20","4,254.1-4,254.2","8,843",0.001420536,12.56180073,5282.918355,4.5000000,4.5000000
"4,254.20","4,254.30","4,254.2-4,254.3","7,072",0.001420536,10.0460313,5292.964386,4.6000000,4.6000000
"4,254.30","4,254.40","4,254.3-4,254.4","6,024",0.001420536,8.557309466,5301.521696,4.7000000,4.7000000
"4,254.40","4,254.50","4,254.4-4,254.5","4,885",0.001420536,6.939318848,5308.461015,4.8000000,4.8000000
"4,254.50","4,254.60","4,254.5-4,254.6","4,352",0.001420536,6.182173107,5314.643188,4.9000000,4.9000000
"4,254.60","4,254.70","4,254.6-4,254.7","4,079",0.001420536,5.794366752,5320.437554,5.0000000,5.0000000
"4,254.70","4,254.80","4,254.7-4,254.8","4,307",0.001420536,6.118248983,5326.555803,5.1000000,5.1000000
"4,254.80","4,255","4,254.8-4,255","4,052",0.001420536,5.756012277,5332.311816,5.3000000,5.3000000
"4,255","4,255.10","4,255-4,255.1","3,648",0.001420536,5.182115693,5337.493931,5.4000000,5.4000000
"4,255.10","4,255.20","4,255.1-4,255.2","3,212",0.001420536,4.562761953,5342.056693,5.5000000,5.5000000
"4,255.20","4,255.30","4,255.2-4,255.3","3,170",0.001420536,4.503099437,5346.559793,5.6000000,5.6000000
"4,255.30","4,255.40","4,255.3-4,255.4","3,547",0.001420536,5.038641547,5351.598434,5.7000000,5.7000000
"4,255.40","4,255.50","4,255.4-4,255.5","3,092",0.001420536,4.392297621,5355.990732,5.8000000,5.8000000
"4,255.50","4,255.60","4,255.5-4,255.6","3,290",0.001420536,4.673563769,5360.664296,5.9000000,5.9000000
"4,255.60","4,255.80","4,255.6-4,255.8","3,155",0.001420536,4.481791395,5365.146087,6.1000000,6.1000000
"4,255.80","4,255.90","4,255.8-4,255.9","2,043",0.001420536,2.902155252,5368.048242,6.2000000,6.2000000
"4,255.90","4,256","4,255.9-4,256","2,508",0.001420536,3.562704539,5371.610947,6.3000000,6.3000000
"4,256","4,256.10","4,256-4,256.1","2,229",0.001420536,3.166374967,5374.777322,6.4000000,6.4000000
"4,256.10","4,256.20","4,256.1-4,256.2","1,841",0.001420536,2.61520696,5377.392529,6.5000000,6.5000000
"4,256.20","4,256.30","4,256.2-4,256.3","1,741",0.001420536,2.47315335,5379.865682,6.6000000,6.6000000
"4,256.30","4,256.40","4,256.3-4,256.4","1,229",0.001420536,1.745838867,5381.611521,6.7000000,6.7000000
"4,256.40","4,256.60","4,256.4-4,256.6",855,0.001420536,1.214558365,5382.826079,6.9000000,6.9000000
"4,256.60","4,256.70","4,256.6-4,256.7",561,0.001420536,0.796920752,5383.623,7.0000000,7.0000000
"4,256.70","4,256.80","4,256.7-4,256.8",284,0.001420536,0.403432252,5384.026432,7.1000000,7.1000000
"4,256.80","4,256.90","4,256.8-4,256.9",63,0.001420536,0.089493774,5384.115926,7.2000000,7.2000000
"4,256.90","4,257","4,256.9-4,257",14,0.001420536,0.019887505,5384.135814,7.3000000,7.3000000
