Min of_Band_1,Max of_Band_1,Label,Count,Area_per_count,Total_Surface_aream2,WaterLevel_m
"4,137.30","4,137.34","4,137.3-4,137.34","24,633",0.001742228,1398.041826,0.89
"4,137.34","4,137.37","4,137.34-4,137.37","23,730",0.001742228,1439.384887,0.93
"4,137.37","4,137.41","4,137.37-4,137.41","21,869",0.001742228,1477.485663,0.96
"4,137.41","4,137.45","4,137.41-4,137.45","20,057",0.001742228,1512.429522,1.00
"4,137.45","4,137.49","4,137.45-4,137.49","17,842",0.001742228,1543.514347,1.04
"4,137.49","4,137.53","4,137.49-4,137.53","18,409",0.001742228,1575.587015,1.08
"4,137.53","4,137.57","4,137.53-4,137.57","16,919",0.001742228,1605.063763,1.12
"4,137.57","4,137.61","4,137.57-4,137.61","14,578",0.001742228,1630.461957,1.16
"4,137.61","4,137.65","4,137.61-4,137.65","13,572",0.001742228,1654.10747,1.20
"4,137.65","4,137.68","4,137.65-4,137.68","12,749",0.001742228,1676.31913,1.24
"4,137.68","4,137.72","4,137.68-4,137.72","13,978",0.001742228,1700.671987,1.27
"4,137.72","4,137.76","4,137.72-4,137.76","14,076",0.001742228,1725.195583,1.31
"4,137.76","4,137.80","4,137.76-4,137.8","11,986",0.001742228,1746.077923,1.35
"4,137.80","4,137.84","4,137.8-4,137.84","11,839",0.001742228,1766.704156,1.39
"4,137.84","4,137.88","4,137.84-4,137.88","10,884",0.001742228,1785.666561,1.43
"4,137.88","4,137.92","4,137.88-4,137.92","8,204",0.001742228,1799.959796,1.47
"4,137.92","4,137.95","4,137.92-4,137.95","7,811",0.001742228,1813.568336,1.51
"4,137.95","4,137.99","4,137.95-4,137.99","5,654",0.001742228,1823.418891,1.54
"4,137.99","4,138.03","4,137.99-4,138.03","5,145",0.001742228,1832.382652,1.58
"4,138.03","4,138.07","4,138.03-4,138.07","3,616",0.001742228,1838.682547,1.62
"4,138.07","4,138.11","4,138.07-4,138.11","3,803",0.001742228,1845.308238,1.66
"4,138.11","4,138.15","4,138.11-4,138.15","2,651",0.001742228,1849.926884,1.70
"4,138.15","4,138.19","4,138.15-4,138.19","2,646",0.001742228,1854.536818,1.74
"4,138.19","4,138.23","4,138.19-4,138.23","2,441",0.001742228,1858.789595,1.78
"4,138.23","4,138.26","4,138.23-4,138.26","2,027",0.001742228,1862.321091,1.82
"4,138.26","4,138.30","4,138.26-4,138.3","1,481",0.001742228,1864.90133,1.85
"4,138.30","4,138.34","4,138.3-4,138.34","1,187",0.001742228,1866.969354,1.89
"4,138.34","4,138.38","4,138.34-4,138.38",897,0.001742228,1868.532132,1.93
"4,138.38","4,138.42","4,138.38-4,138.42",895,0.001742228,1870.091426,1.97
"4,138.42","4,138.46","4,138.42-4,138.46","1,146",0.001742228,1872.088019,2.01
"4,138.46","4,138.50","4,138.46-4,138.5","1,112",0.001742228,1874.025376,2.05
"4,138.50","4,138.54","4,138.5-4,138.54","1,378",0.001742228,1876.426165,2.09
"4,138.54","4,138.57","4,138.54-4,138.57",978,0.001742228,1878.130064,2.13
"4,138.57","4,138.61","4,138.57-4,138.61",812,0.001742228,1879.544753,2.16
"4,138.61","4,138.65","4,138.61-4,138.65",796,0.001742228,1880.931566,2.20
"4,138.65","4,138.69","4,138.65-4,138.69",630,0.001742228,1882.029169,2.24
"4,138.69","4,138.73","4,138.69-4,138.73",477,0.001742228,1882.860212,2.28
"4,138.73","4,138.77","4,138.73-4,138.77",588,0.001742228,1883.884642,2.32
"4,138.77","4,138.81","4,138.77-4,138.81",162,0.001742228,1884.166883,2.36
"4,138.81","4,138.84","4,138.81-4,138.84",141,0.001742228,1884.412537,2.40
"4,138.84","4,138.88","4,138.84-4,138.88",100,0.001742228,1884.586759,2.43
