Min of_Band_1,Max of_Band_1,Label,Count,area_per_square,Area_m2,Total_Surface_aream2,WaterLevel_m
"4,252.50","4,252.60","4,252.5-4,252.6","1,662",0.001420536,2.360930998,5816.823625,4.3217371
"4,252.60","4,252.70","4,252.6-4,252.7","1,979",0.001420536,2.811240942,5819.634865,4.4217371
"4,252.70","4,252.80","4,252.7-4,252.8","1,669",0.001420536,2.370874751,5822.00574,4.5217371
"4,252.80","4,252.90","4,252.8-4,252.9","1,204",0.001420536,1.710325464,5823.716066,4.6217371
"4,252.90","4,253","4,252.9-4,253","1,186",0.001420536,1.684755815,5825.400821,4.7217371
"4,253","4,253.10","4,253-4,253.1","1,029",0.001420536,1.461731647,5826.862553,4.8217371
"4,253.10","4,253.20","4,253.1-4,253.2","1,064",0.001420536,1.51145041,5828.374004,4.9217371
"4,253.20","4,253.30","4,253.2-4,253.3",853,0.001420536,1.211717293,5829.585721,5.0217371
"4,253.30","4,253.40","4,253.3-4,253.4",868,0.001420536,1.233025335,5830.818746,5.1217371
"4,253.40","4,253.50","4,253.4-4,253.5",712,0.001420536,1.011421703,5831.830168,5.2217371
"4,253.50","4,253.70","4,253.5-4,253.7",469,0.001420536,0.666231431,5832.496399,5.4217371
"4,253.70","4,253.80","4,253.7-4,253.8",706,0.001420536,1.002898487,5833.499298,5.5217371
"4,253.80","4,253.90","4,253.8-4,253.9",634,0.001420536,0.900619887,5834.399918,5.6217371
"4,253.90","4,254","4,253.9-4,254",479,0.001420536,0.680436792,5835.080354,5.7217371
"4,254","4,254.10","4,254-4,254.1",287,0.001420536,0.407693861,5835.488048,5.8217371
"4,254.10","4,254.20","4,254.1-4,254.2",135,0.001420536,0.191772373,5835.679821,5.9217371
"4,254.20","4,254.30","4,254.2-4,254.3",62,0.001420536,0.088073238,5835.767894,6.0217371
"4,254.30","4,254.40","4,254.3-4,254.4",43,0.001420536,0.061083052,5835.828977,6.1217371
"4,254.40","4,254.50","4,254.4-4,254.5",29,0.001420536,0.041195547,5835.870173,6.2217371
"4,254.50","4,254.60","4,254.5-4,254.6",15,0.001420536,0.021308041,5835.891481,6.3217371
"4,254.60","4,254.70","4,254.6-4,254.7",11,0.001420536,0.015625897,5835.907106,6.4217371
"4,254.70","4,254.80","4,254.7-4,254.8",32,0.001420536,0.045457155,5835.952564,6.5217371
"4,254.80","4,254.90","4,254.8-4,254.9",19,0.001420536,0.026990186,5835.979554,6.6217371
"4,254.90","4,255","4,254.9-4,255",17,0.001420536,0.024149114,5836.003703,6.7217371
