Min of_Band_1,Max of_Band_1,Label,Count,area_per_square,Area_m2,Total_Surface_aream2,Depth_m,WaterLevel_m
"4,001.16","4,001.22","4,001.16-4,001.22",24,0.010194941,0.244678582,1048.559867,2.8800,2.8800
"4,001.22","4,001.27","4,001.22-4,001.27",49,0.010194941,0.499552104,1049.059419,2.9400,2.9400
"4,001.27","4,001.33","4,001.27-4,001.33",49,0.010194941,0.499552104,1049.558971,2.9900,2.9900
"4,001.33","4,001.38","4,001.33-4,001.38",17,0.010194941,0.173313995,1049.732285,3.0500,3.0500
"4,001.38","4,001.44","4,001.38-4,001.44",19,0.010194941,0.193703877,1049.925989,3.1000,3.1000
"4,001.44","4,001.50","4,001.44-4,001.5",4,0.010194941,0.040779764,1049.966768,3.1600,3.1600
"4,001.50","4,001.55","4,001.5-4,001.55",17,0.010194941,0.173313995,1050.140082,3.2200,3.2200
"4,001.55","4,001.61","4,001.55-4,001.61",10,0.010194941,0.101949409,1050.242032,3.2700,3.2700
"4,001.61","4,001.67","4,001.61-4,001.67",12,0.010194941,0.122339291,1050.364371,3.3300,3.3300
"4,001.67","4,001.72","4,001.67-4,001.72",3,0.010194941,0.030584823,1050.394956,3.3900,3.3900
"4,001.72","4,001.78","4,001.72-4,001.78",4,0.010194941,0.040779764,1050.435736,3.4400,3.4400
"4,001.78","4,001.84","4,001.78-4,001.84",0,0.010194941,0,1050.435736,3.5000,3.5000
"4,001.84","4,001.89","4,001.84-4,001.89",11,0.010194941,0.11214435,1050.54788,3.5600,3.5600
