"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126)","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
53,01/22/20 01:00:00 AM,14.4,12.3,9.32,,
54,01/22/20 01:15:00 AM,14.4,12.3,9.28,,
55,01/22/20 01:30:00 AM,14.4,12.7,9.25,,
56,01/22/20 01:45:00 AM,14.6,12.3,9.21,,
57,01/22/20 02:00:00 AM,14.6,12.7,9.17,,
58,01/22/20 02:15:00 AM,14.8,12.3,9.16,,
59,01/22/20 02:30:00 AM,14.8,12.7,9.13,,
60,01/22/20 02:45:00 AM,14.9,12.7,9.11,,
61,01/22/20 03:00:00 AM,14.9,12.7,9.07,,
62,01/22/20 03:15:00 AM,14.9,12.7,9.04,,
63,01/22/20 03:30:00 AM,14.9,12.7,9.01,,
64,01/22/20 03:45:00 AM,14.7,12.7,8.99,,
65,01/22/20 04:00:00 AM,14.6,12.7,8.96,,
66,01/22/20 04:15:00 AM,14.7,12.3,8.93,,
67,01/22/20 04:30:00 AM,14.9,12.7,8.91,,
68,01/22/20 04:45:00 AM,14.9,12.7,8.87,,
69,01/22/20 05:00:00 AM,14.8,12.7,8.85,,
70,01/22/20 05:15:00 AM,14.9,12.7,8.83,,
71,01/22/20 05:30:00 AM,14.6,12.7,8.81,,
72,01/22/20 05:45:00 AM,14.6,12.7,8.79,,
73,01/22/20 06:00:00 AM,14.4,12.3,8.76,,
74,01/22/20 06:15:00 AM,14.5,12.3,8.72,,
75,01/22/20 06:30:00 AM,14.5,12.7,8.68,,
76,01/22/20 06:45:00 AM,14.5,12.7,8.64,,
77,01/22/20 07:00:00 AM,14.4,12.3,8.61,,
78,01/22/20 07:15:00 AM,14.4,12.3,8.60,,
79,01/22/20 07:30:00 AM,14.4,12.7,8.61,,
80,01/22/20 07:45:00 AM,14.5,12.3,8.65,,
81,01/22/20 08:00:00 AM,14.4,12.7,8.73,,
82,01/22/20 08:15:00 AM,14.4,12.3,8.87,,
83,01/22/20 08:30:00 AM,14.4,12.7,9.03,,
84,01/22/20 08:45:00 AM,14.4,12.3,9.20,,
85,01/22/20 09:00:00 AM,14.5,12.7,9.35,,
86,01/22/20 09:15:00 AM,14.6,12.7,9.50,,
87,01/22/20 09:30:00 AM,14.6,12.3,9.69,,
88,01/22/20 09:45:00 AM,14.5,12.3,9.97,,
89,01/22/20 10:00:00 AM,14.4,12.3,10.22,,
90,01/22/20 10:15:00 AM,14.5,12.3,10.38,,
91,01/22/20 10:30:00 AM,14.4,12.3,10.57,,
92,01/22/20 10:45:00 AM,14.4,12.3,10.73,,
93,01/22/20 11:00:00 AM,14.4,12.3,10.91,,
94,01/22/20 11:15:00 AM,14.4,12.3,11.11,,
95,01/22/20 11:30:00 AM,14.4,12.3,11.45,,
96,01/22/20 11:45:00 AM,14.6,12.7,11.89,,
97,01/22/20 12:00:00 PM,14.8,13.0,12.56,,
98,01/22/20 12:15:00 PM,15.6,13.0,13.18,,
99,01/22/20 12:30:00 PM,15.8,13.4,13.73,,
100,01/22/20 12:45:00 PM,16.0,13.7,14.05,,
101,01/22/20 01:00:00 PM,16.0,13.7,14.27,,
102,01/22/20 01:15:00 PM,16.0,13.7,14.40,,
103,01/22/20 01:30:00 PM,16.0,13.7,14.45,,
104,01/22/20 01:45:00 PM,16.0,13.7,14.52,,
105,01/22/20 02:00:00 PM,16.1,13.7,14.69,,
106,01/22/20 02:15:00 PM,16.1,13.7,14.96,,
107,01/22/20 02:30:00 PM,16.2,13.7,15.21,,
108,01/22/20 02:45:00 PM,16.3,13.7,15.53,,
109,01/22/20 03:00:00 PM,16.3,13.7,15.65,,
110,01/22/20 03:15:00 PM,16.4,14.1,15.61,,
111,01/22/20 03:30:00 PM,16.4,13.7,15.60,,
112,01/22/20 03:45:00 PM,16.3,13.7,15.52,,
113,01/22/20 04:00:00 PM,16.2,13.7,15.37,,
114,01/22/20 04:15:00 PM,16.2,13.7,15.24,,
115,01/22/20 04:30:00 PM,16.2,13.7,15.04,,
116,01/22/20 04:45:00 PM,16.1,13.7,14.80,,
117,01/22/20 05:00:00 PM,16.2,13.7,14.57,,
118,01/22/20 05:15:00 PM,16.1,13.7,14.37,,
119,01/22/20 05:30:00 PM,16.0,13.7,14.17,,
120,01/22/20 05:45:00 PM,16.1,13.7,13.99,,
121,01/22/20 06:00:00 PM,15.8,13.8,13.79,,
122,01/22/20 06:15:00 PM,15.6,13.4,13.59,,
123,01/22/20 06:30:00 PM,15.7,13.4,13.39,,
124,01/22/20 06:45:00 PM,15.7,13.4,13.20,,
125,01/22/20 07:00:00 PM,15.7,13.8,13.06,,
126,01/22/20 07:15:00 PM,15.7,13.4,12.92,,
127,01/22/20 07:30:00 PM,15.6,13.0,12.79,,
128,01/22/20 07:45:00 PM,15.5,13.4,12.68,,
129,01/22/20 08:00:00 PM,15.5,13.0,12.56,,
130,01/22/20 08:15:00 PM,15.4,13.4,12.46,,
131,01/22/20 08:30:00 PM,15.5,13.4,12.35,,
132,01/22/20 08:45:00 PM,15.4,13.0,12.24,,
133,01/22/20 09:00:00 PM,15.2,13.0,12.14,,
134,01/22/20 09:15:00 PM,15.1,13.0,12.03,,
135,01/22/20 09:30:00 PM,14.9,12.7,11.91,,
136,01/22/20 09:45:00 PM,14.8,12.7,11.79,,
137,01/22/20 10:00:00 PM,14.7,12.3,11.67,,
138,01/22/20 10:15:00 PM,14.7,12.7,11.58,,
139,01/22/20 10:30:00 PM,14.7,12.3,11.47,,
140,01/22/20 10:45:00 PM,14.7,12.7,11.39,,
141,01/22/20 11:00:00 PM,14.6,12.7,11.30,,
142,01/22/20 11:15:00 PM,14.8,12.7,11.22,,
143,01/22/20 11:30:00 PM,14.8,12.7,11.17,,
144,01/22/20 11:45:00 PM,14.8,12.7,11.11,,
145,01/23/20 12:00:00 AM,14.9,12.7,11.06,,
146,01/23/20 12:15:00 AM,15.0,12.7,10.99,,
147,01/23/20 12:30:00 AM,15.0,12.3,10.93,,
148,01/23/20 12:45:00 AM,14.9,12.7,10.86,,
149,01/23/20 01:00:00 AM,14.8,12.7,10.77,,
150,01/23/20 01:15:00 AM,14.7,12.7,10.69,,
151,01/23/20 01:30:00 AM,14.8,12.7,10.61,,
152,01/23/20 01:45:00 AM,14.8,12.3,10.53,,
153,01/23/20 02:00:00 AM,14.8,12.7,10.45,,
154,01/23/20 02:15:00 AM,14.8,12.7,10.41,,
155,01/23/20 02:30:00 AM,14.8,12.7,10.40,,
156,01/23/20 02:45:00 AM,14.8,12.7,10.37,,
157,01/23/20 03:00:00 AM,14.8,12.7,10.36,,
158,01/23/20 03:15:00 AM,14.8,12.7,10.33,,
159,01/23/20 03:30:00 AM,14.8,12.7,10.30,,
160,01/23/20 03:45:00 AM,14.8,12.7,10.26,,
161,01/23/20 04:00:00 AM,14.8,12.7,10.22,,
162,01/23/20 04:15:00 AM,14.8,12.7,10.20,,
163,01/23/20 04:30:00 AM,14.8,12.7,10.17,,
164,01/23/20 04:45:00 AM,14.8,12.7,10.13,,
165,01/23/20 05:00:00 AM,14.8,12.7,10.10,,
166,01/23/20 05:15:00 AM,14.9,12.7,10.06,,
167,01/23/20 05:30:00 AM,14.9,12.7,10.04,,
168,01/23/20 05:45:00 AM,15.0,12.7,10.00,,
169,01/23/20 06:00:00 AM,15.0,13.1,9.96,,
170,01/23/20 06:15:00 AM,15.0,12.7,9.94,,
171,01/23/20 06:30:00 AM,15.0,12.7,9.90,,
172,01/23/20 06:45:00 AM,15.1,13.1,9.86,,
173,01/23/20 07:00:00 AM,15.1,13.1,9.81,,
174,01/23/20 07:15:00 AM,15.3,13.1,9.74,,
175,01/23/20 07:30:00 AM,15.3,13.1,9.69,,
176,01/23/20 07:45:00 AM,15.3,13.1,9.65,,
177,01/23/20 08:00:00 AM,15.3,13.1,9.62,,
178,01/23/20 08:15:00 AM,15.3,13.1,9.60,,
179,01/23/20 08:30:00 AM,15.3,13.1,9.64,,
180,01/23/20 08:45:00 AM,15.2,13.1,9.66,,
181,01/23/20 09:00:00 AM,15.3,13.1,9.69,,
182,01/23/20 09:15:00 AM,15.3,13.1,9.78,,
183,01/23/20 09:30:00 AM,15.6,13.1,9.90,,
184,01/23/20 09:45:00 AM,15.8,13.8,10.12,,
185,01/23/20 10:00:00 AM,16.0,13.8,10.41,,
186,01/23/20 10:15:00 AM,16.2,13.8,10.75,,
187,01/23/20 10:30:00 AM,16.2,13.8,11.18,,
188,01/23/20 10:45:00 AM,16.3,13.8,11.65,,
189,01/23/20 11:00:00 AM,16.4,13.8,12.10,,
190,01/23/20 11:15:00 AM,16.4,14.2,12.54,,
191,01/23/20 11:30:00 AM,16.5,13.8,12.92,,
192,01/23/20 11:45:00 AM,16.4,13.8,13.18,,
193,01/23/20 12:00:00 PM,16.8,14.5,13.39,,
194,01/23/20 12:15:00 PM,16.6,14.1,13.45,,
195,01/23/20 12:30:00 PM,16.6,14.5,13.45,,
196,01/23/20 12:45:00 PM,16.7,14.5,13.43,,
197,01/23/20 01:00:00 PM,16.9,14.5,13.32,,
198,01/23/20 01:15:00 PM,16.9,14.5,13.24,,
199,01/23/20 01:30:00 PM,17.0,14.5,13.24,,
200,01/23/20 01:45:00 PM,17.4,14.5,13.35,,
201,01/23/20 02:00:00 PM,19.2,16.0,13.48,,
202,01/23/20 02:15:00 PM,18.8,16.4,13.65,,
203,01/23/20 02:30:00 PM,18.3,16.0,13.85,,
204,01/23/20 02:45:00 PM,17.6,15.2,14.07,,
205,01/23/20 03:00:00 PM,17.9,15.2,14.27,,
206,01/23/20 03:15:00 PM,17.6,15.2,14.39,,
207,01/23/20 03:30:00 PM,17.6,15.2,14.51,,
208,01/23/20 03:45:00 PM,18.0,15.6,14.59,,
209,01/23/20 04:00:00 PM,18.1,15.6,14.61,,
210,01/23/20 04:15:00 PM,18.0,15.6,14.60,,
211,01/23/20 04:30:00 PM,18.1,15.6,14.59,,
212,01/23/20 04:45:00 PM,18.3,16.0,14.53,,
213,01/23/20 05:00:00 PM,18.3,16.0,14.47,,
214,01/23/20 05:15:00 PM,18.4,15.6,14.36,,
215,01/23/20 05:30:00 PM,18.4,16.0,14.24,,
216,01/23/20 05:45:00 PM,18.3,15.6,14.09,,
217,01/23/20 06:00:00 PM,18.3,15.6,13.96,,
218,01/23/20 06:15:00 PM,19.1,16.8,13.79,,
219,01/23/20 06:30:00 PM,19.8,17.5,13.61,,
220,01/23/20 06:45:00 PM,20.2,17.5,13.44,,
221,01/23/20 07:00:00 PM,20.5,18.3,13.26,,
222,01/23/20 07:15:00 PM,21.3,19.0,13.08,,
223,01/23/20 07:30:00 PM,21.7,19.4,12.94,,
224,01/23/20 07:45:00 PM,21.5,19.4,12.79,,
225,01/23/20 08:00:00 PM,21.4,18.7,12.64,,
226,01/23/20 08:15:00 PM,21.4,19.0,12.48,,
227,01/23/20 08:30:00 PM,20.8,18.3,12.32,,
228,01/23/20 08:45:00 PM,20.0,17.5,12.19,,
229,01/23/20 09:00:00 PM,19.6,17.5,12.07,,
230,01/23/20 09:15:00 PM,19.3,16.8,11.99,,
231,01/23/20 09:30:00 PM,19.1,16.8,11.90,,
232,01/23/20 09:45:00 PM,18.9,16.4,11.82,,
233,01/23/20 10:00:00 PM,18.6,16.0,11.74,,
234,01/23/20 10:15:00 PM,18.6,16.4,11.65,,
235,01/23/20 10:30:00 PM,18.4,16.0,11.55,,
236,01/23/20 10:45:00 PM,18.5,16.1,11.49,,
237,01/23/20 11:00:00 PM,18.7,16.1,11.42,,
238,01/23/20 11:15:00 PM,18.8,16.4,11.34,,
239,01/23/20 11:30:00 PM,18.9,16.8,11.27,,
240,01/23/20 11:45:00 PM,19.2,16.8,11.21,,
241,01/24/20 12:00:00 AM,19.3,16.8,11.14,,
242,01/24/20 12:15:00 AM,19.4,17.6,11.10,,
243,01/24/20 12:30:00 AM,19.6,17.2,11.05,,
244,01/24/20 12:45:00 AM,19.7,17.6,10.99,,
245,01/24/20 01:00:00 AM,19.7,17.6,10.95,,
246,01/24/20 01:15:00 AM,19.8,17.6,10.91,,
247,01/24/20 01:30:00 AM,19.8,17.6,10.89,,
248,01/24/20 01:45:00 AM,19.9,17.6,10.85,,
249,01/24/20 02:00:00 AM,19.9,17.6,10.81,,
250,01/24/20 02:15:00 AM,20.1,17.6,10.77,,
251,01/24/20 02:30:00 AM,20.2,17.6,10.73,,
252,01/24/20 02:45:00 AM,20.2,18.0,10.68,,
253,01/24/20 03:00:00 AM,20.4,18.3,10.65,,
254,01/24/20 03:15:00 AM,20.4,18.0,10.62,,
255,01/24/20 03:30:00 AM,20.7,18.3,10.61,,
256,01/24/20 03:45:00 AM,21.2,19.1,10.58,,
257,01/24/20 04:00:00 AM,21.4,18.7,10.54,,
258,01/24/20 04:15:00 AM,21.4,19.1,10.53,,
259,01/24/20 04:30:00 AM,21.7,19.5,10.49,,
260,01/24/20 04:45:00 AM,21.2,18.7,10.46,,
261,01/24/20 05:00:00 AM,21.5,19.1,10.44,,
262,01/24/20 05:15:00 AM,21.7,19.5,10.40,,
263,01/24/20 05:30:00 AM,21.7,19.5,10.36,,
264,01/24/20 05:45:00 AM,21.6,19.5,10.30,,
265,01/24/20 06:00:00 AM,21.7,19.1,10.22,,
266,01/24/20 06:15:00 AM,21.8,19.5,10.16,,
267,01/24/20 06:30:00 AM,22.2,19.8,10.09,,
268,01/24/20 06:45:00 AM,22.2,19.8,10.02,,
269,01/24/20 07:00:00 AM,22.3,20.2,9.97,,
270,01/24/20 07:15:00 AM,22.4,20.2,9.96,,
271,01/24/20 07:30:00 AM,22.5,19.9,9.94,,
272,01/24/20 07:45:00 AM,22.5,19.9,9.93,,
273,01/24/20 08:00:00 AM,22.5,19.9,9.94,,
274,01/24/20 08:15:00 AM,22.6,20.2,9.96,,
275,01/24/20 08:30:00 AM,22.7,20.2,9.98,,
276,01/24/20 08:45:00 AM,22.8,20.2,10.02,,
277,01/24/20 09:00:00 AM,22.7,20.2,10.08,,
278,01/24/20 09:15:00 AM,22.9,20.2,10.12,,
279,01/24/20 09:30:00 AM,23.0,20.2,10.21,,
280,01/24/20 09:45:00 AM,23.2,20.6,10.32,,
281,01/24/20 10:00:00 AM,23.3,20.6,10.48,,
282,01/24/20 10:15:00 AM,23.4,21.0,10.68,,
283,01/24/20 10:30:00 AM,23.5,21.0,10.86,,
284,01/24/20 10:45:00 AM,23.6,21.3,11.03,,
285,01/24/20 11:00:00 AM,23.6,20.9,11.21,,
286,01/24/20 11:15:00 AM,23.7,21.3,11.41,,
287,01/24/20 11:30:00 AM,23.9,21.3,11.59,,
288,01/24/20 11:45:00 AM,24.0,21.3,11.81,,
289,01/24/20 12:00:00 PM,24.3,21.3,12.03,,
290,01/24/20 12:15:00 PM,24.5,21.7,12.28,,
291,01/24/20 12:30:00 PM,24.5,21.7,12.62,,
292,01/24/20 12:45:00 PM,24.7,22.0,12.96,,
293,01/24/20 01:00:00 PM,25.3,22.4,13.36,,
294,01/24/20 01:15:00 PM,25.4,22.4,13.53,,
295,01/24/20 01:30:00 PM,25.5,22.4,13.63,,
296,01/24/20 01:45:00 PM,25.4,22.4,13.65,,
297,01/24/20 02:00:00 PM,25.4,22.4,13.65,,
298,01/24/20 02:15:00 PM,25.5,22.4,13.61,,
299,01/24/20 02:30:00 PM,25.7,22.8,13.51,,
300,01/24/20 02:45:00 PM,26.0,23.5,13.35,,
301,01/24/20 03:00:00 PM,26.7,23.5,12.75,,
302,01/24/20 03:15:00 PM,23.3,20.9,12.04,,
303,01/24/20 03:30:00 PM,21.3,18.7,11.26,,
304,01/24/20 03:45:00 PM,22.3,20.2,11.19,,
305,01/24/20 04:00:00 PM,20.9,18.3,11.29,,
306,01/24/20 04:15:00 PM,19.9,17.2,11.34,,
307,01/24/20 04:30:00 PM,19.4,17.2,11.35,,
308,01/24/20 04:45:00 PM,19.2,16.8,11.35,,
309,01/24/20 05:00:00 PM,18.7,16.4,11.37,,
310,01/24/20 05:15:00 PM,18.2,15.7,11.39,,
311,01/24/20 05:30:00 PM,17.8,15.3,11.42,,
312,01/24/20 05:45:00 PM,18.0,15.7,11.41,,
313,01/24/20 06:00:00 PM,17.9,15.7,11.39,,
314,01/24/20 06:15:00 PM,17.6,15.3,11.35,,
315,01/24/20 06:30:00 PM,17.4,14.9,11.30,,
316,01/24/20 06:45:00 PM,17.7,14.9,11.25,,
317,01/24/20 07:00:00 PM,18.1,15.7,11.17,,
318,01/24/20 07:15:00 PM,18.8,16.4,11.10,,
319,01/24/20 07:30:00 PM,18.9,16.4,11.03,,
320,01/24/20 07:45:00 PM,18.8,16.4,10.97,,
321,01/24/20 08:00:00 PM,18.7,16.4,10.90,,
322,01/24/20 08:15:00 PM,18.9,16.4,10.83,,
323,01/24/20 08:30:00 PM,18.6,16.4,10.74,,
324,01/24/20 08:45:00 PM,18.3,16.1,10.68,,
325,01/24/20 09:00:00 PM,17.6,15.7,10.62,,
326,01/24/20 09:15:00 PM,17.2,14.6,10.57,,
327,01/24/20 09:30:00 PM,17.0,14.6,10.53,,
328,01/24/20 09:45:00 PM,17.0,14.6,10.49,,
329,01/24/20 10:00:00 PM,17.0,14.6,10.45,,
330,01/24/20 10:15:00 PM,17.7,15.3,10.38,,
331,01/24/20 10:30:00 PM,17.5,14.9,10.28,,
332,01/24/20 10:45:00 PM,16.9,14.6,10.18,,
333,01/24/20 11:00:00 PM,16.4,13.8,10.10,,
334,01/24/20 11:15:00 PM,16.2,13.8,10.02,,
335,01/24/20 11:30:00 PM,16.1,13.8,9.96,,
336,01/24/20 11:45:00 PM,16.0,13.8,9.89,,
337,01/25/20 12:00:00 AM,15.9,13.4,9.84,,
338,01/25/20 12:15:00 AM,15.8,13.4,9.80,,
339,01/25/20 12:30:00 AM,15.8,13.4,9.73,,
340,01/25/20 12:45:00 AM,15.8,13.4,9.66,,
341,01/25/20 01:00:00 AM,15.6,13.5,9.57,,
342,01/25/20 01:15:00 AM,15.7,13.5,9.48,,
343,01/25/20 01:30:00 AM,15.8,13.8,9.36,,
344,01/25/20 01:45:00 AM,15.8,13.8,9.25,,
345,01/25/20 02:00:00 AM,15.8,13.5,9.16,,
346,01/25/20 02:15:00 AM,15.8,13.8,9.07,,
347,01/25/20 02:30:00 AM,15.9,13.8,8.99,,
348,01/25/20 02:45:00 AM,15.9,13.5,8.93,,
349,01/25/20 03:00:00 AM,15.9,13.8,8.91,,
350,01/25/20 03:15:00 AM,15.6,13.1,8.85,,
351,01/25/20 03:30:00 AM,15.6,13.5,8.81,,
352,01/25/20 03:45:00 AM,15.8,13.1,8.77,,
353,01/25/20 04:00:00 AM,15.7,13.5,8.71,,
354,01/25/20 04:15:00 AM,15.7,13.5,8.65,,
355,01/25/20 04:30:00 AM,15.6,13.1,8.57,,
356,01/25/20 04:45:00 AM,15.6,13.5,8.51,,
357,01/25/20 05:00:00 AM,15.6,13.1,8.43,,
358,01/25/20 05:15:00 AM,15.5,13.1,8.35,,
359,01/25/20 05:30:00 AM,15.5,13.1,8.27,,
360,01/25/20 05:45:00 AM,15.3,13.1,8.23,,
361,01/25/20 06:00:00 AM,15.4,13.5,8.19,,
362,01/25/20 06:15:00 AM,15.5,13.1,8.17,,
363,01/25/20 06:30:00 AM,15.7,13.1,8.16,,
364,01/25/20 06:45:00 AM,15.6,13.1,8.12,,
365,01/25/20 07:00:00 AM,15.6,13.1,8.09,,
366,01/25/20 07:15:00 AM,15.5,13.5,8.07,,
367,01/25/20 07:30:00 AM,15.5,13.1,8.04,,
368,01/25/20 07:45:00 AM,15.5,13.5,8.04,,
369,01/25/20 08:00:00 AM,15.5,13.1,8.04,,
370,01/25/20 08:15:00 AM,15.6,13.1,8.04,,
371,01/25/20 08:30:00 AM,15.8,13.5,8.07,,
372,01/25/20 08:45:00 AM,15.8,13.5,8.15,,
373,01/25/20 09:00:00 AM,15.9,13.5,8.25,,
374,01/25/20 09:15:00 AM,15.9,13.8,8.40,,
375,01/25/20 09:30:00 AM,16.0,13.8,8.59,,
376,01/25/20 09:45:00 AM,16.5,13.8,8.80,,
377,01/25/20 10:00:00 AM,17.0,14.6,9.09,,
378,01/25/20 10:15:00 AM,17.2,15.0,9.44,,
379,01/25/20 10:30:00 AM,17.5,15.0,9.82,,
380,01/25/20 10:45:00 AM,17.5,14.9,10.16,,
381,01/25/20 11:00:00 AM,17.7,14.9,10.42,,
382,01/25/20 11:15:00 AM,17.8,15.7,10.60,,
383,01/25/20 11:30:00 AM,17.7,15.7,10.73,,
384,01/25/20 11:45:00 AM,17.7,15.7,10.79,,
385,01/25/20 12:00:00 PM,17.7,15.3,10.82,,
386,01/25/20 12:15:00 PM,17.6,15.7,10.86,,
387,01/25/20 12:30:00 PM,17.6,15.7,10.87,,
388,01/25/20 12:45:00 PM,17.6,14.9,10.89,,
389,01/25/20 01:00:00 PM,16.8,14.6,10.36,,
390,01/25/20 01:15:00 PM,16.6,14.2,10.06,,
391,01/25/20 01:30:00 PM,16.3,13.8,9.57,,
392,01/25/20 01:45:00 PM,16.1,13.8,9.39,,
393,01/25/20 02:00:00 PM,16.0,13.8,9.31,,
394,01/25/20 02:15:00 PM,15.8,13.5,9.23,,
395,01/25/20 02:30:00 PM,15.7,13.5,9.31,,
396,01/25/20 02:45:00 PM,16.1,13.8,9.49,,
397,01/25/20 03:00:00 PM,16.3,13.8,9.77,,
398,01/25/20 03:15:00 PM,16.3,13.8,10.06,,
399,01/25/20 03:30:00 PM,16.6,14.6,10.30,,
400,01/25/20 03:45:00 PM,16.6,14.6,10.49,,
401,01/25/20 04:00:00 PM,16.2,13.8,10.62,,
402,01/25/20 04:15:00 PM,15.5,13.1,10.62,,
403,01/25/20 04:30:00 PM,15.4,13.1,10.58,,
404,01/25/20 04:45:00 PM,15.4,13.1,10.57,,
405,01/25/20 05:00:00 PM,16.3,13.8,10.52,,
406,01/25/20 05:15:00 PM,17.1,14.6,10.45,,
407,01/25/20 05:30:00 PM,17.7,15.3,10.37,,
408,01/25/20 05:45:00 PM,18.2,15.7,10.32,,
409,01/25/20 06:00:00 PM,18.6,16.1,10.26,,
410,01/25/20 06:15:00 PM,19.2,16.8,10.21,,
411,01/25/20 06:30:00 PM,19.7,17.6,10.13,,
412,01/25/20 06:45:00 PM,19.8,17.6,10.06,,
413,01/25/20 07:00:00 PM,19.8,17.6,9.97,,
414,01/25/20 07:15:00 PM,19.6,17.6,9.88,,
415,01/25/20 07:30:00 PM,19.3,17.2,9.80,,
416,01/25/20 07:45:00 PM,19.0,16.5,9.72,,
417,01/25/20 08:00:00 PM,18.5,16.5,9.68,,
418,01/25/20 08:15:00 PM,18.3,16.1,9.64,,
419,01/25/20 08:30:00 PM,18.0,15.7,9.58,,
420,01/25/20 08:45:00 PM,18.0,15.3,9.53,,
421,01/25/20 09:00:00 PM,17.8,15.7,9.46,,
422,01/25/20 09:15:00 PM,17.3,15.0,9.42,,
423,01/25/20 09:30:00 PM,16.8,14.6,9.37,,
424,01/25/20 09:45:00 PM,16.5,14.2,9.32,,
425,01/25/20 10:00:00 PM,16.0,13.8,9.27,,
426,01/25/20 10:15:00 PM,15.6,13.1,9.24,,
427,01/25/20 10:30:00 PM,15.4,13.1,9.17,,
428,01/25/20 10:45:00 PM,15.3,13.1,9.09,,
429,01/25/20 11:00:00 PM,15.4,13.1,8.95,,
430,01/25/20 11:15:00 PM,15.2,13.1,8.77,,
431,01/25/20 11:30:00 PM,14.9,12.7,8.53,,
432,01/25/20 11:45:00 PM,19.1,17.2,8.23,,
433,01/26/20 12:00:00 AM,15.4,13.1,7.79,,
434,01/26/20 12:15:00 AM,14.0,12.0,7.70,,
435,01/26/20 12:30:00 AM,13.7,12.0,7.64,,
436,01/26/20 12:45:00 AM,13.7,11.6,7.62,,
437,01/26/20 01:00:00 AM,13.5,11.6,7.58,,
438,01/26/20 01:15:00 AM,13.2,11.6,7.58,,
439,01/26/20 01:30:00 AM,13.4,11.6,7.62,,
