"Plot Title: EC Logger 2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Full Range, μS/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C (LGR S/N: 20636127, SEN S/N: 20636127)","Coupler Detached (LGR S/N: 20636127)","End Of File (LGR S/N: 20636127)"
69,01/22/20 04:00:00 AM,13.3,11.1,9.00,,
70,01/22/20 04:15:00 AM,13.1,10.8,8.97,,
71,01/22/20 04:30:00 AM,12.9,10.8,8.95,,
72,01/22/20 04:45:00 AM,12.8,10.8,8.91,,
73,01/22/20 05:00:00 AM,13.1,11.1,8.90,,
74,01/22/20 05:15:00 AM,12.8,10.8,8.84,,
75,01/22/20 05:30:00 AM,12.8,10.8,8.84,,
76,01/22/20 05:45:00 AM,12.8,11.1,8.83,,
77,01/22/20 06:00:00 AM,12.8,10.8,8.76,,
78,01/22/20 06:15:00 AM,13.2,10.8,8.74,,
79,01/22/20 06:30:00 AM,13.4,11.1,8.70,,
80,01/22/20 06:45:00 AM,13.4,10.8,8.67,,
81,01/22/20 07:00:00 AM,13.3,11.5,8.65,,
82,01/22/20 07:15:00 AM,13.1,11.1,8.62,,
83,01/22/20 07:30:00 AM,12.8,10.8,8.61,,
84,01/22/20 07:45:00 AM,12.7,10.8,8.61,,
85,01/22/20 08:00:00 AM,12.6,10.8,8.63,,
86,01/22/20 08:15:00 AM,12.4,10.4,8.67,,
87,01/22/20 08:30:00 AM,12.4,10.4,8.74,,
88,01/22/20 08:45:00 AM,12.3,10.4,8.83,,
89,01/22/20 09:00:00 AM,12.2,10.0,8.92,,
90,01/22/20 09:15:00 AM,12.2,10.4,9.04,,
91,01/22/20 09:30:00 AM,12.1,10.0,9.19,,
92,01/22/20 09:45:00 AM,12.1,10.4,9.38,,
93,01/22/20 10:00:00 AM,12.2,10.0,9.55,,
94,01/22/20 10:15:00 AM,12.0,10.0,9.71,,
95,01/22/20 10:30:00 AM,12.0,10.0,9.90,,
96,01/22/20 10:45:00 AM,12.0,10.0,10.09,,
97,01/22/20 11:00:00 AM,12.3,10.0,10.26,,
98,01/22/20 11:15:00 AM,12.5,10.7,10.49,,
99,01/22/20 11:30:00 AM,12.9,10.7,10.76,,
100,01/22/20 11:45:00 AM,13.2,10.7,11.18,,
101,01/22/20 12:00:00 PM,13.9,11.5,11.66,,
102,01/22/20 12:15:00 PM,14.7,12.6,12.15,,
103,01/22/20 12:30:00 PM,15.0,12.6,12.63,,
104,01/22/20 12:45:00 PM,15.1,12.9,13.16,,
105,01/22/20 01:00:00 PM,13.7,11.4,13.61,,
106,01/22/20 01:15:00 PM,13.9,11.4,14.00,,
107,01/22/20 01:30:00 PM,14.5,12.2,14.29,,
108,01/22/20 01:45:00 PM,14.6,12.2,14.55,,
109,01/22/20 02:00:00 PM,13.8,11.4,14.86,,
110,01/22/20 02:15:00 PM,14.0,11.8,15.28,,
111,01/22/20 02:30:00 PM,14.6,12.5,15.58,,
112,01/22/20 02:45:00 PM,15.1,12.5,15.82,,
113,01/22/20 03:00:00 PM,14.9,12.5,15.99,,
114,01/22/20 03:15:00 PM,14.6,12.1,16.05,,
115,01/22/20 03:30:00 PM,14.6,12.1,16.07,,
116,01/22/20 03:45:00 PM,14.4,11.8,16.04,,
117,01/22/20 04:00:00 PM,14.1,12.1,15.97,,
118,01/22/20 04:15:00 PM,14.1,11.8,15.84,,
119,01/22/20 04:30:00 PM,14.4,12.2,15.66,,
120,01/22/20 04:45:00 PM,14.4,12.2,15.43,,
121,01/22/20 05:00:00 PM,13.9,12.2,15.18,,
122,01/22/20 05:15:00 PM,13.7,11.4,14.95,,
123,01/22/20 05:30:00 PM,13.3,11.4,14.75,,
124,01/22/20 05:45:00 PM,13.2,10.7,14.53,,
125,01/22/20 06:00:00 PM,12.6,10.7,14.32,,
126,01/22/20 06:15:00 PM,12.6,10.7,14.13,,
127,01/22/20 06:30:00 PM,12.4,10.3,13.95,,
128,01/22/20 06:45:00 PM,12.3,9.9,13.76,,
129,01/22/20 07:00:00 PM,12.3,10.3,13.59,,
130,01/22/20 07:15:00 PM,12.1,9.9,13.45,,
131,01/22/20 07:30:00 PM,12.1,9.9,13.32,,
132,01/22/20 07:45:00 PM,12.1,10.0,13.16,,
133,01/22/20 08:00:00 PM,12.0,10.0,13.01,,
134,01/22/20 08:15:00 PM,11.9,10.0,12.87,,
135,01/22/20 08:30:00 PM,11.8,10.0,12.74,,
136,01/22/20 08:45:00 PM,11.8,9.6,12.58,,
137,01/22/20 09:00:00 PM,11.8,10.0,12.46,,
138,01/22/20 09:15:00 PM,11.7,10.0,12.32,,
139,01/22/20 09:30:00 PM,11.7,10.0,12.18,,
140,01/22/20 09:45:00 PM,11.7,10.0,12.05,,
141,01/22/20 10:00:00 PM,11.7,10.0,11.93,,
142,01/22/20 10:15:00 PM,11.6,10.0,11.82,,
143,01/22/20 10:30:00 PM,11.6,10.0,11.71,,
144,01/22/20 10:45:00 PM,11.6,10.0,11.62,,
145,01/22/20 11:00:00 PM,11.6,9.6,11.51,,
146,01/22/20 11:15:00 PM,11.5,10.0,11.43,,
147,01/22/20 11:30:00 PM,11.5,9.6,11.36,,
148,01/22/20 11:45:00 PM,11.6,9.6,11.29,,
149,01/23/20 12:00:00 AM,11.6,9.6,11.21,,
150,01/23/20 12:15:00 AM,11.5,9.6,11.12,,
151,01/23/20 12:30:00 AM,11.5,10.0,11.04,,
152,01/23/20 12:45:00 AM,11.5,9.6,10.99,,
153,01/23/20 01:00:00 AM,11.6,9.6,10.90,,
154,01/23/20 01:15:00 AM,11.6,10.0,10.79,,
155,01/23/20 01:30:00 AM,11.6,10.0,10.71,,
156,01/23/20 01:45:00 AM,11.6,10.0,10.65,,
157,01/23/20 02:00:00 AM,11.6,9.6,10.58,,
158,01/23/20 02:15:00 AM,11.6,9.6,10.54,,
159,01/23/20 02:30:00 AM,11.7,10.0,10.49,,
160,01/23/20 02:45:00 AM,11.7,10.0,10.45,,
161,01/23/20 03:00:00 AM,11.8,10.0,10.40,,
162,01/23/20 03:15:00 AM,11.8,10.0,10.37,,
163,01/23/20 03:30:00 AM,11.8,10.0,10.33,,
164,01/23/20 03:45:00 AM,11.8,10.0,10.28,,
165,01/23/20 04:00:00 AM,11.8,10.0,10.24,,
166,01/23/20 04:15:00 AM,11.8,10.0,10.20,,
167,01/23/20 04:30:00 AM,11.9,10.0,10.16,,
168,01/23/20 04:45:00 AM,11.8,10.0,10.12,,
169,01/23/20 05:00:00 AM,11.9,10.0,10.07,,
170,01/23/20 05:15:00 AM,11.9,10.0,10.04,,
171,01/23/20 05:30:00 AM,11.9,10.0,10.00,,
172,01/23/20 05:45:00 AM,11.8,10.0,9.96,,
173,01/23/20 06:00:00 AM,11.8,10.0,9.95,,
174,01/23/20 06:15:00 AM,11.9,10.4,9.91,,
175,01/23/20 06:30:00 AM,11.9,10.4,9.88,,
176,01/23/20 06:45:00 AM,12.1,10.0,9.84,,
177,01/23/20 07:00:00 AM,11.9,10.0,9.79,,
178,01/23/20 07:15:00 AM,12.1,10.0,9.75,,
179,01/23/20 07:30:00 AM,12.0,10.0,9.68,,
180,01/23/20 07:45:00 AM,11.9,10.4,9.66,,
181,01/23/20 08:00:00 AM,11.9,10.0,9.63,,
182,01/23/20 08:15:00 AM,12.0,10.0,9.66,,
183,01/23/20 08:30:00 AM,12.0,10.0,9.67,,
184,01/23/20 08:45:00 AM,12.0,10.0,9.67,,
185,01/23/20 09:00:00 AM,12.1,10.0,9.74,,
186,01/23/20 09:15:00 AM,12.1,10.0,9.84,,
187,01/23/20 09:30:00 AM,12.1,10.4,10.00,,
188,01/23/20 09:45:00 AM,12.3,10.0,10.21,,
189,01/23/20 10:00:00 AM,12.3,10.0,10.50,,
190,01/23/20 10:15:00 AM,12.4,10.4,10.82,,
191,01/23/20 10:30:00 AM,12.5,10.7,11.20,,
192,01/23/20 10:45:00 AM,12.4,10.7,11.63,,
193,01/23/20 11:00:00 AM,12.5,10.7,12.11,,
194,01/23/20 11:15:00 AM,12.6,10.7,12.54,,
195,01/23/20 11:30:00 AM,12.6,10.0,12.92,,
196,01/23/20 11:45:00 AM,12.6,10.3,13.26,,
197,01/23/20 12:00:00 PM,12.6,10.7,13.51,,
198,01/23/20 12:15:00 PM,12.8,10.7,13.67,,
199,01/23/20 12:30:00 PM,12.7,10.7,13.75,,
200,01/23/20 12:45:00 PM,12.7,10.7,13.76,,
201,01/23/20 01:00:00 PM,12.6,10.7,13.72,,
202,01/23/20 01:15:00 PM,12.6,10.7,13.67,,
203,01/23/20 01:30:00 PM,12.9,10.7,13.68,,
204,01/23/20 01:45:00 PM,13.2,11.1,13.74,,
205,01/23/20 02:00:00 PM,12.8,10.7,13.93,,
206,01/23/20 02:15:00 PM,12.8,10.7,14.17,,
207,01/23/20 02:30:00 PM,12.8,10.7,14.42,,
208,01/23/20 02:45:00 PM,12.8,10.7,14.64,,
209,01/23/20 03:00:00 PM,12.8,10.7,14.83,,
210,01/23/20 03:15:00 PM,12.7,10.7,14.97,,
211,01/23/20 03:30:00 PM,12.5,10.7,15.11,,
212,01/23/20 03:45:00 PM,12.5,10.7,15.20,,
213,01/23/20 04:00:00 PM,12.5,10.7,15.29,,
214,01/23/20 04:15:00 PM,12.5,10.7,15.33,,
215,01/23/20 04:30:00 PM,12.8,10.7,15.33,,
216,01/23/20 04:45:00 PM,12.7,10.7,15.28,,
217,01/23/20 05:00:00 PM,13.0,11.0,15.17,,
218,01/23/20 05:15:00 PM,13.4,11.0,15.01,,
219,01/23/20 05:30:00 PM,13.3,11.4,14.83,,
220,01/23/20 05:45:00 PM,12.9,10.7,14.63,,
221,01/23/20 06:00:00 PM,12.8,10.7,14.46,,
222,01/23/20 06:15:00 PM,12.8,10.7,14.26,,
223,01/23/20 06:30:00 PM,12.7,10.7,14.08,,
224,01/23/20 06:45:00 PM,12.7,10.7,13.92,,
225,01/23/20 07:00:00 PM,12.8,10.7,13.76,,
226,01/23/20 07:15:00 PM,12.9,11.1,13.58,,
227,01/23/20 07:30:00 PM,13.1,10.7,13.43,,
228,01/23/20 07:45:00 PM,12.9,10.7,13.26,,
229,01/23/20 08:00:00 PM,12.8,10.7,13.11,,
230,01/23/20 08:15:00 PM,12.7,10.7,12.95,,
231,01/23/20 08:30:00 PM,12.9,10.7,12.78,,
232,01/23/20 08:45:00 PM,12.9,10.7,12.66,,
233,01/23/20 09:00:00 PM,12.8,10.7,12.55,,
234,01/23/20 09:15:00 PM,12.8,10.7,12.45,,
235,01/23/20 09:30:00 PM,12.8,10.7,12.34,,
236,01/23/20 09:45:00 PM,12.8,10.7,12.28,,
237,01/23/20 10:00:00 PM,12.8,10.7,12.12,,
238,01/23/20 10:15:00 PM,12.9,11.1,11.97,,
239,01/23/20 10:30:00 PM,13.0,10.7,11.92,,
240,01/23/20 10:45:00 PM,13.0,10.7,11.76,,
241,01/23/20 11:00:00 PM,13.2,11.1,11.75,,
242,01/23/20 11:15:00 PM,13.0,10.7,11.66,,
243,01/23/20 11:30:00 PM,12.9,10.7,11.58,,
244,01/23/20 11:45:00 PM,13.2,10.7,11.50,,
245,01/24/20 12:00:00 AM,12.9,11.1,11.40,,
246,01/24/20 12:15:00 AM,12.9,10.7,11.36,,
247,01/24/20 12:30:00 AM,12.9,11.1,11.32,,
248,01/24/20 12:45:00 AM,13.5,11.5,11.17,,
249,01/24/20 01:00:00 AM,13.9,11.5,11.17,,
250,01/24/20 01:15:00 AM,13.7,11.5,11.17,,
251,01/24/20 01:30:00 AM,13.9,11.5,11.04,,
252,01/24/20 01:45:00 AM,14.1,12.2,10.99,,
253,01/24/20 02:00:00 AM,14.5,12.2,10.96,,
254,01/24/20 02:15:00 AM,14.4,12.2,10.88,,
255,01/24/20 02:30:00 AM,14.4,12.2,10.84,,
256,01/24/20 02:45:00 AM,14.2,12.2,10.84,,
257,01/24/20 03:00:00 AM,14.6,12.2,10.80,,
258,01/24/20 03:15:00 AM,14.1,11.9,10.67,,
259,01/24/20 03:30:00 AM,13.4,11.5,10.62,,
260,01/24/20 03:45:00 AM,13.2,11.1,10.58,,
261,01/24/20 04:00:00 AM,13.4,11.5,10.59,,
262,01/24/20 04:15:00 AM,13.7,11.5,10.50,,
263,01/24/20 04:30:00 AM,13.3,11.5,10.46,,
264,01/24/20 04:45:00 AM,13.2,11.5,10.43,,
265,01/24/20 05:00:00 AM,13.2,10.7,10.40,,
266,01/24/20 05:15:00 AM,13.3,11.1,10.34,,
267,01/24/20 05:30:00 AM,13.3,11.5,10.26,,
268,01/24/20 05:45:00 AM,13.3,11.5,10.18,,
269,01/24/20 06:00:00 AM,13.3,11.1,10.11,,
270,01/24/20 06:15:00 AM,13.6,11.5,10.01,,
271,01/24/20 06:30:00 AM,13.7,11.5,9.93,,
272,01/24/20 06:45:00 AM,13.5,11.5,9.90,,
273,01/24/20 07:00:00 AM,14.5,12.2,9.93,,
274,01/24/20 07:15:00 AM,13.7,11.5,9.87,,
275,01/24/20 07:30:00 AM,13.5,11.5,9.87,,
276,01/24/20 07:45:00 AM,13.5,11.5,9.92,,
277,01/24/20 08:00:00 AM,14.7,12.2,10.13,,
278,01/24/20 08:15:00 AM,15.2,12.6,10.24,,
279,01/24/20 08:30:00 AM,15.2,12.6,10.42,,
280,01/24/20 08:45:00 AM,15.6,13.0,10.68,,
281,01/24/20 09:00:00 AM,16.0,13.7,10.97,,
282,01/24/20 09:15:00 AM,16.7,14.5,11.36,,
283,01/24/20 09:30:00 AM,16.9,14.5,11.67,,
284,01/24/20 09:45:00 AM,15.8,13.3,11.80,,
285,01/24/20 10:00:00 AM,15.6,13.0,11.97,,
286,01/24/20 10:15:00 AM,17.2,14.5,12.34,,
287,01/24/20 10:30:00 AM,16.9,14.4,12.66,,
288,01/24/20 10:45:00 AM,16.5,14.4,12.70,,
289,01/24/20 11:00:00 AM,17.1,14.4,12.80,,
290,01/24/20 11:15:00 AM,16.0,13.7,13.00,,
291,01/24/20 11:30:00 AM,15.3,12.6,13.26,,
292,01/24/20 11:45:00 AM,16.5,14.1,13.64,,
293,01/24/20 12:00:00 PM,15.7,13.3,14.17,,
294,01/24/20 12:15:00 PM,16.0,13.3,14.55,,
295,01/24/20 12:30:00 PM,16.6,14.0,14.70,,
296,01/24/20 12:45:00 PM,15.2,12.5,15.13,,
297,01/24/20 01:00:00 PM,15.6,12.9,15.39,,
298,01/24/20 01:15:00 PM,16.3,13.6,15.54,,
299,01/24/20 01:30:00 PM,17.9,15.1,15.37,,
300,01/24/20 01:45:00 PM,18.6,15.9,15.01,,
301,01/24/20 02:00:00 PM,18.4,15.9,14.74,,
302,01/24/20 02:15:00 PM,18.2,15.5,14.51,,
303,01/24/20 02:30:00 PM,18.5,15.9,14.21,,
304,01/24/20 02:45:00 PM,18.2,15.5,13.92,,
305,01/24/20 03:00:00 PM,16.3,13.7,12.86,,
306,01/24/20 03:15:00 PM,14.9,12.6,11.88,,
307,01/24/20 03:30:00 PM,14.3,11.8,11.67,,
308,01/24/20 03:45:00 PM,13.8,11.5,11.75,,
309,01/24/20 04:00:00 PM,13.6,11.1,11.80,,
310,01/24/20 04:15:00 PM,13.6,11.5,11.87,,
311,01/24/20 04:30:00 PM,13.6,11.5,11.91,,
312,01/24/20 04:45:00 PM,13.4,11.5,11.90,,
313,01/24/20 05:00:00 PM,13.4,11.5,11.90,,
314,01/24/20 05:15:00 PM,13.4,11.1,11.88,,
315,01/24/20 05:30:00 PM,13.4,11.5,11.87,,
316,01/24/20 05:45:00 PM,13.3,11.5,11.84,,
317,01/24/20 06:00:00 PM,13.2,11.1,11.82,,
318,01/24/20 06:15:00 PM,13.2,11.1,11.75,,
319,01/24/20 06:30:00 PM,13.2,11.5,11.68,,
320,01/24/20 06:45:00 PM,13.2,11.1,11.62,,
321,01/24/20 07:00:00 PM,13.2,11.1,11.53,,
322,01/24/20 07:15:00 PM,12.9,10.7,11.43,,
323,01/24/20 07:30:00 PM,13.0,11.1,11.34,,
324,01/24/20 07:45:00 PM,13.0,11.1,11.26,,
325,01/24/20 08:00:00 PM,13.0,10.7,11.18,,
326,01/24/20 08:15:00 PM,12.8,10.7,11.12,,
327,01/24/20 08:30:00 PM,12.8,10.7,11.03,,
328,01/24/20 08:45:00 PM,12.8,10.7,10.95,,
329,01/24/20 09:00:00 PM,12.8,10.7,10.88,,
330,01/24/20 09:15:00 PM,12.7,10.7,10.80,,
331,01/24/20 09:30:00 PM,12.8,10.7,10.74,,
332,01/24/20 09:45:00 PM,12.7,10.7,10.68,,
333,01/24/20 10:00:00 PM,12.8,11.1,10.63,,
334,01/24/20 10:15:00 PM,12.8,10.7,10.61,,
335,01/24/20 10:30:00 PM,12.7,10.7,10.49,,
336,01/24/20 10:45:00 PM,12.8,10.7,10.42,,
337,01/24/20 11:00:00 PM,12.6,10.7,10.36,,
338,01/24/20 11:15:00 PM,12.6,10.7,10.28,,
339,01/24/20 11:30:00 PM,12.6,10.7,10.09,,
340,01/24/20 11:45:00 PM,12.6,10.7,10.08,,
341,01/25/20 12:00:00 AM,12.8,10.7,10.05,,
342,01/25/20 12:15:00 AM,12.8,10.7,9.99,,
343,01/25/20 12:30:00 AM,12.7,10.7,9.91,,
344,01/25/20 12:45:00 AM,12.6,10.7,9.82,,
345,01/25/20 01:00:00 AM,12.7,10.8,9.71,,
346,01/25/20 01:15:00 AM,12.8,10.8,9.63,,
347,01/25/20 01:30:00 AM,12.6,10.8,9.58,,
348,01/25/20 01:45:00 AM,12.6,10.8,9.49,,
349,01/25/20 02:00:00 AM,12.5,10.8,9.38,,
350,01/25/20 02:15:00 AM,12.4,10.4,9.30,,
351,01/25/20 02:30:00 AM,12.4,10.4,9.22,,
352,01/25/20 02:45:00 AM,12.4,10.4,9.16,,
353,01/25/20 03:00:00 AM,12.3,10.4,9.09,,
354,01/25/20 03:15:00 AM,12.3,10.4,9.03,,
355,01/25/20 03:30:00 AM,12.3,10.4,8.96,,
356,01/25/20 03:45:00 AM,12.3,10.4,8.90,,
357,01/25/20 04:00:00 AM,12.3,10.4,8.82,,
358,01/25/20 04:15:00 AM,12.3,10.4,8.76,,
359,01/25/20 04:30:00 AM,12.2,10.4,8.70,,
360,01/25/20 04:45:00 AM,12.1,10.4,8.65,,
361,01/25/20 05:00:00 AM,12.2,10.4,8.61,,
362,01/25/20 05:15:00 AM,12.1,10.4,8.54,,
363,01/25/20 05:30:00 AM,12.1,10.0,8.46,,
364,01/25/20 05:45:00 AM,12.0,10.4,8.42,,
365,01/25/20 06:00:00 AM,11.9,10.4,8.37,,
366,01/25/20 06:15:00 AM,12.0,10.4,8.32,,
367,01/25/20 06:30:00 AM,11.9,10.4,8.26,,
368,01/25/20 06:45:00 AM,12.0,10.4,8.21,,
369,01/25/20 07:00:00 AM,12.0,10.4,8.17,,
370,01/25/20 07:15:00 AM,12.0,10.4,8.15,,
371,01/25/20 07:30:00 AM,12.1,10.4,8.12,,
372,01/25/20 07:45:00 AM,12.0,10.0,8.07,,
373,01/25/20 08:00:00 AM,12.1,10.4,8.03,,
374,01/25/20 08:15:00 AM,12.0,10.4,8.07,,
375,01/25/20 08:30:00 AM,12.0,10.4,8.11,,
376,01/25/20 08:45:00 AM,12.1,10.4,8.20,,
377,01/25/20 09:00:00 AM,12.0,10.4,8.30,,
378,01/25/20 09:15:00 AM,12.1,10.4,8.45,,
379,01/25/20 09:30:00 AM,12.2,10.4,8.62,,
380,01/25/20 09:45:00 AM,12.2,10.4,8.87,,
381,01/25/20 10:00:00 AM,12.3,10.4,9.17,,
382,01/25/20 10:15:00 AM,12.3,10.4,9.51,,
383,01/25/20 10:30:00 AM,12.4,10.4,9.86,,
384,01/25/20 10:45:00 AM,12.5,10.7,10.16,,
385,01/25/20 11:00:00 AM,12.6,10.7,10.38,,
386,01/25/20 11:15:00 AM,12.6,10.7,10.54,,
387,01/25/20 11:30:00 AM,12.5,10.7,10.67,,
388,01/25/20 11:45:00 AM,12.5,10.4,10.79,,
389,01/25/20 12:00:00 PM,12.5,10.7,10.88,,
390,01/25/20 12:15:00 PM,12.5,10.4,10.95,,
391,01/25/20 12:30:00 PM,12.5,10.7,10.97,,
392,01/25/20 12:45:00 PM,12.6,10.7,10.26,,
393,01/25/20 01:00:00 PM,12.2,10.4,9.53,,
394,01/25/20 01:15:00 PM,12.1,10.4,9.59,,
395,01/25/20 01:30:00 PM,12.1,10.4,9.66,,
396,01/25/20 01:45:00 PM,12.1,10.0,9.61,,
397,01/25/20 02:00:00 PM,12.1,10.4,9.59,,
398,01/25/20 02:15:00 PM,12.3,10.4,9.66,,
399,01/25/20 02:30:00 PM,12.3,10.4,9.74,,
400,01/25/20 02:45:00 PM,12.3,10.0,9.80,,
401,01/25/20 03:00:00 PM,12.3,10.4,9.87,,
402,01/25/20 03:15:00 PM,12.3,10.4,9.96,,
403,01/25/20 03:30:00 PM,12.4,10.4,10.07,,
404,01/25/20 03:45:00 PM,12.4,10.4,10.13,,
405,01/25/20 04:00:00 PM,12.4,10.4,10.21,,
406,01/25/20 04:15:00 PM,12.4,10.4,10.26,,
407,01/25/20 04:30:00 PM,12.4,10.4,10.30,,
408,01/25/20 04:45:00 PM,12.5,10.7,10.36,,
409,01/25/20 05:00:00 PM,12.4,10.4,10.38,,
410,01/25/20 05:15:00 PM,12.5,10.4,10.41,,
411,01/25/20 05:30:00 PM,12.4,10.7,10.40,,
412,01/25/20 05:45:00 PM,12.4,10.4,10.38,,
413,01/25/20 06:00:00 PM,12.5,10.4,10.34,,
414,01/25/20 06:15:00 PM,12.3,10.4,10.28,,
415,01/25/20 06:30:00 PM,12.3,10.4,10.21,,
416,01/25/20 06:45:00 PM,12.2,10.0,10.15,,
417,01/25/20 07:00:00 PM,12.1,10.0,10.08,,
418,01/25/20 07:15:00 PM,11.9,10.0,10.03,,
419,01/25/20 07:30:00 PM,11.8,10.4,9.96,,
420,01/25/20 07:45:00 PM,11.8,10.0,9.91,,
421,01/25/20 08:00:00 PM,11.9,10.0,9.86,,
422,01/25/20 08:15:00 PM,11.8,10.0,9.79,,
423,01/25/20 08:30:00 PM,11.8,10.0,9.72,,
424,01/25/20 08:45:00 PM,11.8,10.4,9.67,,
425,01/25/20 09:00:00 PM,11.8,10.4,9.63,,
426,01/25/20 09:15:00 PM,11.7,10.0,9.57,,
427,01/25/20 09:30:00 PM,11.6,10.0,9.51,,
428,01/25/20 09:45:00 PM,11.6,10.0,9.46,,
429,01/25/20 10:00:00 PM,11.6,10.0,9.40,,
430,01/25/20 10:15:00 PM,11.6,10.0,9.36,,
431,01/25/20 10:30:00 PM,11.6,9.6,9.30,,
432,01/25/20 10:45:00 PM,11.6,9.6,9.24,,
433,01/25/20 11:00:00 PM,11.6,9.6,9.13,,
434,01/25/20 11:15:00 PM,11.5,9.6,8.97,,
435,01/25/20 11:30:00 PM,11.4,9.3,8.83,,
436,01/25/20 11:45:00 PM,11.3,9.6,8.71,,
437,01/26/20 12:00:00 AM,11.1,9.3,8.38,,
438,01/26/20 12:15:00 AM,10.9,9.6,8.03,,
439,01/26/20 12:30:00 AM,10.9,9.3,7.82,,
440,01/26/20 12:45:00 AM,10.9,9.3,7.67,,
