Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
6/10/2022,10:15:00 pm,0,70.4460,6.864
6/10/2022,10:30:00 pm,0,70.4502,6.865
6/10/2022,10:45:00 pm,0,70.4501,6.866
6/10/2022,11:00:00 pm,0,70.4566,6.867
6/10/2022,11:15:00 pm,0,70.4601,6.868
6/10/2022,11:30:00 pm,0,70.4634,6.869
6/10/2022,11:45:00 pm,0,70.4679,6.870
6/11/2022,12:00:00 am,0,70.4552,6.871
6/11/2022,12:15:00 am,0,70.4415,6.870
6/11/2022,12:30:00 am,0,70.4214,6.858
6/11/2022,12:45:00 am,0,70.4002,6.848
6/11/2022,01:00:00 am,0,70.3986,6.839
6/11/2022,01:15:00 am,0,70.3902,6.830
6/11/2022,01:30:00 am,0,70.3817,6.812
6/11/2022,01:45:00 am,0,70.3610,6.803
6/11/2022,02:00:00 am,0,70.3531,6.786
6/11/2022,02:15:00 am,0,70.3326,6.765
6/11/2022,02:30:00 am,0,70.3187,6.760
6/11/2022,02:45:00 am,0,70.2985,6.751
6/11/2022,03:00:00 am,0,70.3048,6.744
6/11/2022,03:15:00 am,0,70.3046,6.733
6/11/2022,03:30:00 am,0,70.3116,6.713
6/11/2022,03:45:00 am,0,70.3114,6.703
6/11/2022,04:00:00 am,0,70.3170,6.694
6/11/2022,04:15:00 am,0,70.3247,6.689
6/11/2022,04:30:00 am,0,70.3312,6.683
6/11/2022,04:45:00 am,0,70.3290,6.671
6/11/2022,05:00:00 am,0,70.3316,6.663
6/11/2022,05:15:00 am,0,70.3411,6.656
6/11/2022,05:30:00 am,0,70.3497,6.653
6/11/2022,05:45:00 am,0,70.3611,6.648
6/11/2022,06:00:00 am,0,70.3702,6.641
6/11/2022,06:15:00 am,0,70.3838,6.635
6/11/2022,06:30:00 am,0,70.3933,6.625
6/11/2022,06:45:00 am,0,70.4126,6.617
