Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
7/31/2022,11:19:51 am,0,70.2313,6.241
7/31/2022,11:34:51 am,0,70.2229,6.249
7/31/2022,11:49:51 am,0,70.2119,6.257
7/31/2022,12:04:51 pm,0,70.2052,6.263
7/31/2022,12:19:51 pm,0,70.1945,6.269
7/31/2022,12:34:51 pm,0,70.1739,6.274
7/31/2022,12:49:51 pm,0,70.1580,6.279
7/31/2022,01:04:51 pm,0,70.1463,6.284
7/31/2022,01:19:51 pm,0,70.1268,6.289
7/31/2022,01:34:51 pm,0,70.1114,6.293
7/31/2022,01:49:51 pm,0,70.0926,6.298
7/31/2022,02:04:51 pm,0,70.0689,6.301
7/31/2022,02:19:51 pm,0,70.0555,6.304
7/31/2022,02:34:51 pm,0,70.0365,6.307
7/31/2022,02:49:51 pm,0,70.0193,6.310
7/31/2022,03:04:51 pm,0,69.9956,6.314
7/31/2022,03:19:51 pm,0,69.9775,6.316
7/31/2022,03:34:51 pm,0,69.9625,6.318
7/31/2022,03:49:51 pm,0,69.9582,6.321
7/31/2022,04:04:51 pm,0,69.9302,6.323
7/31/2022,04:19:51 pm,0,69.9341,6.325
7/31/2022,04:34:51 pm,0,69.9467,6.327
7/31/2022,04:49:51 pm,0,69.9708,6.329
7/31/2022,05:04:51 pm,0,69.9671,6.330
7/31/2022,05:19:51 pm,0,69.9736,6.332
7/31/2022,05:34:51 pm,0,69.9753,6.334
7/31/2022,05:49:51 pm,0,69.9927,6.335
7/31/2022,06:04:51 pm,0,70.0026,6.336
7/31/2022,06:19:51 pm,0,70.0174,6.337
7/31/2022,06:34:51 pm,0,70.0334,6.339
7/31/2022,06:49:51 pm,0,70.0491,6.339
7/31/2022,07:04:51 pm,0,70.0540,6.341
7/31/2022,07:19:51 pm,0,70.0529,6.342
7/31/2022,07:34:51 pm,0,70.0630,6.343
7/31/2022,07:49:51 pm,0,70.0693,6.344
7/31/2022,08:04:51 pm,0,70.0739,6.344
7/31/2022,08:19:51 pm,0,70.0654,6.345
7/31/2022,08:34:51 pm,0,70.0595,6.346
7/31/2022,08:49:51 pm,0,70.0725,6.347
7/31/2022,09:04:51 pm,0,70.0905,6.347
7/31/2022,09:19:51 pm,0,70.0934,6.348
7/31/2022,09:34:51 pm,0,70.1115,6.349
7/31/2022,09:49:51 pm,0,70.1181,6.349
7/31/2022,10:04:51 pm,0,70.1121,6.350
7/31/2022,10:19:51 pm,0,70.1102,6.351
7/31/2022,10:34:51 pm,0,70.1068,6.352
7/31/2022,10:49:51 pm,0,70.1087,6.352
7/31/2022,11:04:51 pm,0,70.1187,6.353
7/31/2022,11:19:51 pm,0,70.1228,6.353
7/31/2022,11:34:51 pm,0,70.1193,6.354
7/31/2022,11:49:51 pm,0,70.1111,6.354
8/1/2022,12:04:51 am,0,70.1011,6.355
8/1/2022,12:19:51 am,0,70.0760,6.355
8/1/2022,12:34:51 am,0,70.0582,6.356
8/1/2022,12:49:51 am,0,70.0569,6.356
8/1/2022,01:04:51 am,0,70.0356,6.357
8/1/2022,01:19:51 am,0,70.0346,6.357
8/1/2022,01:34:51 am,0,70.0304,6.358
8/1/2022,01:49:51 am,0,70.0095,6.358
8/1/2022,02:04:51 am,0,69.9822,6.359
8/1/2022,02:19:51 am,0,69.9689,6.359
8/1/2022,02:34:51 am,0,69.9641,6.359
8/1/2022,02:49:51 am,0,69.9566,6.359
8/1/2022,03:04:51 am,0,69.9460,6.359
8/1/2022,03:19:51 am,0,69.9437,6.361
8/1/2022,03:34:51 am,0,69.9381,6.360
8/1/2022,03:49:51 am,0,69.9294,6.361
8/1/2022,04:04:51 am,0,69.9375,6.361
8/1/2022,04:19:51 am,0,69.9320,6.362
8/1/2022,04:34:51 am,0,69.9304,6.362
8/1/2022,04:49:51 am,0,69.9507,6.363
8/1/2022,05:04:51 am,0,69.9658,6.363
8/1/2022,05:19:51 am,0,69.9776,6.363
8/1/2022,05:34:51 am,0,69.9870,6.364
8/1/2022,05:49:51 am,0,70.0013,6.364
8/1/2022,06:04:51 am,0,70.0259,6.364
8/1/2022,06:19:51 am,0,70.0420,6.365
8/1/2022,06:34:51 am,0,70.0645,6.365
8/1/2022,06:49:51 am,0,70.0683,6.365
8/1/2022,07:04:51 am,0,70.0747,6.366
8/1/2022,07:19:51 am,0,70.0892,6.365
8/1/2022,07:34:51 am,0,70.0955,6.367
8/1/2022,07:49:51 am,0,70.0967,6.367
8/1/2022,08:04:51 am,0,70.0994,6.367
8/1/2022,08:19:51 am,0,70.1046,6.368
8/1/2022,08:34:51 am,0,70.1053,6.368
8/1/2022,08:49:51 am,0,70.1224,6.368
8/1/2022,09:04:51 am,0,70.1269,6.369
8/1/2022,09:19:51 am,0,70.1404,6.369
8/1/2022,09:34:51 am,0,70.1380,6.369
8/1/2022,09:49:51 am,0,70.1443,6.369
8/1/2022,10:04:51 am,0,70.1447,6.370
8/1/2022,10:19:51 am,0,70.1483,6.370
8/1/2022,10:34:51 am,0,70.1312,6.371
8/1/2022,10:49:51 am,0,70.1294,6.371
8/1/2022,11:04:51 am,0,70.1100,6.371
8/1/2022,11:19:51 am,0,70.1143,6.372
8/1/2022,11:34:51 am,0,70.1136,6.372
8/1/2022,11:49:51 am,0,70.1011,6.372
8/1/2022,12:04:51 pm,0,70.0853,6.372
8/1/2022,12:19:51 pm,0,70.0787,6.373
8/1/2022,12:34:51 pm,0,70.0617,6.373
8/1/2022,12:49:51 pm,0,70.0432,6.373
8/1/2022,01:04:51 pm,0,70.0244,6.374
8/1/2022,01:19:51 pm,0,70.0162,6.374
