"","Reference","Site_Name","Location","latitude","longitude","Study.Years","CH4_umol.L","CO2_umol.L","Area_ha","Watertemp_c"
"31","Bastviken et al. (2004)","Gransjön","Sweden",57.139606,14.712336,"2000","0.48","na",4.5,"na"
"32","Bastviken et al. (2004)","Grunnen","Sweden",57.155237,14.413261,"2000","0.46","na",48,"na"
"33","Bastviken et al. (2004)","Gyslättasjön","Sweden",57.110059,14.479155,"2000","0.38","na",26.3,"na"
"34","Bastviken et al. (2004)","Klintsjön","Sweden",57.127291,14.700238,"2000","0.31","na",10,"na"
"35","Bastviken et al. (2004)","Skärshultssjön","Sweden",57.16335,14.509792,"2000","0.17","na",29.2,"na"
"36","Casper et al. (2000)","Priest Pot (hypereutrophic)","United Kingdom",54.372256,-2.990409,"1997","1.3","132",1,"16.9"
"37","Fallon et al. (1980)","Lake Mendota","Wisconsin",43.114611,-89.417807,"1977","0.5","na",3937,"na"
"38","Hamilton et al. (1994)","Kinosheo Bog Pond 1","Canada",51.55,-81.81666,"1990","0.46","33.21",2.139,"15.99"
"39","Hamilton et al. (1994)","Kinosheo Bog Pond 2","Canada",51.55,-81.81666,"1990","7","97.83",0.0032,"13.03"
"40","Hamilton et al. (1994)","Kinosheo Bog Pond 3","Canada",51.55,-81.81666,"1990","1.86","48.88",0.0032,"9.75"
"41","Hamilton et al. (1994)","Kinosheo Bog Pond 4","Canada",51.55,-81.81666,"1990","1.57","100.05",0.025,"12.79"
"42","Hamilton et al. (1994)","Kinosheo Bog Pond 5","Canada",51.55,-81.81666,"1990","2.54","112.98",0.025,"9.58"
"43","Hamilton et al. (1994)","Kinosheo Bog Pond 6","Canada",51.55,-81.81666,"1990","7.31","55.92",0.056,"18.04"
"44","Hamilton et al. (1994)","Kinosheo Bog Pond 7","Canada",51.55,-81.81666,"1990","2.42","44.32",0.147,"16.78"
"45","Hamilton et al. (1994)","Kinosheo Bog Pond 8","Canada",51.55,-81.81666,"1990","10.12","133.45",0.01,"16.32"
"46","Hamilton et al. (1994)","Kinosheo Bog Pond 9","Canada",51.55,-81.81666,"1990","2.58","64.11",0.01,"11.64"
"47","Hamilton et al. (1994)","Kinosheo Bog Pond 10","Canada",51.55,-81.81666,"1990","4.6","81.08",4.162,"17.51"
"48","Hamilton et al. (1994)","Coastal Fen Pond 11","Canada",51.4672,-80.6167,"1990","6.8","114.35",0.046,"16.7"
"49","Hamilton et al. (1994)","Coastal Fen Pond 12","Canada",51.4672,-80.6167,"1990","2.95","85.11",0.0295,"15.79"
"50","Hamilton et al. (1994)","Coastal Fen Pond 13","Canada",51.4672,-80.6167,"1990","15.25","263.23",0.032,"15.71"
"51","Hamilton et al. (1994)","Coastal Fen Pond 14","Canada",51.4672,-80.6167,"1990","17.93","309.25",0.053,"16.01"
"52","Hamilton et al. (1994)","Coastal Fen Pond 15","Canada",51.4672,-80.6167,"1990","2.08","137.39",0.045,"15.95"
"53","Hamilton et al. (1994)","Coastal Fen Pond 16","Canada",51.4672,-80.6167,"1990","4.03","103.32",0.045,"15.86"
"54","Hamilton et al. (1994)","Coastal Fen Pond 17","Canada",51.4672,-80.6167,"1990","6.98","189.1",0.06,"17.46"
"55","Hamilton et al. (1994)","Coastal Fen Pond 18","Canada",51.4672,-80.6167,"1990","3.53","155.2",0.07,"14.58"
"56","Hamilton et al. (1994)","Interior Fen Pond 19","Canada",51.5019,-80.8689,"1990","4.55","64.91",0.01,"15.64"
"57","Hamilton et al. (1994)","Interior Fen Pond 20","Canada",51.5019,-80.8689,"1990","4.48","165.55",0.04,"15.28"
"58","Hamilton et al. (1994)","Interior Fen Pond 21","Canada",51.5019,-80.8689,"1990","11.56","363.08",0.05,"15.78"
"59","Hamilton et al. (1994)","Interior Fen Pond 22","Canada",51.5019,-80.8689,"1990","7.06","81.96",0.05,"16.28"
"60","Hamilton et al. (1994)","Interior Fen Pond 23","Canada",51.5019,-80.8689,"1990","9.19","151.78",0.03,"15.55"
"61","Hamilton et al. (1994)","Interior Fen Pond 24","Canada",51.5019,-80.8689,"1990","5.25","166.77",0.03,"15.38"
"62","Holgerson (2015)","Atwood","Connecticut",41.96526,-72.15229,"2013-2014","26.99","350.65",0.0459,"14.6"
"63","Holgerson (2015)","Blacksmith","Connecticut",41.954997,-72.1236,"2013-2014","42.39","553.37",0.0604,"16.56"
"64","Holgerson (2015)","E8","Connecticut",41.9633,-72.14995,"2013-2014","31.48","345.21",0.0604,"14.27"
"65","Holgerson (2015)","Long","Connecticut",41.96688,-72.15088,"2013-2014","25.37","273.33",0.0847,"16.79"
"66","Holgerson (2015)","Quarry","Connecticut",41.943498,-72.12869,"2013-2014","21.02","317.22",0.0298,"15.66"
"67","Holgerson (2015)","Woodpile","Connecticut",41.94238,-72.12899,"2013-2014","58.94","273.74",0.0716,"15.73"
"68","Jonsson et al. (2003)","Lake 1","Sweden",67.657009,21.511019,"2000","na","39",11,"18.9"
"69","Jonsson et al. (2003)","Lake 2","Sweden",67.59908,20.898152,"2000","na","40",2.5,"13.8"
"70","Jonsson et al. (2003)","Lake 3","Sweden",67.571194,21.147969,"2000","na","27",10,"14.1"
"71","Jonsson et al. (2003)","Lake 4","Sweden",68.445049,18.605404,"2000","na","27",11,"16.7"
"72","Jonsson et al. (2003)","Lake 5","Sweden",67.96495,20.460618,"2000","na","20",13,"16.5"
"73","Jonsson et al. (2003)","Lake 6","Sweden",68.169956,19.821416,"2000","na","18",5.2,"17.2"
"74","Jonsson et al. (2003)","Lake 7","Sweden",68.163219,19.896639,"2000","na","28",3.3,"13.1"
"75","Jonsson et al. (2003)","Lake 8","Sweden",68.204363,19.566402,"2000","na","21",3.5,"10.2"
"76","Jonsson et al. (2003)","Lake 9","Sweden",68.192177,19.606953,"2000","na","24",4.3,"10.3"
"77","Jonsson et al. (2003)","Lake 10","Sweden",68.214747,19.653924,"2000","na","23",1.4,"10.2"
"78","Jonsson et al. (2003)","Lake 11","Sweden",68.297881,19.121413,"2000","na","22",1.9,"8.5"
"79","Jonsson et al. (2003)","Lake 12","Sweden",68.293689,19.111492,"2000","na","23",11,"8.2"
"80","Jonsson et al. (2003)","Lake 13","Sweden",68.277991,19.096497,"2000","na","19",17,"7.7"
"81","Jonsson et al. (2003)","Lake 14","Sweden",68.273235,18.692876,"2000","na","25",17,"6.4"
"82","Jonsson et al. (2003)","Lake 15","Sweden",68.206199,18.743664,"2000","na","17",3.8,"5.3"
"83","Jonsson et al. (2003)","Lake 16","Sweden",68.237357,18.825511,"2000","na","20",27,"5.9"
"84","Jonsson et al. (2003)","Lake 17","Sweden",68.173481,19.829008,"2000","na","36.28",1.5,"15.6"
"85","Jonsson et al. (2003)","Lake 18","Sweden",68.16832,19.820333,"2000","na","19.59",0.7,"17"
"86","Jonsson et al. (2003)","Lake 19","Sweden",68.331182,19.15157,"2000","na","20.25",5,"14.8"
"87","Jonsson et al. (2003)","Lake 20","Sweden",68.333353,19.161897,"2000","na","25.61",1.9,"16.2"
"88","Jonsson et al. (2003)","Lake 21","Sweden",68.33855,19.147649,"2000","na","17.85",11.5,"15"
"89","Jonsson et al. (2003)","Lake 22","Sweden",68.333855,19.148077,"2000","na","45.09",0.7,"17"
"90","Jonsson et al. (2003)","Lake 23","Sweden",68.332988,19.146104,"2000","na","35.47",1,"14.1"
"91","Jonsson et al. (2003)","Lake 24","Sweden",68.350642,18.968044,"2000","na","29.54",4.5,"11.8"
"92","Jonsson et al. (2003)","Lake 25","Sweden",68.350976,18.983549,"2000","na","43.85",0.8,"17"
"93","Jonsson et al. (2003)","Lake 26","Sweden",68.438605,18.64381,"2000","na","33.72",1.1,"13.5"
"94","Jonsson et al. (2003)","Lake 27","Sweden",68.441727,18.644933,"2000","na","34.2",0.9,"12.5"
"95","Jonsson et al. (2003)","Lake 28","Sweden",68.442265,18.639633,"2000","na","34.23",0.9,"11.5"
"96","Jonsson et al. (2003)","Lake 29","Sweden",68.445174,18.633164,"2000","na","31.26",2,"11.7"
"97","Jonsson et al. (2003)","Lake 30","Sweden",68.444385,18.628893,"2000","na","30.91",6,"11.4"
"98","Jonsson et al. (2003)","Lake 31","Sweden",68.450973,18.617047,"2000","na","30",2.5,"12.8"
"99","Jonsson et al. (2003)","Lake 32","Sweden",68.449465,18.611734,"2000","na","27.22",0.9,"10.5"
"100","Jonsson et al. (2003)","Lake 33","Sweden",68.4494,18.604893,"2000","na","57.37",1,"11"
"101","Jonsson et al. (2003)","Lake 34","Sweden",68.441961,18.489868,"2000","na","32.91",1.1,"12"
"102","Jonsson et al. (2003)","Lake 35","Sweden",68.444104,18.499442,"2000","na","23.74",12,"11.8"
"103","Jonsson et al. (2003)","Lake 36","Sweden",68.433118,18.418759,"2000","na","25.98",1.2,"12.3"
"104","Jonsson et al. (2003)","Lake 37","Sweden",68.109531,19.814261,"2000","na","24.27",39,"13"
"105","Jonsson et al. (2003)","Lake 38","Sweden",67.788753,21.257059,"2000","na","16.79",9.7,"16.2"
"106","Jonsson et al. (2003)","Lake 39","Sweden",67.843041,20.821395,"2000","na","29.8",4.6,"13.6"
"107","Jonsson et al. (2003)","Lake 40","Sweden",68.17172,19.865092,"2000","na","22.04",6.9,"14.8"
"108","Jonsson et al. (2003)","Lake 41","Sweden",67.582737,21.129283,"2000","na","34.29",9,"12.2"
"109","Jonsson et al. (2003)","Lake 42","Sweden",67.567463,21.992512,"2000","na","25.44",3.9,"14.1"
"110","Jonsson et al. (2003)","Lake 43","Sweden",67.534543,21.290044,"2000","na","37.62",16,"17.9"
"111","Jonsson et al. (2003)","Lake 44","Sweden",68.364564,18.696812,"2000","na","19.45",1.1,"10.6"
"112","Jonsson et al. (2003)","Lake 45","Sweden",67.557439,22.005505,"2000","na","22.95",34,"13.6"
"113","Jonsson et al. (2003)","Lake 46","Sweden",67.465533,21.997726,"2000","na","40.8",16,"14.5"
"114","Jonsson et al. (2003)","Lake 47","Sweden",67.510458,21.797717,"2000","na","46.63",5.2,"13.9"
"115","Jonsson et al. (2003)","Lake 48","Sweden",67.953251,20.033618,"2000","na","24.73",4,"15.4"
"116","Jonsson et al. (2003)","Lake 49","Sweden",67.805099,20.631463,"2000","na","30.41",24,"13.9"
"117","Jonsson et al. (2003)","Lake 50","Sweden",68.334214,18.336462,"2000","na","30.38",6.4,"3"
"118","Jonsson et al. (2003)","Lake 51","Sweden",68.334896,18.300168,"2000","na","18.53",2.8,"4.8"
"119","Kankaala et al. (2013)","Mekkojarvi","Finland",61.2167,25.1333,"2003, 2005","2.6","313",0.35,"14.5"
"120","Kankaala et al. (2013)","Nimeton","Finland",61.2167,25.1667,"2003","1.1","222",0.42,"14.4"
"121","Kankaala et al. (2013)","Alinen Mustajarvi","Finland",61.2,25.1,"2005","2.1","81",0.75,"16.6"
"122","Kankaala et al. (2013)","Tavilampi","Finland",61.217,25.183,"2003","0.7","98",0.82,"16.1"
"123","Kankaala et al. (2013)","Horkkajarvi","Finland",61.217,25.15,"2003","0.9","141",1.15,"16.2"
"124","Kankaala et al. (2013)","Valkea-Kotinen","Finland",61.233,25.067,"2002, 2003","0.4","63",4.15,"17"
"125","Kankaala et al. (2013)","Onkimajarvi","Finland",61.183,25.083,"2003","0.4","72",6.36,"17.6"
"126","Kankaala et al. (2013)","Alinen Rautjarvi","Finland",61.183,25.1,"1997, 1998, 2000","0.09","39",50,"17.2"
"127","Kankaala et al. (2013)","Ekojarvi","Finland",61.2,24.967,"1997, 1998, 2000","0.12","32",74,"16.9"
"128","Kankaala et al. (2013)","Ormajarvi","Finland",61.1,24.967,"2004","0.06","30",653,"16.5"
"129","Kankaala et al. (2013)","Paajarvi","Finland",61.067,25.133,"2004","0.03","44",1340,"15"
"130","Kankaala et al. (2013)","Kuohijarvi","Finland",61.233,24.867,"1997, 1998, 2000","0.01","25",3500,"16.7"
"131","Kling et al. (1991)","Africa (Alaskan tundra)","Alaska",70.333,-148.8,"1988","na","47.67",91.2,"11"
"132","Kling et al. (1991)","Anne (Alaskan tundra)","Alaska",68.733,-148.933,"1988","na","11.55",8.5,"19.5"
"133","Kling et al. (1991)","Bern (Alaskan tundra)","Alaska",70.283,-148.3,"1988","na","25.06",90,"9.5"
"134","Kling et al. (1991)","Camp (Alaskan tundra)","Alaska",68.633,-149.6,"1988","na","3.58",0.2,"20.5"
"135","Kling et al. (1991)","Carolyn (Alaskan tundra)","Alaska",70.35,-148.583,"1988","na","69.15",66.2,"11"
"136","Kling et al. (1991)","Charles (Alaskan tundra)","Alaska",69.183,-148.85,"1988","na","33.14",10.3,"18.8"
"137","Kling et al. (1991)","Coleen (Alaskan tundra)","Alaska",70.217,-148.467,"1988","na","39.48",231,"11"
"138","Kling et al. (1991)","Dam (Alaskan tundra)","Alaska",68.633,-149.6,"1985","na","82.53",0.1,"11"
"139","Kling et al. (1991)","Galbraith (Alaskan tundra)","Alaska",68.467,-149.5,"1988","na","62.22",422,"17.5"
"140","Kling et al. (1991)","George (Alaskan tundra)","Alaska",68.733,-148.967,"1988","na","14.46",7.3,"19"
"141","Kling et al. (1991)","I8 (Alaskan tundra)","Alaska",68.617,-149.583,"1986","na","101.29",17.6,"14"
"142","Kling et al. (1991)","Maxine (Alaskan tundra)","Alaska",70.367,-148.5,"1988","na","31.55",180,"9.8"
"143","Kling et al. (1991)","NE12 (Alaskan tundra)","Alaska",68.65,-149.617,"1988","na","41.45",8.5,"15.5"
"144","Kling et al. (1991)","NE2 (Alaskan tundra)","Alaska",68.633,-149.617,"1986","na","88.37",6.3,"15.5"
"145","Kling et al. (1991)","S3 (Alaskan tundra)","Alaska",68.633,-149.633,"1986","na","51.08",4,"17"
"146","Kling et al. (1991)","Silhouette (Alaskan tundra)","Alaska",70.083,-148.533,"1988","na","75.35",56.8,"13"
"147","Kling et al. (1991)","William (Alaskan tundra)","Alaska",69.583,-148.633,"1988","na","21.56",35.5,"17"
"148","Kling et al. (1991)","Windy (Alaskan tundra)","Alaska",69.967,-148.733,"1988","na","86.29",28.6,"14"
"149","Laurion et al. (2010)","BYL22","Canada",73.15,-79.96667,"2007","0.83","17.3",0.002101,"11.3825"
"150","Laurion et al. (2010)","BYL33","Canada",73.15,-79.96667,"2007","3.25","25.11",0.0025,"12.655"
"151","Laurion et al. (2010)","BYL24","Canada",73.15,-79.96667,"2007","1.9","25.76",0.0048,"13.075"
"152","Laurion et al. (2010)","BYL27","Canada",73.15,-79.96667,"2007","2.72","77.82",0.006,"11.33444444"
"153","Laurion et al. (2010)","BYL38","Canada",73.15,-79.96667,"2007","3.89","116.61",0.0069,"10.64625"
"154","Laurion et al. (2010)","BYL50","Canada",73.15,-79.96667,"2007","0.08","24.28",0.007441,"13.34"
"155","Laurion et al. (2010)","BYL80","Canada",73.15,-79.96667,"2007","1.04","4.85",0.02025,"8.973333333"
"156","Laurion et al. (2010)","BYL44","Canada",73.15,-79.96667,"2007","1.18","7",0.033481,"13.008"
"157","Laurion et al. (2010)","BYL01","Canada",73.15,-79.96667,"2007","0.71","5.09",0.034893,"12.46714286"
"158","Laurion et al. (2010)","BYL36","Canada",73.15,-79.96667,"2007","0.36","17.53",3.1471,"11.5"
"159","Laurion et al. (2010)","BYL66","Canada",73.15,-79.96667,"2007","0.22","16.58",11.6506,"13.95"
"160","Laurion et al. (2010)","BYL37","Canada",73.15,-79.96667,"2007","0.06","23.88",21.0496,"8.8"
"161","Lennon et al. (2006)","Bellamy Reservoir","New Hampshire",43.19301,-70.95402,"2002-2003","na","54.59",154.7,"25.2"
"162","Lennon et al. (2006)","Black Pond","New Hampshire",43.24094,-72.10035,"2002-2003","na","14.93",8.1,"26.1"
"163","Lennon et al. (2006)","Black Pond","Vermont",43.70355,-73.22424,"2002-2003","na","47.71",24.3,"21.2"
"164","Lennon et al. (2006)","Burr Pond","Vermont",43.76522,-73.18395,"2002-2003","na","18.52",34.4,"26.2"
"165","Lennon et al. (2006)","Catamount Pond","New Hampshire",43.16684,-71.38832,"2002-2003","na","76.39",7.3,"18.61"
"166","Lennon et al. (2006)","Cheshire Pond","New Hampshire",42.8209,-72.00997,"2002-2003","na","56.01",23.1,"19.9"
"167","Lennon et al. (2006)","Childs Pond","Vermont",43.81885,-72.19091,"2002-2003","na","64.46",4,"27.6"
"168","Lennon et al. (2006)","Colcord Pond","New Hampshire",42.98571,-70.97057,"2002-2003","na","190.17",3.5,"20.6"
"169","Lennon et al. (2006)","County Line Flow","New York",43.9801,-74.2766,"2002-2003","na","44.66",24.3,"18.2"
"170","Lennon et al. (2006)","Cummins Pond","New Hampshire",43.78386,-72.01045,"2002-2003","na","17.34",55,"22.2"
"171","Lennon et al. (2006)","Damon Reservoir","New Hampshire",42.72762,-72.07768,"2002-2003","na","42.82",9.9,"21.5"
"172","Lennon et al. (2006)","E. Caroga Lake","New York",43.12651,-74.47942,"2002-2003","na","34.6",80.1,"21.4"
"173","Lennon et al. (2006)","Echo Pond","New York",44.30858,-74.35548,"2002-2003","na","9.67",6.5,"20.7"
"174","Lennon et al. (2006)","Goose Pond","New Hampshire",43.69943,-72.0925,"2002-2003","na","15.7",24.2,"26.4"
"175","Lennon et al. (2006)","Gustin Pond","New Hampshire",43.14648,-72.24393,"2002-2003","na","48.93",4.5,"21.8"
"176","Lennon et al. (2006)","Harveys Lake","Vermont",44.29344,-72.13854,"2002-2003","na","24.22",142,"20.5"
"177","Lennon et al. (2006)","Indian Pond","New Hampshire",42.857826,-72.525711,"2002-2003","na","7.15",57.6,"23.8"
"178","Lennon et al. (2006)","Lake Armington","New Hampshire",43.9564,-71.97062,"2002-2003","na","15.18",57.6,"23.2"
"179","Lennon et al. (2006)","Lake Morey ","Vermont",43.92117,-72.155,"2002-2003","na","13.8",221.4,"21.8"
"180","Lennon et al. (2006)","Little Hope Pond","New York",44.51709,-74.12591,"2002-2003","na","31.73",2.8,"19.3"
"181","Lennon et al. (2006)","Long Pond","New Hampshire",43.20232,-71.81429,"2002-2003","na","38.23",36.5,"21.2"
"182","Lennon et al. (2006)","Lower Baker Pond","New Hampshire",43.89496,-71.97572,"2002-2003","na","17.08",38.3,"22.5"
"183","Lennon et al. (2006)","Marshfield Pond","Vermont",44.32548,-72.32954,"2002-2003","na","14.47",27.9,"20.6"
"184","Lennon et al. (2006)","Mill Pond","New Hampshire",43.23385,-72.10115,"2002-2003","na","108.63",7.6,"21"
"185","Lennon et al. (2006)","Mirror Lake","New Hampshire",43.63972,-71.99738,"2002-2003","na","86",9,"20.6"
"186","Lennon et al. (2006)","N. of Hamilton Pond","Maine",44.47567,-69.83889,"2002-2003","na","342.98",20.6,"24"
"187","Lennon et al. (2006)","Peacham Pond","Vermont",44.32952,-72.25856,"2002-2003","na","7.59",137.6,"20"
"188","Lennon et al. (2006)","Phillips Pond","New Hampshire",42.91722,-71.18918,"2002-2003","na","54.99",34.5,"23.8"
"189","Lennon et al. (2006)","Piscassic Ice Pond","New Hampshire",43.0327,-70.96939,"2002-2003","na","58.29",4.2,"26.2"
"190","Lennon et al. (2006)","Powwow Pond","New Hampshire",42.91665,-71.03763,"2002-2003","na","59",99.8,"21.3"
"191","Lennon et al. (2006)","Purgatory Pond","New Hampshire",43.06801,-71.53478,"2002-2003","na","106.6",7.5,"22.9"
"192","Lennon et al. (2006)","Reservoir Pond","New Hampshire",43.7856,-72.0423,"2002-2003","na","13.48",44.9,"22.4"
"193","Lennon et al. (2006)","Sportsman Pond","New Hampshire",42.72792,-72.16826,"2002-2003","na","66.3",55.6,"21.4"
"194","Lennon et al. (2006)","Spruce Pond","New Hampshire",43.11221,-71.3331,"2002-2003","na","66.42",9.4,"21.1"
"195","Lennon et al. (2006)","Storrs Pond","New Hampshire",43.72686,-72.26321,"2002-2003","na","30.02",6.5,"24.1"
"196","Lennon et al. (2006)","Wadley's Pond","Maine",43.53474,-70.64081,"2002-2003","na","48.74",82.2,"20.3"
"197","Lennon et al. (2006)","White Pond","New Hampshire",43.12303,-72.03368,"2002-2003","na","14.9",14.7,"26.9"
"198","Miyajima et al. (1997)","Lake Biwa","Japan",35.32566,136.1421,"1993","0.07","na",67400,"23.5"
"199","Natchimuthu et al. (2014)","Linkoping University- small shallow pond","Sweden",58.3936,14.4789,"2010","1.3","na",0.12,"23"
"200","Pelletier et al. (2014)","Pool 1","Canada",49.133,-68.296,"2011, 2012","1.66","45.8",0.0499,"17"
"201","Pelletier et al. (2014)","Pool 2","Canada",49.133,-68.296,"2011, 2012","1.27","82.43",0.0128,"17"
"202","Pelletier et al. (2014)","Pool 3","Canada",49.133,-68.296,"2011, 2012","6.74","55.79",0.0766,"17"
"203","Pelletier et al. (2014)","Pool 4","Canada",49.133,-68.296,"2011, 2012","1.22","43.3",0.2563,"17"
"204","Pelletier et al. (2014)","Pool 5","Canada",49.133,-68.296,"2011, 2012","0.52","41.63",0.1866,"17"
"205","Repo et al. (2007)","MTLake","Siberia",60.983,70.167,"2005","0.28","51",23,"18.8"
"206","Repo et al. (2007)","MTPond","Siberia",60.983,70.167,"2005","2.6","92",0.5,"18.8"
"207","Repo et al. (2007)","FTLake","Siberia",65.867,74.967,"2005","0.29","60",7,"18.8"
"208","Riera et al. (1999)","Crystal Bog","Wisconsin",46,-89.6167,"1994","10.23","79.61",0.54,"8.87"
"209","Riera et al. (1999)","Trout Bog","Wisconsin",46,-89.6167,"1994","3.89","142.22",1.09,"11.52"
"210","Riera et al. (1999)","Crystal Lake; clearwater lake","Wisconsin",46,-89.6167,"1994","na","24.31",36.65,"10.84"
"211","Riera et al. (1999)","Sparkling Lake; clearwater lake","Wisconsin",46,-89.6167,"1994","na","31.43",63.87,"10.41"
"212","Schulz et al. (2001)","Constance","Germany",47.623259,9.413447,"1994, 1995","0.01","na",54000,"na"
"213","Smith and Lewis (1992)","Dillon","Colorado",39.608108,-106.057387,"1989-1990","0.74","na",1300,"12.7"
"214","Smith and Lewis (1992)","Red Rock","Colorado",40.080605,-105.541786,"1989-1990","1.6","na",2.1,"9.9"
"215","Smith and Lewis (1992)","Rainbow","Colorado",40.029529,-105.583796,"1989-1990","1.02","na",1,"10.4"
"216","Smith and Lewis (1992)","Long","Colorado",40.072341,-105.592712,"1989-1990","0.1","na",16,"9.3"
"217","Smith and Lewis (1992)","Pass","Colorado",39.654736,-105.878807,"1989-1990","0.65","na",1.6,"6.6"
"218","Striegl and Michmerhuizen (1998)","Williams Lake","Minnesota",46.95,-94.5,"1992-1993","2.93","50.27",37.09,"12"
"219","Striegl and Michmerhuizen (1998)","Shingobee Lake","Minnesota",47,-94.6833,"1992-1993","2.9","66.85",65.51,"11"
"220","Utsumi et al. (1998a)","Lake Kasumigaura","Japan",36.0333,140.4,"1991-1996","0.3","na",16800,"na"
"221","Shirokova et al. (2013)","N1","Siberia",63.224317,75.72735,"2010","0.281","132.515",0.02,"9.7"
"222","Shirokova et al. (2013)","N2","Siberia",63.2227,75.736033,"2010","1.322","259.112",0.0008,"9.9"
"223","Shirokova et al. (2013)","N3","Siberia",63.220933,75.74155,"2010","2.94","57.122",0.03,"9.8"
"224","Shirokova et al. (2013)","N4","Siberia",63.221017,75.73195,"2010","4.09","190.578",0.001,"10.2"
"225","Shirokova et al. (2013)","N5","Siberia",63.019117,75.217533,"2010","0.102","41.296",0.07,"12"
"226","Shirokova et al. (2013)","N6","Siberia",63.019533,75.21605,"2010","0.18","46.763",0.15,"14.1"
"227","Shirokova et al. (2013)","N7","Siberia",63.020067,75.214017,"2010","0.239","40.219",1,"13.2"
"228","Shirokova et al. (2013)","N8","Siberia",63.022517,75.2071,"2010","0.21","40.012",3,"14.7"
"229","Shirokova et al. (2013)","N13","Siberia",63.764767,77.4659,"2010","0.476","36.693",0.015,"17.2"
"230","Shirokova et al. (2013)","N14","Siberia",63.7652,77.465967,"2010","1.678","234.665",0.00025,"16.1"
"231","Shirokova et al. (2013)","N15","Siberia",63.7658,77.4664,"2010","0.094","44.518",0.7,"17.7"
"232","Shirokova et al. (2013)","N16","Siberia",63.766733,77.467283,"2010","0.18","41.446",1,"17.7"
"233","Shirokova et al. (2013)","N17","Siberia",63.767533,77.4754,"2010","0.143","50.165",35,"17.2"
"234","Shirokova et al. (2013)","N18","Siberia",63.7661,77.471633,"2010","0.857","43.85",0.03,"15.8"
"235","Shirokova et al. (2013)","N23","Siberia",63.2257,75.725683,"2010","0.743","67.175",0.3,"10.4"
