"","Site","Date","n","pCO2_w_uatm_sd","pCO2_w_uatm","pCO2_ppm","Watertemp_c","AirPress_kpa","pCO2_air_ppm","pCO2_air_uatm","KH_CO2_mol.L.atm","CO2_umol.L","CO2_sat_precent"
"18","S2","2022-07-25",3,21.0597084833823,280.140405983321,457.698790110341,7.1794,61.90392,418.53,255.761575889437,0.0591589933379447,16.5728244112564,109.531857945864
"19","S3","2022-07-07",3,6.60364654699957,247.168286725025,405.363342947803,4.2688,61.66913,418.53,254.791520028628,0.0647188153332527,15.9964387047933,97.0080506200731
"20","S3","2022-07-14",3,31.102827625701,350.263091124701,572.230035755248,6.0436,61.90788,418.53,255.777936983218,0.0612557339742013,21.4556227309161,136.940306601848
"21","S3","2022-07-25",3,26.4476409849868,478.38620941384,782.727859927659,6.8564,61.81431,418.53,255.391344168806,0.059746136795061,28.58172790851,187.31496596754
"22","S4","2022-06-29",2,54.923154983392,580.273313057062,943.744826424329,6.3494,62.18753,418.53,256.933335941757,0.0606823197707525,35.2123307373626,225.845864231725
"23","S4","2022-07-15",3,35.3986896125707,589.302015793447,953.760542546388,7.5214,62.4924,418.53,258.192933583416,0.058545050427692,34.5007162317679,228.240954395856
"24","S4","2022-07-22",3,51.3086383753256,423.199481739312,685.794630810156,5.9416,62.41354,418.53,257.867116448174,0.061448481281129,26.0049654318416,164.11533489357
"25","S4","2022-10-16",1,NA,967.990252007768,1571.96841301045,8.248667,62.2807,418.53,257.318276120434,0.0572654184748623,55.4323668608123,376.184026491268
"26","S5","2022-06-30",2,5.47097001444217,411.889822246689,668.515368938672,7.0788,62.31554,418.53,257.462220692991,0.0593410959385066,24.4419934580352,159.980684209915
"27","S5","2022-07-11",2,11.1037309954679,404.943295075491,653.458211742557,6.2272,62.67683,418.53,258.954922605133,0.0609106632500426,24.6653646817059,156.375978877593
"28","S5","2022-07-19",3,21.9367683083816,374.568579736996,605.161021314273,5.5728,62.60229,418.53,258.646953935834,0.0621516623769081,23.2800599048118,144.818477092879
"29","S5","2022-10-15",2,2.72576867946138,265.689780609444,429.600040327875,7.949167,62.5518,418.53,258.438349990128,0.0577881680047893,15.3537256790141,102.805864771847
"30","S6","2022-07-11",1,NA,251.743552549423,405.54065220198,8.4016,62.78498,418.53,259.401753992103,0.0570007396076419,14.3495686867724,97.0477449266156
"31","S6","2022-07-19",1,NA,418.296562316083,674.233961931843,6.166,62.74875,418.53,259.252066510365,0.0610254199381921,25.5267233740412,161.347436086632
"32","S6","2022-07-22",1,NA,421.047513633393,679.386221630878,6.37,62.68232,418.53,258.977605030602,0.060643930535567,25.5339761689567,162.580665453154
"33","S6","2022-10-15",1,NA,539.642242108017,874.050208002087,7.582,62.445,418.53,257.997096248766,0.05843708537215,31.5351197724847,209.166013863847
"34","S7","2022-06-30",3,267.516885600821,541.919143670592,875.85285164184,6.7146,62.57962,418.53,258.553290805528,0.0600061675682926,32.5184909435632,209.596691646133
"35","S7","2022-07-11",3,20.4916139849108,226.146098154687,364.422474475579,6.451,62.76471,418.53,259.318006676209,0.060493272612747,13.6803175659805,87.2080196255166
"36","S7","2022-07-19",3,20.7347771171754,428.062025930155,689.963946910277,5.5318,62.74971,418.53,259.25603283613,0.0622304470721585,26.6384912482474,165.111693350921
"37","S7","2022-10-15",2,0.818650826451661,378.017407467593,611.615713661764,7.848667,62.5118,418.53,258.273086416584,0.0579649001965525,21.9117412964186,146.363453007204
"38","S8","2022-06-28",3,43.3784994059772,648.97334653086,1047.97526727036,6.9982,62.6334,418.53,258.775487680158,0.0594874943652564,38.6057982949561,250.786251954814
"39","S8","2022-07-19",2,27.1570301116627,405.518852627729,652.55152661627,6.8972,62.8534,418.53,259.68443733465,0.0596715759350661,24.1979490076764,156.158319223861
"40","S8","2022-07-27",3,97.1382698348464,675.932870937823,1087.30099546186,8.6206,62.87624,418.53,259.778802835143,0.0566243442030978,38.2742555421714,260.195544656033
"41","Wetland","2022-07-06",3,18.866217709783,1044.44698757727,1684.55537660533,6.0454,62.70932,418.53,259.089157942744,0.0612523392480718,63.9748212097096,403.122614574278
"42","Wetland","2022-07-22",3,387.694731338163,1210.91171153685,1947.67656756553,6.1658,62.88231,418.53,259.803881582428,0.0610257953967719,73.8968503518025,466.086843722794
"43","Wetland","2022-07-27",3,27.7191727768938,1320.419976613,2121.00717174639,7.2852,62.96565,418.53,260.148208237907,0.0589682210332409,77.8628170376222,507.564509306737
"44","Wetland","2022-10-16",1,NA,1673.0053062085,2709.93584602751,7.589333,62.4405,418.53,257.978504096742,0.058424037556832,97.7437248427048,648.505700917284
