"Plot Title: Injection_DO_x30m_2022-07-15"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21223042, SEN S/N: 21223042)","Temp, °C (LGR S/N: 21223042, SEN S/N: 21223042)","Sensor Data Error (LGR S/N: 21223042)","Coupler Attached (LGR S/N: 21223042)","Host Connected (LGR S/N: 21223042)","Stopped (LGR S/N: 21223042)","End Of File (LGR S/N: 21223042)"
212,07/16/22 04:25:00 AM,7.62,5.36,,,,,
213,07/16/22 04:30:00 AM,7.61,5.34,,,,,
214,07/16/22 04:35:00 AM,7.62,5.34,,,,,
215,07/16/22 04:40:00 AM,7.62,5.32,,,,,
216,07/16/22 04:45:00 AM,7.62,5.32,,,,,
217,07/16/22 04:50:00 AM,7.63,5.30,,,,,
218,07/16/22 04:55:00 AM,7.63,5.30,,,,,
219,07/16/22 05:00:00 AM,7.63,5.30,,,,,
220,07/16/22 05:05:00 AM,7.63,5.28,,,,,
221,07/16/22 05:10:00 AM,7.64,5.28,,,,,
222,07/16/22 05:15:00 AM,7.64,5.26,,,,,
223,07/16/22 05:20:00 AM,7.64,5.26,,,,,
224,07/16/22 05:25:00 AM,7.64,5.24,,,,,
225,07/16/22 05:30:00 AM,7.64,5.24,,,,,
226,07/16/22 05:35:00 AM,7.64,5.24,,,,,
227,07/16/22 05:40:00 AM,7.65,5.24,,,,,
228,07/16/22 05:45:00 AM,7.65,5.24,,,,,
229,07/16/22 05:50:00 AM,7.64,5.26,,,,,
230,07/16/22 05:55:00 AM,7.64,5.28,,,,,
231,07/16/22 06:00:00 AM,7.65,5.28,,,,,
232,07/16/22 06:05:00 AM,7.64,5.30,,,,,
233,07/16/22 06:10:00 AM,7.64,5.32,,,,,
234,07/16/22 06:15:00 AM,7.64,5.32,,,,,
235,07/16/22 06:20:00 AM,7.63,5.34,,,,,
236,07/16/22 06:25:00 AM,7.63,5.34,,,,,
237,07/16/22 06:30:00 AM,7.63,5.34,,,,,
238,07/16/22 06:35:00 AM,7.64,5.32,,,,,
239,07/16/22 06:40:00 AM,7.64,5.32,,,,,
240,07/16/22 06:45:00 AM,7.64,5.32,,,,,
241,07/16/22 06:50:00 AM,7.64,5.32,,,,,
242,07/16/22 06:55:00 AM,7.65,5.32,,,,,
243,07/16/22 07:00:00 AM,7.64,5.32,,,,,
244,07/16/22 07:05:00 AM,7.65,5.32,,,,,
245,07/16/22 07:10:00 AM,7.64,5.34,,,,,
246,07/16/22 07:15:00 AM,7.65,5.34,,,,,
247,07/16/22 07:20:00 AM,7.65,5.36,,,,,
248,07/16/22 07:25:00 AM,7.65,5.38,,,,,
249,07/16/22 07:30:00 AM,7.65,5.40,,,,,
250,07/16/22 07:35:00 AM,7.65,5.42,,,,,
251,07/16/22 07:40:00 AM,7.64,5.44,,,,,
252,07/16/22 07:45:00 AM,7.64,5.46,,,,,
253,07/16/22 07:50:00 AM,7.63,5.50,,,,,
254,07/16/22 07:55:00 AM,7.63,5.52,,,,,
255,07/16/22 08:00:00 AM,7.63,5.54,,,,,
256,07/16/22 08:05:00 AM,7.63,5.58,,,,,
257,07/16/22 08:10:00 AM,7.62,5.60,,,,,
258,07/16/22 08:15:00 AM,7.62,5.62,,,,,
259,07/16/22 08:20:00 AM,7.61,5.64,,,,,
260,07/16/22 08:25:00 AM,7.61,5.64,,,,,
261,07/16/22 08:30:00 AM,7.61,5.64,,,,,
262,07/16/22 08:35:00 AM,7.61,5.64,,,,,
263,07/16/22 08:40:00 AM,7.60,5.66,,,,,
264,07/16/22 08:45:00 AM,7.60,5.66,,,,,
265,07/16/22 08:50:00 AM,7.61,5.68,,,,,
266,07/16/22 08:55:00 AM,7.60,5.70,,,,,
267,07/16/22 09:00:00 AM,7.60,5.72,,,,,
268,07/16/22 09:05:00 AM,7.59,5.76,,,,,
269,07/16/22 09:10:00 AM,7.59,5.78,,,,,
270,07/16/22 09:15:00 AM,7.59,5.80,,,,,
271,07/16/22 09:20:00 AM,7.58,5.82,,,,,
272,07/16/22 09:25:00 AM,7.59,5.84,,,,,
273,07/16/22 09:30:00 AM,7.59,5.86,,,,,
274,07/16/22 09:35:00 AM,7.58,5.88,,,,,
275,07/16/22 09:40:00 AM,7.58,5.90,,,,,
276,07/16/22 09:45:00 AM,7.58,5.92,,,,,
277,07/16/22 09:50:00 AM,7.58,5.96,,,,,
278,07/16/22 09:55:00 AM,7.57,6.00,,,,,
279,07/16/22 10:00:00 AM,7.57,6.04,,,,,
280,07/16/22 10:05:00 AM,7.56,6.08,,,,,
281,07/16/22 10:10:00 AM,7.56,6.14,,,,,
282,07/16/22 10:15:00 AM,7.54,6.20,,,,,
283,07/16/22 10:20:00 AM,7.53,6.26,,,,,
284,07/16/22 10:25:00 AM,7.53,6.32,,,,,
285,07/16/22 10:30:00 AM,7.52,6.40,,,,,
286,07/16/22 10:35:00 AM,7.50,6.54,,,,,
287,07/16/22 10:40:00 AM,7.48,6.70,,,,,
288,07/16/22 10:45:00 AM,7.44,6.88,,,,,
289,07/16/22 10:50:00 AM,7.42,7.06,,,,,
290,07/16/22 10:55:00 AM,7.39,7.24,,,,,
291,07/16/22 11:00:00 AM,7.35,7.46,,,,,
292,07/16/22 11:05:00 AM,7.31,7.68,,,,,
293,07/16/22 11:10:00 AM,7.26,7.82,,,,,
294,07/16/22 11:15:00 AM,7.24,7.90,,,,,
295,07/16/22 11:20:00 AM,7.22,7.92,,,,,
296,07/16/22 11:25:00 AM,7.22,7.90,,,,,
297,07/16/22 11:30:00 AM,7.23,7.88,,,,,
298,07/16/22 11:35:00 AM,7.23,7.90,,,,,
299,07/16/22 11:40:00 AM,7.23,7.96,,,,,
300,07/16/22 11:45:00 AM,7.22,8.06,,,,,
301,07/16/22 11:50:00 AM,7.19,8.20,,,,,
302,07/16/22 11:55:00 AM,7.17,8.36,,,,,
303,07/16/22 12:00:00 PM,7.15,8.50,,,,,
304,07/16/22 12:05:00 PM,7.13,8.70,,,,,
305,07/16/22 12:10:00 PM,7.10,8.94,,,,,
306,07/16/22 12:15:00 PM,7.04,9.18,,,,,
307,07/16/22 12:20:00 PM,7.00,9.38,,,,,
308,07/16/22 12:25:00 PM,6.96,9.54,,,,,
309,07/16/22 12:30:00 PM,6.93,9.66,,,,,
310,07/16/22 12:35:00 PM,6.91,9.72,,,,,
311,07/16/22 12:40:00 PM,6.91,9.74,,,,,
312,07/16/22 12:45:00 PM,6.91,9.76,,,,,
313,07/16/22 12:50:00 PM,6.90,9.86,,,,,
314,07/16/22 12:55:00 PM,6.88,9.98,,,,,
315,07/16/22 01:00:00 PM,6.84,10.08,,,,,
316,07/16/22 01:05:00 PM,6.84,10.14,,,,,
317,07/16/22 01:10:00 PM,6.83,10.20,,,,,
318,07/16/22 01:15:00 PM,6.80,10.26,,,,,
319,07/16/22 01:20:00 PM,6.79,10.28,,,,,
320,07/16/22 01:25:00 PM,6.79,10.26,,,,,
321,07/16/22 01:30:00 PM,6.79,10.22,,,,,
322,07/16/22 01:35:00 PM,6.79,10.18,,,,,
323,07/16/22 01:40:00 PM,6.80,10.12,,,,,
324,07/16/22 01:45:00 PM,6.82,10.06,,,,,
325,07/16/22 01:50:00 PM,6.83,10.02,,,,,
326,07/16/22 01:55:00 PM,6.83,10.00,,,,,
327,07/16/22 02:00:00 PM,6.82,9.98,,,,,
328,07/16/22 02:05:00 PM,6.83,9.96,,,,,
329,07/16/22 02:10:00 PM,6.83,9.94,,,,,
330,07/16/22 02:15:00 PM,6.84,9.92,,,,,
331,07/16/22 02:20:00 PM,6.84,9.94,,,,,
332,07/16/22 02:25:00 PM,6.83,9.98,,,,,
333,07/16/22 02:30:00 PM,6.81,10.00,,,,,
334,07/16/22 02:35:00 PM,6.81,9.98,,,,,
335,07/16/22 02:40:00 PM,6.83,9.96,,,,,
336,07/16/22 02:45:00 PM,6.82,9.98,,,,,
337,07/16/22 02:50:00 PM,6.81,10.04,,,,,
338,07/16/22 02:55:00 PM,6.80,10.12,,,,,
339,07/16/22 03:00:00 PM,6.79,10.18,,,,,
340,07/16/22 03:05:00 PM,6.78,10.22,,,,,
341,07/16/22 03:10:00 PM,6.78,10.26,,,,,
342,07/16/22 03:15:00 PM,6.78,10.30,,,,,
343,07/16/22 03:20:00 PM,6.76,10.32,,,,,
344,07/16/22 03:25:00 PM,6.76,10.36,,,,,
345,07/16/22 03:30:00 PM,6.76,10.40,,,,,
346,07/16/22 03:35:00 PM,6.75,10.42,,,,,
347,07/16/22 03:40:00 PM,6.74,10.42,,,,,
348,07/16/22 03:45:00 PM,6.74,10.38,,,,,
349,07/16/22 03:50:00 PM,6.75,10.32,,,,,
350,07/16/22 03:55:00 PM,6.76,10.26,,,,,
351,07/16/22 04:00:00 PM,6.77,10.22,,,,,
352,07/16/22 04:05:00 PM,6.77,10.20,,,,,
353,07/16/22 04:10:00 PM,6.78,10.20,,,,,
354,07/16/22 04:15:00 PM,6.77,10.16,,,,,
355,07/16/22 04:20:00 PM,6.78,10.14,,,,,
356,07/16/22 04:25:00 PM,6.78,10.08,,,,,
357,07/16/22 04:30:00 PM,6.79,10.04,,,,,
358,07/16/22 04:35:00 PM,6.79,9.98,,,,,
359,07/16/22 04:40:00 PM,6.80,9.90,,,,,
360,07/16/22 04:45:00 PM,6.81,9.84,,,,,
361,07/16/22 04:50:00 PM,6.82,9.76,,,,,
362,07/16/22 04:55:00 PM,6.83,9.68,,,,,
363,07/16/22 05:00:00 PM,6.84,9.62,,,,,
364,07/16/22 05:05:00 PM,6.86,9.54,,,,,
365,07/16/22 05:10:00 PM,6.87,9.48,,,,,
366,07/16/22 05:15:00 PM,6.87,9.42,,,,,
367,07/16/22 05:20:00 PM,6.89,9.36,,,,,
368,07/16/22 05:25:00 PM,6.89,9.32,,,,,
369,07/16/22 05:30:00 PM,6.90,9.26,,,,,
370,07/16/22 05:35:00 PM,6.91,9.20,,,,,
371,07/16/22 05:40:00 PM,6.91,9.16,,,,,
372,07/16/22 05:45:00 PM,6.92,9.10,,,,,
373,07/16/22 05:50:00 PM,6.93,9.04,,,,,
374,07/16/22 05:55:00 PM,6.94,8.98,,,,,
375,07/16/22 06:00:00 PM,6.94,8.92,,,,,
376,07/16/22 06:05:00 PM,6.95,8.86,,,,,
377,07/16/22 06:10:00 PM,6.97,8.80,,,,,
378,07/16/22 06:15:00 PM,6.97,8.76,,,,,
379,07/16/22 06:20:00 PM,6.98,8.70,,,,,
380,07/16/22 06:25:00 PM,6.99,8.64,,,,,
381,07/16/22 06:30:00 PM,7.00,8.58,,,,,
382,07/16/22 06:35:00 PM,7.01,8.52,,,,,
383,07/16/22 06:40:00 PM,7.02,8.46,,,,,
384,07/16/22 06:45:00 PM,7.03,8.42,,,,,
385,07/16/22 06:50:00 PM,7.04,8.36,,,,,
386,07/16/22 06:55:00 PM,7.05,8.30,,,,,
387,07/16/22 07:00:00 PM,7.05,8.24,,,,,
388,07/16/22 07:05:00 PM,7.08,8.18,,,,,
389,07/16/22 07:10:00 PM,7.09,8.12,,,,,
390,07/16/22 07:15:00 PM,7.10,8.06,,,,,
391,07/16/22 07:20:00 PM,7.11,8.02,,,,,
392,07/16/22 07:25:00 PM,7.11,7.98,,,,,
393,07/16/22 07:30:00 PM,7.12,7.94,,,,,
394,07/16/22 07:35:00 PM,7.13,7.92,,,,,
395,07/16/22 07:40:00 PM,7.13,7.90,,,,,
396,07/16/22 07:45:00 PM,7.14,7.88,,,,,
397,07/16/22 07:50:00 PM,7.13,7.86,,,,,
398,07/16/22 07:55:00 PM,7.14,7.84,,,,,
399,07/16/22 08:00:00 PM,7.14,7.82,,,,,
400,07/16/22 08:05:00 PM,7.15,7.80,,,,,
401,07/16/22 08:10:00 PM,7.15,7.78,,,,,
402,07/16/22 08:15:00 PM,7.15,7.76,,,,,
403,07/16/22 08:20:00 PM,7.16,7.74,,,,,
404,07/16/22 08:25:00 PM,7.16,7.72,,,,,
405,07/16/22 08:30:00 PM,7.16,7.70,,,,,
406,07/16/22 08:35:00 PM,7.17,7.68,,,,,
407,07/16/22 08:40:00 PM,7.17,7.66,,,,,
408,07/16/22 08:45:00 PM,7.17,7.64,,,,,
409,07/16/22 08:50:00 PM,7.18,7.60,,,,,
410,07/16/22 08:55:00 PM,7.18,7.58,,,,,
411,07/16/22 09:00:00 PM,7.19,7.54,,,,,
412,07/16/22 09:05:00 PM,7.19,7.50,,,,,
413,07/16/22 09:10:00 PM,7.20,7.46,,,,,
414,07/16/22 09:15:00 PM,7.21,7.42,,,,,
415,07/16/22 09:20:00 PM,7.22,7.36,,,,,
416,07/16/22 09:25:00 PM,7.23,7.32,,,,,
417,07/16/22 09:30:00 PM,7.23,7.28,,,,,
418,07/16/22 09:35:00 PM,7.24,7.22,,,,,
419,07/16/22 09:40:00 PM,7.25,7.18,,,,,
420,07/16/22 09:45:00 PM,7.26,7.14,,,,,
421,07/16/22 09:50:00 PM,7.27,7.10,,,,,
422,07/16/22 09:55:00 PM,7.27,7.06,,,,,
423,07/16/22 10:00:00 PM,7.28,7.02,,,,,
424,07/16/22 10:05:00 PM,7.30,7.00,,,,,
425,07/16/22 10:10:00 PM,7.30,6.96,,,,,
426,07/16/22 10:15:00 PM,7.31,6.94,,,,,
427,07/16/22 10:20:00 PM,7.31,6.90,,,,,
428,07/16/22 10:25:00 PM,7.32,6.88,,,,,
429,07/16/22 10:30:00 PM,7.32,6.86,,,,,
430,07/16/22 10:35:00 PM,7.33,6.82,,,,,
431,07/16/22 10:40:00 PM,7.33,6.78,,,,,
432,07/16/22 10:45:00 PM,7.34,6.74,,,,,
433,07/16/22 10:50:00 PM,7.35,6.70,,,,,
434,07/16/22 10:55:00 PM,7.35,6.66,,,,,
435,07/16/22 11:00:00 PM,7.36,6.64,,,,,
436,07/16/22 11:05:00 PM,7.36,6.62,,,,,
437,07/16/22 11:10:00 PM,7.37,6.58,,,,,
438,07/16/22 11:15:00 PM,7.38,6.56,,,,,
439,07/16/22 11:20:00 PM,7.38,6.54,,,,,
440,07/16/22 11:25:00 PM,7.38,6.54,,,,,
441,07/16/22 11:30:00 PM,7.39,6.52,,,,,
442,07/16/22 11:35:00 PM,7.39,6.52,,,,,
443,07/16/22 11:40:00 PM,7.39,6.52,,,,,
444,07/16/22 11:45:00 PM,7.39,6.50,,,,,
445,07/16/22 11:50:00 PM,7.39,6.50,,,,,
446,07/16/22 11:55:00 PM,7.39,6.48,,,,,
447,07/17/22 12:00:00 AM,7.40,6.48,,,,,
448,07/17/22 12:05:00 AM,7.40,6.46,,,,,
449,07/17/22 12:10:00 AM,7.40,6.44,,,,,
450,07/17/22 12:15:00 AM,7.40,6.42,,,,,
451,07/17/22 12:20:00 AM,7.41,6.40,,,,,
452,07/17/22 12:25:00 AM,7.41,6.38,,,,,
