Fecha,Valor
2022-09-14 0:00:00,5.8
2022-09-15 0:00:00,1.1
2022-09-16 0:00:00,6.1
2022-09-17 0:00:00,2
2022-09-18 0:00:00,2.1
2022-09-19 0:00:00,0
2022-09-20 0:00:00,0.5
2022-09-21 0:00:00,0.2
2022-09-22 0:00:00,0
2022-09-23 0:00:00,2
2022-09-24 0:00:00,1.4
2022-09-25 0:00:00,0.4
2022-09-26 0:00:00,0.9
2022-09-27 0:00:00,0.6
2022-09-28 0:00:00,0.1
2022-09-29 0:00:00,0.3
2022-09-30 0:00:00,4.3
2022-10-01 0:00:00,1.9
2022-10-02 0:00:00,0.9
2022-10-03 0:00:00,0.1
2022-10-04 0:00:00,0.1
2022-10-05 0:00:00,0.4
2022-10-06 0:00:00,10.1
2022-10-07 0:00:00,5.5
2022-10-08 0:00:00,2.5
2022-10-09 0:00:00,2.3
2022-10-10 0:00:00,0.6
2022-10-11 0:00:00,1
2022-10-12 0:00:00,0.2
2022-10-13 0:00:00,0
2022-10-14 0:00:00,18.8
2022-10-15 0:00:00,10.5
2022-10-16 0:00:00,0.1
2022-10-17 0:00:00,0.2
2022-10-18 0:00:00,0.8
2022-10-19 0:00:00,27
2022-10-20 0:00:00,0.9
2022-10-21 0:00:00,0.8
2022-10-22 0:00:00,0.7
2022-10-23 0:00:00,4.8
2022-10-24 0:00:00,5.8
2022-10-25 0:00:00,1.7
2022-10-26 0:00:00,0
2022-10-27 0:00:00,10.6
2022-10-28 0:00:00,0
2022-10-29 0:00:00,0
2022-10-30 0:00:00,0
2022-10-31 0:00:00,0
2022-11-01 0:00:00,0
2022-11-02 0:00:00,2.4
2022-11-03 0:00:00,0
2022-11-04 0:00:00,0.7
2022-11-05 0:00:00,1.3
2022-11-06 0:00:00,0
2022-11-07 0:00:00,0
2022-11-08 0:00:00,1.6
2022-11-09 0:00:00,0
2022-11-10 0:00:00,0.6
2022-11-11 0:00:00,2.5
2022-11-12 0:00:00,6.9
2022-11-13 0:00:00,0.8
2022-11-14 0:00:00,1.1
2022-11-15 0:00:00,11.7
2022-11-16 0:00:00,16.2
2022-11-17 0:00:00,0.3
2022-11-18 0:00:00,0
2022-11-19 0:00:00,0.1
2022-11-20 0:00:00,30.1
2022-11-21 0:00:00,4
2022-11-22 0:00:00,0.1
2022-11-23 0:00:00,0
2022-11-24 0:00:00,1.4
2022-11-25 0:00:00,0.8
2022-11-26 0:00:00,0.3
2022-11-27 0:00:00,14.6
2022-11-28 0:00:00,2.6
2022-11-29 0:00:00,0
2022-11-30 0:00:00,0
2022-12-01 0:00:00,0.1
2022-12-02 0:00:00,1.4
2022-12-03 0:00:00,1.4
2022-12-04 0:00:00,5.9
2022-12-05 0:00:00,1.5
2022-12-06 0:00:00,0.6
2022-12-07 0:00:00,2.3
2022-12-08 0:00:00,0.1
2022-12-09 0:00:00,2.2
2022-12-10 0:00:00,1.4
2022-12-11 0:00:00,1.2
2022-12-12 0:00:00,0
2022-12-13 0:00:00,2.2
2022-12-14 0:00:00,34.2
2022-12-15 0:00:00,11.4
2022-12-16 0:00:00,1.1
2022-12-17 0:00:00,3.2
2022-12-18 0:00:00,0
2022-12-19 0:00:00,0
2022-12-20 0:00:00,0
2022-12-21 0:00:00,0
2022-12-22 0:00:00,0
2022-12-23 0:00:00,0
2022-12-24 0:00:00,0.1
2022-12-25 0:00:00,7.9
2022-12-26 0:00:00,3.7
2022-12-27 0:00:00,0
2022-12-28 0:00:00,0
2022-12-29 0:00:00,0
2022-12-30 0:00:00,1.8
2022-12-31 0:00:00,1.7
2023-01-01 0:00:00,10
2023-01-02 0:00:00,6.2
2023-01-03 0:00:00,0.2
2023-01-04 0:00:00,0.4
2023-01-05 0:00:00,1.4
2023-01-06 0:00:00,7.8
2023-01-07 0:00:00,0.9
2023-01-08 0:00:00,0.1
2023-01-09 0:00:00,2.8
2023-01-10 0:00:00,14.7
2023-01-11 0:00:00,19.3
2023-01-12 0:00:00,2.5
2023-01-13 0:00:00,0
2023-01-14 0:00:00,13.4
2023-01-15 0:00:00,0
2023-01-16 0:00:00,0.1
2023-01-17 0:00:00,0
2023-01-18 0:00:00,2.6
2023-01-19 0:00:00,7.2
2023-01-20 0:00:00,2.8
2023-01-21 0:00:00,2.5
2023-01-22 0:00:00,0
2023-01-23 0:00:00,2.7
2023-01-24 0:00:00,22.9
2023-01-25 0:00:00,1.7
2023-01-26 0:00:00,0.1
2023-01-27 0:00:00,0
2023-01-28 0:00:00,0
2023-01-29 0:00:00,0
2023-01-30 0:00:00,0
2023-01-31 0:00:00,17.6
2023-02-01 0:00:00,0.1
