Nombre Dispositivo:;;OM-CP-VOLT101A
Descripción del dispositivo:;;Registrador de Voltaje
Número de Serie:;;S02590
ID Dispositivo:;;Stn3
;;
;;Canal 1
Fecha ;Tiempo;Voltaje (ppm)
16 oct 2022;13:14:22;621
16 oct 2022;13:14:23;621
16 oct 2022;13:14:24;621
16 oct 2022;13:14:25;626
16 oct 2022;13:14:26;631
16 oct 2022;13:14:27;631
16 oct 2022;13:14:28;631
16 oct 2022;13:14:29;631
16 oct 2022;13:14:30;636
16 oct 2022;13:14:31;636
16 oct 2022;13:14:32;636
16 oct 2022;13:14:33;636
16 oct 2022;13:14:34;641
16 oct 2022;13:14:35;641
16 oct 2022;13:14:36;641
16 oct 2022;13:14:37;641
16 oct 2022;13:14:38;641
16 oct 2022;13:14:39;641
16 oct 2022;13:14:40;641
16 oct 2022;13:14:41;641
16 oct 2022;13:14:42;646
16 oct 2022;13:14:43;646
16 oct 2022;13:14:44;646
16 oct 2022;13:14:45;646
16 oct 2022;13:14:46;651
16 oct 2022;13:14:47;651
16 oct 2022;13:14:48;651
16 oct 2022;13:14:49;656
16 oct 2022;13:14:50;656
16 oct 2022;13:14:51;661
16 oct 2022;13:14:52;661
16 oct 2022;13:14:53;666
16 oct 2022;13:14:54;666
16 oct 2022;13:14:55;671
16 oct 2022;13:14:56;676
16 oct 2022;13:14:57;671
16 oct 2022;13:14:58;676
16 oct 2022;13:14:59;676
16 oct 2022;13:15:00;676
16 oct 2022;13:15:01;676
16 oct 2022;13:15:02;676
16 oct 2022;13:15:03;676
16 oct 2022;13:15:04;676
16 oct 2022;13:15:05;676
16 oct 2022;13:15:06;676
16 oct 2022;13:15:07;676
16 oct 2022;13:15:08;671
16 oct 2022;13:15:09;671
16 oct 2022;13:15:10;676
16 oct 2022;13:15:11;676
16 oct 2022;13:15:12;676
16 oct 2022;13:15:13;676
16 oct 2022;13:15:14;681
16 oct 2022;13:15:15;681
16 oct 2022;13:15:16;681
16 oct 2022;13:15:17;686
16 oct 2022;13:15:18;686
16 oct 2022;13:15:19;686
16 oct 2022;13:15:20;686
16 oct 2022;13:15:21;691
16 oct 2022;13:15:22;691
16 oct 2022;13:15:23;696
16 oct 2022;13:15:24;696
16 oct 2022;13:15:25;696
16 oct 2022;13:15:26;701
16 oct 2022;13:15:27;701
16 oct 2022;13:15:28;706
16 oct 2022;13:15:29;706
16 oct 2022;13:15:30;706
16 oct 2022;13:15:31;711
16 oct 2022;13:15:32;711
16 oct 2022;13:15:33;711
16 oct 2022;13:15:34;711
16 oct 2022;13:15:35;716
16 oct 2022;13:15:36;716
16 oct 2022;13:15:37;716
16 oct 2022;13:15:38;721
16 oct 2022;13:15:39;721
16 oct 2022;13:15:40;721
16 oct 2022;13:15:41;721
16 oct 2022;13:15:42;721
16 oct 2022;13:15:43;726
16 oct 2022;13:15:44;726
16 oct 2022;13:15:45;726
16 oct 2022;13:15:46;731
16 oct 2022;13:15:47;731
16 oct 2022;13:15:48;731
16 oct 2022;13:15:49;731
16 oct 2022;13:15:50;736
16 oct 2022;13:15:51;736
16 oct 2022;13:15:52;736
16 oct 2022;13:15:53;736
16 oct 2022;13:15:54;741
16 oct 2022;13:15:55;741
16 oct 2022;13:15:56;741
16 oct 2022;13:15:57;736
16 oct 2022;13:15:58;741
16 oct 2022;13:15:59;741
16 oct 2022;13:16:00;741
16 oct 2022;13:16:01;741
